18.sexraceethnicity,Total ,Total - Male
112.raceethnicity,"American Indian/Alaska Native, non-Hispaic","American Indian/Alaska Native, non-Hispanic"
30.sex,Fmeale,Female
114.raceethnicity,"American Idnian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
17.sexraceethnicity,Total ,Total - Male
32.sex,Femkale,Female
31.sex,emale,Female
16.sexraceethnicity,Total ,Total - Male
81.raceethnicity,"Asian, nonz-Hispanic","Asian, non-Hispanic"
116.raceethnicity,"American Indian/Alask aNative, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
117.raceethnicity,"American Indian/lAaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
37.sex,Femlae,Female
20.sexraceethnicity,Total ,Total - Male
35.sex,Femle,Female
15.sexraceethnicity,Total ,Total - Male
19.sexraceethnicity,Total ,Total - Male
111.raceethnicity,"American Indian/Alaska Native, non-Hispahnic","American Indian/Alaska Native, non-Hispanic"
115.raceethnicity,"American Idian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
38.sex,oFemale,Female
