county,category,taxonomic_group,taxonomic_subgroup,scientific_name,common_name,year_last_documented,ny_listing_status,federal_listing_status,state_conservation_rank,global_conservation_rank,distribution_status
Albany,Animal,Amphibians,Frogs and Toads,Anaxyrus americanus,American Toad,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Frogs and Toads,Anaxyrus fowleri,Fowler's Toad,1990-1999,Game with open season,not listed,S4,G5,Recently Confirmed
Albany,Animal,Amphibians,Frogs and Toads,Hyla versicolor,Gray Treefrog,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Frogs and Toads,Lithobates catesbeianus,Bullfrog,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Frogs and Toads,Lithobates clamitans,Green Frog,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Frogs and Toads,Lithobates palustris,Pickerel Frog,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Frogs and Toads,Lithobates pipiens,Northern Leopard Frog,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Frogs and Toads,Lithobates sylvaticus,Wood Frog,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Frogs and Toads,Pseudacris crucifer,Spring Peeper,1990-1999,Game with open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Frogs and Toads,Lithobates catesbeianus,Eastern Spadefoot,2006,Special Concern,not listed,S2S3,G5,Recently Confirmed
Dutchess,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Anaxyrus fowleri,Least Bittern,2019,Threatened,not listed,"S3B,S1N",G4G5,Recently Confirmed
Albany,Animal,Amphibians,Salamanders,Ambystoma jeffersonianum x laterale,Jefferson Salamander Complex,1990-1999,Game with no open season,not listed,SNA,GU,Recently Confirmed
Albany,Animal,Amphibians,Salamanders,Lithobates clamitans,Blue-spotted Salamander,1990-1999,Special Concern,not listed,S3,G5,Recently Confirmed
Albany,Animal,Amphibians,Salamanders,Ambystoma maculatum,Spotted Salamander,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Salamanders,Lithobates palustris,Tiger Salamander,not available,Endangered,not listed,S1S2,G5,Possible but not Confirmed
Albany,Animal,Amphibians,Salamanders,Desmognathus fuscus,Gray Catbird,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Salamanders,Anaxyrus fowleri,Allegheny Mountain Dusky Salamander,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Salamanders,Lithobates sylvaticus,Wood Frog,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Salamanders,Lithobates catesbeianus,Alder Flycatcher,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Salamanders,Hemidactylium scutatum,Gray Treefrog,1990-1999,Game with no open season,not listed,S4,G5,Recently Confirmed
Albany,Animal,Amphibians,Salamanders,Lithobates catesbeianus,Spring Peeper,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Fulton,Animal,Birds,Nuthatches,Sitta carolinensis,White-breasted Nuthatch,2000-2005,Protected Bird,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,"Herons, Bitterns, Egrets, Pelicans",Plethodon cinereus,Killdeer,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Salamanders,Lithobates clamitans,Barrens Dagger Moth,1990-1999,Game with no open season,not listed,S5,G5,Recently Confirmed
Albany,Animal,Amphibians,Salamanders,Pseudotriton ruber,White-breasted Nuthatch,1990-1999,Game with no open season,not listed,S3S4,G5,Recently Confirmed
Albany,Animal,Animal Assemblages,Frogs and Toads,Ambystoma jeffersonianum x laterale,Bullfrog,1986,not applicable,not applicable,S3,GNR,Historically Confirmed
Albany,Animal,Animal Assemblages,Animal Assemblages,Bat Colony,White-breasted Nuthatch,2018,not applicable,not applicable,SNRN,GNR,Recently Confirmed
Albany,Animal,"Bees, Wasps and Ants",Frogs and Toads,Passerina cyanea,Blue-spotted Salamander,1991,not listed,Endangered,SH,G2,Historically Confirmed
Albany,Animal,"Bees, Wasps and Ants",Frogs and Toads,Bombus pensylvanicus,Northern Leopard Frog,1987,not listed,not listed,S1,G3G4,Historically Confirmed
Albany,Animal,"Bees, Wasps and Ants",Frogs and Toads,Lithobates catesbeianus,Least Bittern,2009,not listed,not listed,S1,G3G4,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Agelaius phoeniceus,Green Frog,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Hyla versicolor,Bobolink,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Lithobates palustris,Baltimore Oriole,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Blackbirds and Orioles,Ambystoma maculatum,Orchard Oriole,2000-2005,Protected Bird,not listed,S4B,G5,Recently Confirmed
Albany,Animal,Birds,Blackbirds and Orioles,Molothrus ater,Bullfrog,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Salamanders,Lithobates sylvaticus,Alewife Floater,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
Albany,Animal,Birds,Frogs and Toads,Bat Colony,Eastern Meadowlark,2000-2005,Protected Bird,not listed,S5B,G5,Recently Confirmed
