OBJECTID,ElmType,SciName,CommonName,ElmCode,FedStatus,CalStatus,CDFWStatus,RPlantRank,CountyName,CountyCode,DataStatus,TaxonSort
1,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,ALPINE,ALP,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
2,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,AMADOR,AMA,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
3,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,BUTTE,BUT,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
4,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,CALAVERAS,CAL,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
5,Animals - Birds,Strix occidentalis caurina,Northern Spotted Owl,ABNSB12011,Threatened,Threatened,-,-,COLUSA,COL,Mapped,Animals - Birds - Strigidae - Strix occidentalis caurina
6,Animals - Birds,Strix occidentalis caurina,Northern Spotted Owl,ABNSB12011,Threatened,Threatened,-,-,DEL NORTE,DNT,Mapped,Animals - Birds - Strigidae - Strix occidentalis caurina
7,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,EL DORADO,ELD,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
8,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,FRESNO,FRE,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
9,Animals - Birds,Strix occidentalis caurina,Northern Spotted Owl,ABNSB12011,Threatened,Threatened,-,-,GLENN,GLE,Mapped,Animals - Birds - Strigidae - Strix occidentalis caurina
10,Animals - Birds,Strix occidentalis caurina,Northern Spotted Owl,ABNSB12011,Threatened,Threatened,-,-,HUMBOLDT,HUM,Mapped,Animals - Birds - Strigidae - Strix occidentalis caurina
11,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,KERN,KRN,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
12,Animals - Birds,Strix occidentalis caurina,Northern Spotted Owl,ABNSB12011,Threatened,Threatened,-,-,LAKE,LAK,Mapped,Animals - Birds - Strigidae - Strix occidentalis caurina
13,Animals - Birds,Strix occidentalis caurina,Northern Spotted Owl,ABNSB12011,Threatened,Threatened,-,-,LASSEN,LAS,Mapped,Animals - Birds - Strigidae - Strix occidentalis caurina
14,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,LASSEN,LAS,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
15,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,LOS ANGELES,LAX,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
16,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,MADERA,MAD,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
17,Animals - Birds,Strix occidentalis caurina,Northern Spotted Owl,ABNSB12011,Threatened,Threatened,-,-,MARIN,MRN,Mapped,Animals - Birds - Strigidae - Strix occidentalis caurina
18,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,MARIPOSA,MPA,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
19,Animals - Birds,Strix occidentalis caurina,Northern Spotted Owl,ABNSB12011,Threatened,Threatened,-,-,MENDOCINO,MEN,Mapped,Animals - Birds - Strigidae - Strix occidentalis caurina
20,Animals - Birds,Strix occidentalis caurina,Northern Spotted Owl,ABNSB12011,Threatened,Threatened,-,-,MODOC,MOD,Mapped,Animals - Birds - Strigidae - Strix occidentalis caurina
21,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,MODOC,MOD,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
22,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,MONO,MNO,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
23,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,MONTEREY,MNT,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
24,Animals - Birds,Strix occidentalis caurina,Northern Spotted Owl,ABNSB12011,Threatened,Threatened,-,-,NAPA,NAP,Mapped,Animals - Birds - Strigidae - Strix occidentalis caurina
25,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,NEVADA,NEV,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
26,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,ORANGE,ORA,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
27,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,PLACER,PLA,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
28,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,PLUMAS,PLU,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
29,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,RIVERSIDE,RIV,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
30,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,SAN BERNARDINO,SBD,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
31,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,SAN DIEGO,SDG,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
32,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,SAN LUIS OBISPO,SLO,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
33,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,SANTA BARBARA,SBA,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
34,Animals - Birds,Strix occidentalis caurina,Northern Spotted Owl,ABNSB12011,Threatened,Threatened,-,-,SHASTA,SHA,Mapped,Animals - Birds - Strigidae - Strix occidentalis caurina
35,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,SHASTA,SHA,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
36,Animals - Birds,Strix occidentalis occidentalis,California Spotted Owl,ABNSB12013,None,None,SSC,-,SIERRA,SIE,Mapped,Animals - Birds - Strigidae - Strix occidentalis occidentalis
37,Animals - Birds,Strix occidentalis caurina,Northern Spotted Owl,ABNSB12011,Threatened,Threatened,-,-,SISKIYOU,SIS,Mapped,Animals - Birds - Strigidae - Strix occidentalis caurina
38,Animals - Birds,Strix occidentalis caurina,Northern Spotted Owl,ABNSB12011,Threatened,Threatened,-,-,SONOMA,SON,Mapped,Animals - Birds - Strigidae - Strix occidentalis caurina
39,Animals - Birds,Strix occidentalis caurina,Northern Spotted Owl,ABNSB12011,Threatened,Threatened,-,-,TEHAMA,TEH,Mapped,Animals - Birds - Strigidae - Strix occidentalis caurina
