X,Y,OBJECTID,NAME,ADDRESS,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
12133047.6241183,3453397.67424367,1,Portlock Senior Center,1114 Freeman Ave,,,coc,2014/07/11 13:24:44+00
12130788.4480767,3445168.44091034,2,Human Services,100 Outlaw St,,,COC,2018/04/26 17:35:16+00
12141868.3590142,3428579.17216034,3,Sheriff's Office,401 Albemarle Dr,,,coc,2014/07/11 14:23:50+00
12147480.6121392,3446810.43309784,4,"Parks, Recreation & Tourism Admin",1224 Progressive Dr,,,COC,2017/06/08 19:21:29+00
12142094.5277642,3428034.45341034,5,Planetarium,310 Shea Dr,,,coc,2014/10/30 14:19:23+00
12143014.2834933,3428734.41330616,6,Thermal Storage Plant,304 Albemarle Dr,,,coc,2014/07/11 14:35:58+00
12142602.9673475,3428827.13413951,7,Public Safety Building,304 Albemarle Dr,,,coc,2014/07/11 14:34:46+00
12141947.4142225,3428125.29768117,8,Engineering Trailers,Holt Dr,,,coc,2014/07/11 13:39:44+00
12142174.7480767,3428947.73153533,9,City Jail/Magistrate,400 Albemarle Dr,,,coc,2014/07/11 14:38:08+00
12141461.60016,3427113.68049367,10,Facilities Management,411 Cedar Rd,,,VFOWLER,2023/03/07 20:51:03+00
12141617.30641,3428266.49091034,11,West Parking Lot,Shea Dr,,,coc,2014/07/11 19:11:22+00
12141981.3819308,3428127.16538951,12,Agricultural Trailer,216 Holt Dr,,,coc,2014/10/30 14:18:31+00
12142750.0637017,3427604.12632701,13,CPS Administration Building,304 Cedar Rd,,,coc,2014/10/30 14:18:19+00
12140554.2767225,3428302.116952,14,Civic Center Fuel Station,440 Albemarle Dr,,,coc,2014/07/11 14:45:45+00
12143280.2647433,3428176.76591034,15,East Parking,Shea Dr,,,coc,2014/10/30 14:18:48+00
12142119.1074517,3427766.748202,16,CPS Administration Building,312 Cedar Rd,,,coc,2014/07/11 14:16:36+00
12141575.43141,3428846.732577,17,Tidewater Detention Home,420 Albemarle Dr,,,coc,2014/07/11 14:39:52+00
12142706.5788058,3428183.685702,18,Information Technology,300 Shea Dr,,,coc,2014/07/11 14:14:26+00
12142466.8548475,3427991.75497283,19,City Hall,306 Cedar Rd,,,coc,2014/07/11 14:14:01+00
12142233.4397433,3428517.732577,20,General District and Circuit Court,307 Albemarle Dr,,,coc,2014/07/11 14:24:12+00
12138505.3444308,3451291.63309784,22,Animal Services,2100 S Military Hwy ,,,coc,2014/07/11 21:08:41+00
12132966.6538058,3453686.40184784,23,Athletic Grounds Maintenance Shop,1210 Godwin Ave,,,VFOWLER,2020/05/11 19:57:09+00
12094828.6480767,3450997.87424366,24,Sunray Ceramic Center,621 Homestead Rd,,,,
12093248.3038058,3477090.30861866,28,Western Branch Fuel Station,4421 A Taylor Rd,,,coc,2014/07/11 19:11:00+00
12133043.8637017,3381115.06122284,30,Old Gertie School,4032 Bunch Walnuts,,,coc,2014/07/11 18:20:16+00
12116111.9454725,3418165.982577,31,Police Academy,1080 Sentry Dr,,,coc,2014/10/30 14:19:45+00
12155083.9897433,3388294.257577,32,St. Brides Fuel Station,3331 Battlefield Blvd S,,,coc,2014/07/11 19:06:13+00
12142717.1199517,3439177.48153533,35,Chesapeake Health Department,748 Battlefield Blvd N,,,coc,2014/07/11 13:42:31+00
12134623.1543267,3466402.39872284,37,Comm of the Revenue & Treasurer,1205 20th St,,,coc,2014/07/11 18:56:09+00
12149356.0553683,3443103.84038951,38,City Garage,956 Greenbrier Pkwy,,,coc,2014/07/11 14:11:22+00
12147777.7621392,3456641.80913951,39,Chesapeake Vocational Center,2255 Steppingstone Sq,,,VFOWLER,2020/05/11 19:09:16+00
12148546.6860975,3442201.70705616,40,Waste Management,912 Hollowell Ln,,,coc,2014/07/11 13:43:21+00
12147840.4147433,3460860.76591034,42,Rokeby Center,1709 Rokeby Ave,,,VFOWLER,2020/06/17 19:27:27+00
12142865.5147433,3428388.89091034,43,Juvenile & Domestic Relations Court,301 Albemarle Dr,,,,
12148370.4678683,3460519.10966034,365,Fire Station 3,1801 Rokeby Ave,coc,2014/07/11 13:17:36+00,coc,2014/07/11 13:18:33+00
12148548.1855767,3460409.66122283,366,CIBH Highlands Place West,1825 Rokeby Ave,coc,2014/07/11 13:19:04+00,VFOWLER,2020/05/11 19:12:19+00
12132876.9480767,3453646.007577,367,Fire Station 2,1205 Freeman Ave,coc,2014/07/11 13:26:14+00,coc,2014/07/11 13:26:34+00
12133035.4704725,3454045.77736866,368,South Norfolk Community Center,1217 Godwin Ave,coc,2014/07/11 13:27:56+00,coc,2014/07/11 13:28:31+00
12141800.9288058,3428242.16591033,369,Great Bridge Community Center,212 Holt Dr,coc,2014/07/11 13:36:20+00,coc,2014/07/11 13:36:46+00
12123812.4105767,3447155.78205617,371,Mosquito Control Greenbrier,1611 Shell Rd,coc,2014/07/11 13:48:12+00,VFOWLER,2023/10/20 14:25:12+00
12148816.3423475,3442823.97788951,372,Public Works Operations Center,925 Executive Blvd,coc,2014/07/11 13:56:29+00,coc,2014/07/11 13:56:55+00
12149095.13766,3442519.13361867,373,Public Utilities M&O,906 Executive Blvd,coc,2014/07/11 13:58:20+00,coc,2014/07/11 14:04:59+00
12142003.8647433,3443218.89091034,374,Fire Station 4,104 Lenore Trl,coc,2014/07/11 14:08:17+00,coc,2014/07/11 14:09:11+00
12149253.984535,3442825.17059784,375,City Garage Fuel Station,905 Greenbrier Pkwy,coc,2014/07/11 14:11:29+00,VFOWLER,2020/05/11 19:21:18+00
12143026.4558892,3427616.27059783,376,Central Library,298 Cedar Rd,coc,2014/07/11 14:18:41+00,coc,2014/07/11 14:19:00+00
12138301.7022433,3451077.307577,378,Customer Contact Center,2130 S Military Hwy,coc,2014/07/11 14:48:09+00,COC,2018/07/17 17:51:03+00
12143432.1975558,3429637.20549367,379,Park Maintenance & Warehouse,112 Mann Dr,coc,2014/07/11 15:40:03+00,VFOWLER,2020/05/11 19:59:17+00
12133165.8834933,3464307.39559783,380,South Norfolk Library,801 Poindexter St,coc,2014/07/11 18:21:32+00,coc,2014/07/30 15:57:17+00
12114256.7480767,3437826.58257701,381,Fire Station 8,209 George Washington Hwy N,coc,2014/07/11 18:23:43+00,coc,2014/07/11 18:24:10+00
12134749.2397433,3466524.432577,382,Fire Station 1,1201 20th St,coc,2014/07/11 18:48:15+00,coc,2014/07/11 18:48:40+00
12134916.3319308,3466257.085702,383,Police Station 2nd Precinct,1209 20th St,coc,2014/07/11 18:48:47+00,coc,2014/07/11 18:49:39+00
12094910.25641,3451182.77424367,385,Former Fire Station 10,629 Homestead Rd,coc,2014/07/11 19:07:02+00,VFOWLER,2021/02/25 19:22:44+00
12093097.0397433,3477069.04924367,386,Fire Station 12,4421 Taylor Rd,coc,2014/07/11 19:11:32+00,coc,2014/07/11 19:11:53+00
12104219.4985975,3447193.72111867,387,Bowers Hill Fuel Station,3900 S Military Hwy,coc,2014/07/11 19:15:38+00,coc,2014/07/11 19:16:16+00
12104313.2485975,3447169.41591033,388,Public Works Bowers Hill Yard,3900 S Military Hwy,coc,2014/07/11 19:17:48+00,COC,2016/04/29 17:12:11+00
12095240.2480767,3463087.107577,389,Fire Station 11,2040 Dock Landing Rd,coc,2014/07/11 19:20:30+00,coc,2014/07/11 19:20:48+00
12090779.2110975,3464845.21591033,390,Western Branch Community Center,4437 Portsmouth Blvd,coc,2014/07/11 19:21:16+00,coc,2014/07/11 19:21:43+00
12092140.4647433,3469661.357577,391,Russell Memorial Library,2808 Taylor Rd,coc,2014/07/11 19:22:22+00,coc,2014/07/30 16:13:02+00
12113137.5444308,3449837.59038951,393,Camelot Community Center,948 King Arthur Dr,coc,2014/07/11 19:26:37+00,COC,2018/04/26 16:48:17+00
12115945.38141,3450822.66591033,394,Fire Station 9,2816 Camelot Blvd,coc,2014/07/11 19:27:15+00,coc,2014/07/11 19:28:53+00
12119163.50641,3455185.81591034,395,Fire Training,1420 Sherbrooke Rd,coc,2014/07/11 19:27:29+00,coc,2014/07/11 19:28:02+00
12115521.6480767,3448897.7997645,396,Police Station 3rd Precinct,949 George Washington Hwy N,coc,2014/07/11 19:30:35+00,coc,2014/07/11 19:31:01+00
12114006.3163058,3446303.966952,397,Major Hillard Library,824 Old George Washington Hwy N,coc,2014/07/11 19:31:54+00,coc,2014/07/30 16:10:27+00
12112468.25641,3440766.60861866,398,Deep Creek Community Center,2901 Margaret Booker Dr,coc,2014/07/11 19:33:10+00,COC,2018/04/26 17:01:01+00
12130947.9230767,3430347.82424366,399,Fire Station 15,1345 Bells Mill Rd,coc,2014/07/11 19:34:12+00,coc,2014/07/11 19:34:32+00
