175.buffersize,uB,B
5.licenseid,41674.0,54059.0
25.licenseid,39791.0,11900.0
23.xcoordinate,1133277.021480193,1147271.2214136072
496.communityareaname,OUTH LAWNDALE,SOUTH LAWNDALE
11.xcoordinate,1133277.021480193,1178461.6344048942
462.longitude,-87.7656458523,-87.7566458523
496.accountnumber,311219.0,312119.0
496.buffersize,***,A
445.location,"(41.144237141, -87.654627843)","(41.9144237141, -87.654627843)"
6.licenseid,39791.0,25338.0
496.ward,q28,28
445.ycoordinate,1912136791821909,1912136.791821909
175.communityareaname,BELMONT CRGAIN,BELMONT CRAGIN
11.ycoordinate,1893985.7049883392,1873949.3843109088
4.xcoordinate,1156542.5273663977,1150549.397872218
15.xcoordinate,1173296.1226284578,1166918.6504769705
175.location,"(41.9205964582, -87.7571926809)","(41.9205964582, -87.7751926809)"
175.zipcode,60693,60639
496.communityarea,e30,30
496.zipcode,6608,60608
7.licenseid,39791.0,1225367.0
175.censustract,17031119302,17031191302
4.ycoordinate,1893985.7049883392,1869568.6744565165
175.address,5952 W lGRAND AVE,5952 W GRAND AVE
1.licenseid,39791.0,957.0
462.communityarea,z15,15
175.ward,3j7,37
175.longitude,8-7.7751926809,-87.7751926809
8.ycoordinate,1944958.748255934,1931689.479330876
462.address,515 W ADDISON ST,5155 W ADDISON ST
8.xcoordinate,1157695.3668656345,1151203.158881069
10.licenseid,39791.0,1353385.0
7.xcoordinate,1156542.5273663977,1140427.8862632848
496.censustract,17031804700,17031840700
9.xcoordinate,1156542.5273663977,1183074.9839932893
496.storename,PETE'S FREqSH SUPERMARKET,PETE'S FRESH SUPERMARKET
175.latitude,41.920964582,41.9205964582
462.censusblock,17031151001m1000.0,170311510011000.0
13.xcoordinate,1173296.1226284578,1173339.1358198426
4.licenseid,41674.0,1515206.0
496.address,2526 W CERMlAK RD,2526 W CERMAK RD
445.latitude,41.9144237411,41.9144237141
5.xcoordinate,1142425.326543121,1165027.7966924468
6.ycoordinate,1893985.7049883392,1942415.3164009475
