X,Y,OBJECTID,PARCELID,BLOCK,LOT,SUBLOT,LRSN,LAND_SIZE,PROP_ADDRESS,PROP_HOUSE,PROP_DIR,PROP_STREET,PROP_STREETTYPE,REASSESS_YEAR,REM_DEEDBOOK,REM_DEEDPAGE,REM_DEEDDATE,CUR_LASTNAME,CUR_FIRSTNAME,CUR_NAME2,CUR_ADDRESS1,CUR_ADDRESS2,CUR_CITY,CUR_STATE,CUR_ZIP,CUR_PROP_CLASS,CUR_LAND,CUR_IMPROVEMENT,CUR_TOTAL,PROP_CLASS,GOV_TYPE,ORIG_FID
1243893.2,320963.909999996,1,000100050000,0001,0005,0000,1,  78.82440,TWELVE MILE ISLAND, , ,TWELVE MILE ISLAND, ,81,4782,0752,1975/04/01 00:00:00+00,LOUISVILLE/JEF,COUNTY METRO GO, ,527 W JEFFERSON ST, ,LOUISVILLE,KY,40202-2814,E,0,258710,258710,620,1,9109
1250567.71250001,317858.997500002,2,000100110000,0001,0011,0000,9750455,   3.14520,US HIGHWAY 42, , ,US HIGHWAY 42, , , , ,1900/01/01 00:00:00+00,OWNER,UNKNOWN, ,ADDRESS UNKNOWN, ,EXEMPT,KY,EXEMPT,E,0,0,0,699,0,9110
1253406.70874999,315614.306250006,3,000301230000,0003,0123,0000,9750461,   7.73090,COVERED BRIDGE RD, , ,COVERED BRIDGE,RD, ,11798,230,2020/09/29 00:00:00+00,OWNER,UNKNOWN, ,ADDRESS UNKNOWN, ,EXEMPT,KY,EXEMPT,E,0,0,0,699,0,9111
1254379.715,315743.689999998,4,261500930000,2615,0093,0000,91016924,   1.67240,7422 CEDAR BLUFF CT,  7422, ,CEDAR BLUFF,CT, , , ,1900/01/01 00:00:00+00,OWNER,UNKNOWN, ,ADDRESS UNKNOWN, ,EXEMPT,KY,EXEMPT,E,0,0,0,699,0,9112
1254131.10124999,315756.189999998,5,261500940000,2615,0094,0000,91016925,   2.38870,7421 CEDAR BLUFF CT,  7421, ,CEDAR BLUFF,CT, , , ,1900/01/01 00:00:00+00,OWNER,UNKNOWN, ,ADDRESS UNKNOWN, ,EXEMPT,KY,EXEMPT,E,0,0,0,699,0,9113
1254033.39375,315514.671250001,6,261500950000,2615,0095,0000,91016926,   1.74100,7419 CEDAR BLUFF CT,  7419, ,CEDAR BLUFF,CT, , , ,1900/01/01 00:00:00+00,OWNER,UNKNOWN, ,ADDRESS UNKNOWN, ,EXEMPT,KY,EXEMPT,E,0,0,0,699,0,9114
1254485.85250001,315509.461250007,7,261500920000,2615,0092,0000,91016923,   1.10340,7420 CEDAR BLUFF CT,  7420, ,CEDAR BLUFF,CT, , , ,1900/01/01 00:00:00+00,OWNER,UNKNOWN, ,ADDRESS UNKNOWN, ,EXEMPT,KY,EXEMPT,E,0,0,0,699,0,9115
1253852.8775,315329.8125,8,261501060000,2615,0106,0000,91016934,   2.02660,ADDRESS UNKNOWN, , ,ADDRESS UNKNOWN, , , , ,1900/01/01 00:00:00+00,OWNER,UNKNOWN, ,ADDRESS UNKNOWN, ,EXEMPT,KY,EXEMPT,E,0,0,0,699,0,9116
1254571.2625,315366.356250003,9,261500910000,2615,0091,0000,91016922,   0.98370,7418 CEDAR BLUFF CT,  7418, ,CEDAR BLUFF,CT, , , ,1900/01/01 00:00:00+00,OWNER,UNKNOWN, ,ADDRESS UNKNOWN, ,EXEMPT,KY,EXEMPT,E,0,0,0,699,0,9117
1254209.3075,315333.956249997,10,261500960000,2615,0096,0000,91016927,   1.00830,7417 CEDAR BLUFF CT,  7417, ,CEDAR BLUFF,CT, , , ,1900/01/01 00:00:00+00,OWNER,UNKNOWN, ,ADDRESS UNKNOWN, ,EXEMPT,KY,EXEMPT,E,0,0,0,699,0,9118
