ObjectId,ID,Grant_Name,Funding_Source_Monitoring_Agenc,Date_of_Monitoring,Number_of_Findings
1,1,Weatherization,DCBS-CHFS,2009/01/29 05:00:00+00,5 
2,2,Weatherization,KHC,2010/06/09 03:59:59+00,11 
3,3,SSI Interim Assistance Reimbursement ,Social Security Admin,2013/03/08 05:00:00+00,0 
4,4,Foster Grandparent Program (FGP),CNCS,2013/08/05 03:59:59+00,17
5,5,LIHEAP,CAK,2014/02/19 05:00:00+00,0
6,6,Weatherization,KHC,2011/06/13 03:59:59+00,?
7,7,Weatherization,KHC,2012/02/23 05:00:00+00,0
8,8,Weatherization,KHC,2013/05/23 03:59:59+00,
9,9,Shelter Plus Care,HUD,2009/08/17 03:59:59+00,2
10,10,Shelter Plus Care,HUD,2013/02/25 05:00:00+00,0
11,11,CSBG,DCBS-CHFS,2009/02/01 05:00:00+00,1
12,12,CSBG,DCBS-CHFS,2010/05/04 03:59:59+00,0
13,13,CSBG,DCBS-CHFS,2011/02/22 05:00:00+00,0
14,14,CSBG,DCBS-CHFS,2012/01/22 05:00:00+00,0
15,15,CSBG,DCBS-CHFS,2013/02/20 05:00:00+00,0
16,16,NP Office Space,DCBS-CHFS,2009/11/12 05:00:00+00,0
17,17,NP Office Space,DCBS-CHFS,2011/12/14 05:00:00+00,0
18,18,NP Office Space,DCBS-CHFS,2012/11/13 05:00:00+00,0
19,19,NP Office Space,DCBS-CHFS,2013/11/04 05:00:00+00,0
20,20,Senior Nutrition,KIPDA,2010/04/20 03:59:59+00,2
21,21,Senior Nutrition,KIPDA,2012/02/27 05:00:00+00,0
22,22,Senior Nutrition,KIPDA,2013/04/11 03:59:59+00,0
23,23,LIHEAP,CAK,2010/05/11 03:59:59+00,0
24,24,LIHEAP,CAK,2011/05/11 03:59:59+00,0
25,25,LIHEAP,CAK,2012/04/26 03:59:59+00,3
26,26,LIHEAP,CAK,2013/05/20 03:59:59+00,0
27,27,Summer Food Service Program,KY Dept of Education,2009/07/27 03:59:59+00,0
28,28,Summer Food Service Program,KY Dept of Education,2010/08/26 03:59:59+00,?
29,29,Summer Food Service Program,KY Dept of Education,2012/08/27 03:59:59+00,4
30,30,Environmental Review Procedures,HUD,2009/03/09 03:59:59+00,5
31,31,"HOME, CDBG, NSP",HUD,2012/07/09 03:59:59+00,0
32,32,CDBG (*remote monitoring),HUD,2011/09/12 03:59:59+00,3
33,33,CDBG (METCO),HUD,2010/03/23 03:59:59+00,0
34,34,CDBG,HUD,2007/08/13 03:59:59+00,4
35,35,HPRP & CDBG-R,OIG,2011/01/01 05:00:00+00,0
36,36,CDBG (Labor Standards),HUD,2010/09/16 03:59:59+00,0
37,37,SHP & HFRT,HUD,2010/03/09 05:00:00+00,1
38,38,ESG,HUD,2009/02/13 05:00:00+00,0
39,39,SHP,KHC,2009/12/02 05:00:00+00,0
40,40,HOME,HUD,2008/09/08 03:59:59+00,2
41,41,HOME,HUD,2006/11/20 05:00:00+00,4
42,42,NSP,HUD,2011/05/10 03:59:59+00,4
43,43,URA,HUD,2012/06/25 03:59:59+00,3
44,44,LIHEAP-Federal Monitoring,HHS,2014/02/26 05:00:00+00,
45,45,RSVP,CNCS,2014/03/18 03:59:59+00,2
46,46,Senior Nutrition,KIPDA,2014/04/16 03:59:59+00,2
47,47,Summer Food Service Program,KY Dept of Education,2013/08/05 03:59:59+00,0
48,48,Lead,HUD,2014/05/08 03:59:59+00,0
49,49,Wx,KHC,2014/05/12 03:59:59+00,
50,50,CSBG,DCBS-CHFS,2014/08/12 03:59:59+00,3
51,51,Neighborhood Place State Contract,DCBS-CHFS,2014/11/06 05:00:00+00,0
52,52,CSBG,DCBS-CHFS,2015/03/18 03:59:59+00,0
53,53,Senior Nutrition,KIPDA,2015/04/15 03:59:59+00,0
54,54,HOPWA,HUD,2015/04/02 03:59:59+00,0
55,55,Shelter Plus Care V,HUD,2015/05/28 03:59:59+00,0
56,56,LIHEAP,CAK,2015/06/05 03:59:59+00,0
57,57,Summer Food Service Program SFSP,KY Dept of Education,2015/08/27 03:59:59+00,0
58,58,Neighborhood Place,DCBS-CHFS,2015/10/22 03:59:59+00,0
