ObjectId,ID,Council_District,Amount,Household_Size,Race,Ethnicity,Gender,DATE,Zip_Code,GlobalID
1,101,2,5795,1,African American,Non-Hispanic,Male,9/7/2021,40218,{5DA51ADF-BA22-4C48-8C59-CD5664989B46}
2,102,2,8325,8,White,Non-Hispanic,Male,8/2/2021,40213,{B7108D8B-F7EF-4973-98B2-A049D06A228A}
3,103,2,7456,3,African American,Non-Hispanic,Female,8/31/2021,40218,{F759AC97-0E17-400E-9469-7458FE098D10}
4,104,2,2622,5,White,Non-Hispanic,Female,7/21/2021,40218,{C9190510-3BE7-4F5C-BBBE-5190B755D738}
5,105,2,7704,2,African American,Non-Hispanic,Female,7/30/2021,40218,{E6E8845E-4185-4DAC-8457-FEF0E813E6EE}
6,106,2,7200,1,Others,Non-Hispanic,Male,9/7/2021,40218,{054D68A1-C3AB-49C8-98C0-B5B835C4D067}
7,107,2,6455,1,African American,Non-Hispanic,Male,7/30/2021,40218,{33BBD289-D609-42C2-B756-BB883A464BDF}
8,108,2,7670,2,African American,Non-Hispanic,Male,10/27/2021,40218,{144D7658-4499-4EF2-A0DF-7E9AB14E4C51}
9,109,2,11150,3,African American,Non-Hispanic,Female,8/25/2021,40219,{25BE747E-B9C8-45F1-9D8B-C8A7E0F78C6C}
10,110,2,9350,2,African American,Non-Hispanic,Female,8/26/2021,40218,{43879CB6-7753-497D-AC6C-ECDE643B848E}
11,111,2,14020.1,1,African American,Non-Hispanic,Male,10/22/2021,40218,{26ADAE62-7497-4148-BD95-C013B8650D44}
12,112,2,2856,4,African American,Non-Hispanic,Female,7/1/2021,40218,{E04B1C53-E46F-4065-9192-B06E3578FEB5}
13,113,2,4124,4,African American,Non-Hispanic,Female,7/1/2021,40218,{50BC37B1-2CE2-4383-851F-7F48393A5D79}
14,114,2,3222,2,White,Non-Hispanic,Male,7/8/2021,40218,{F99549FB-CA9A-49A4-BCA0-25D11D498B0A}
15,115,2,6662,2,White,Non-Hispanic,Male,7/8/2021,40218,{A140FC4C-F21A-4AC1-ACDE-72222104A3B7}
16,116,2,1321.87,5,African American,Non-Hispanic,Female,10/22/2021,40218,{15044529-FE78-4DED-B7D6-26A5D141E308}
17,117,2,6400,4,African American,Non-Hispanic,Male,8/18/2021,40218,{75E6FBEA-B621-447F-A898-F91F58C7027D}
18,118,2,7952,2,African American,Non-Hispanic,Female,9/3/2021,40218,{15966BFB-FF82-43FF-8BBC-6E21D1433D63}
19,119,2,2100,3,African American,Non-Hispanic,Female,7/21/2021,40219,{E50ED265-C0F1-4BDE-AA36-8ADC3C492A2B}
20,120,2,5950,2,African American,Non-Hispanic,Male,7/29/2021,40213,{1424EBC1-7178-4405-ADAF-65891D530E3E}
21,121,2,8018.65,3,African American,Non-Hispanic,Female,11/1/2021,40219,{B994823C-9C51-47E7-9EE5-0229003F4A05}
22,122,2,7312.97,4,Others,Non-Hispanic,Male,10/25/2021,40218,{4B7ADCAE-54DE-4D0A-AC87-D621A33CD106}
23,123,2,4440,2,African American,Non-Hispanic,Female,11/12/2021,40218,{F5223CB4-D9D4-44E6-B989-4CD1DEC87466}
24,124,2,7960,1,African American,Non-Hispanic,Female,8/27/2021,40219,{52CB8010-DBC2-4AA5-A1E2-F681D2B1F346}
25,125,2,9525,2,White,Non-Hispanic,Male,7/23/2021,40218,{447C549B-2528-4432-9E1E-42D61BBF8CF5}
26,126,2,3057,1,African American,Non-Hispanic,Female,7/12/2021,40218,{12CD25D8-2EFA-4C60-8778-B696B162EB32}
27,127,2,7723,1,African American,Non-Hispanic,Female,7/12/2021,40218,{8738BA9E-CCAC-47EB-97C2-9CEEE07114C9}
28,128,2,7050,2,African American,Non-Hispanic,Female,8/29/2021,40219,{1B3975D1-4C95-44C4-AE62-5FD47CF87D33}
29,129,2,3920,1,White,Non-Hispanic,Female,8/28/2021,40219,{2E65EF7B-67A9-4337-B4BB-AFDF7D197B4A}
30,130,2,6801,4,African American,Non-Hispanic,Female,9/15/2021,40218,{BF8D4F8D-038A-4FB6-85F7-2C309D239A7C}
31,131,2,6857.57,1,African American,Non-Hispanic,Male,10/26/2021,40218,{7353FDF2-8477-4313-A6DE-04E09729EA76}
32,132,2,6885.8,1,White,Non-Hispanic,Male,11/2/2021,40218,{4BF60691-0DCD-42F9-B0C0-72E752501A1D}
33,133,2,10700,2,White,Non-Hispanic,Female,9/14/2021,40218,{E09EB726-7607-4C15-81E1-1037BE05BC94}
34,134,2,3162,1,African American,Non-Hispanic,Male,7/8/2021,40218,{4EBB215F-E3E3-4474-8F1C-B6FFB146D4FD}
35,135,2,6693,1,White,Non-Hispanic,Female,7/8/2021,40218,{49C3ADD8-CAD7-4E31-8F55-DA32EB7F88C1}
36,136,2,8502,4,African American,Non-Hispanic,Female,10/8/2021,40218,{FC2C1405-4E64-42CD-B413-058BB3CF39EA}
37,137,2,7102,2,African American,Non-Hispanic,Male,9/16/2021,40219,{928D0556-1D72-4DC1-80A0-2BC648EAC09C}
38,138,2,2811,4,Others,Hispanic,Male,7/8/2021,40218,{E3468050-2D6B-491B-8885-744A8734894D}
39,139,2,5523,4,Others,Non-Hispanic,Male,7/8/2021,40218,{EDE5AF33-F6C9-4CFC-8CAA-CCA1A5E4F9D6}
40,140,2,11907.72,3,African American,Non-Hispanic,Female,10/25/2021,40218,{3C1E5DD3-FAB8-4BA1-8C87-907B834C43A0}
41,141,2,12140,3,African American,Non-Hispanic,Female,9/5/2021,40218,{A5D15794-94E2-4A1A-B2DC-1C34AE9B0719}
42,142,2,3507,3,African American,Non-Hispanic,Female,7/8/2021,40218,{58323FF2-CF39-420F-9F7C-D4EAC96D8092}
43,143,2,5844,3,African American,Non-Hispanic,Female,7/8/2021,40218,{F3D2F87A-74A3-47A8-9652-B46D0F7DB2E0}
44,144,2,5908,1,White,Non-Hispanic,Female,9/3/2021,40218,{72E9B0CD-D58E-48AB-9D15-E81D3A94764E}
45,145,2,7550,2,African American,Non-Hispanic,Female,8/5/2021,40218,{5DACDE0F-82A6-48BD-9A84-C85118544652}
46,146,2,860,2,African American,Non-Hispanic,Female,8/19/2021,40218,{744EECA9-E9E5-4F5B-A838-C8D08EA5606A}
47,147,2,7128,1,White,Non-Hispanic,Female,9/23/2021,40218,{8E7CCB97-F539-42F6-9285-D5154490D504}
48,148,2,9322,1,White,Non-Hispanic,Female,10/22/2021,40218,{6002B3DC-F58D-48EF-90EE-BC8E187DFE0F}
49,149,2,10087,3,African American,Non-Hispanic,Female,9/23/2021,40213,{6EFD7C28-E980-49D7-A183-C6B7CF95919A}
50,150,2,4926,1,Mixed Race,Non-Hispanic,Male,8/27/2021,40218,{6BB93F60-C79A-4893-A741-289DC22A5901}
