27.fips,2090,6027
6.fips,2020,2290
11.fips_two,f05051,f04003
23.state_county,AK_Anchorage Municipality,CA_Butte
9.fips,2020,5121
32.fips,2240,6039
3.fips_two,f02020,f02090
10.fips_two,f02020,f04001
5.fips_two,f02016,f02240
7.fips_two,f05051,f05007
34.state_county,AK_Anchorage Municipality,CA_Mariposa
30.state_county,AK_Anchorage Municipality,CA_Lassen
15.fips,2020,4012
22.fips,2020,4027
4.state_county,AK_Anchorage Municipality,AK_Nome Census Area
14.fips_two,f02020,f04011
17.fips,2090,4015
31.fips_two,f02016,f06037
12.fips,2020,4007
29.fips_two,f02016,f06033
6.state_county,AK_Aleutians West Census Area,AK_Yukon-Koyukuk Census Area
13.fips_two,f02020,f04009
21.fips_two,f02020,f04025
13.state_county,AK_Anchorage Municipality,AZ_Graham
10.statefips,c4,4
56.state_county,AK_Aleutians West Census Area,CA_Sutter
21.fips,2020,4025
14.state_county,AK_Anchorage Municipality,AZ_Greenlee
25.fips_two,f02020,f06019
19.state_county,AK_Anchorage Municipality,AZ_Pinal
36.fips,2180,6053
38.state_county,AK_Southeast Fairbanks Census Area,CA_Orange
9.state,AK,AR
15.fips_two,f02016,f04012
8.fips,2020,5051
11.fips,2020,4003
16.fips_two,f02020,f04013
43.fips,2016,6069
36.state_county,AK_Southeast Fairbanks Census Area,CA_Monterey
20.statefips,2,4
9.fips_two,f02016,f05121
12.state,AhZ,AZ
14.fips,2020,4011
8.state_county,AR_Benton,AR_Garland
