characteristic,sex,raceethnicity,year,earnings,standard_erroron_earnings,noteon_earnings,countinthousands,standard_erroron_countinthousands,noteon_count
Total ,,,2000,17330.0,381.0,,1630.0,62.0,
Total ,,,2001,16860.0,432.0,,1700.0,52.0,
Total ,,,2002,15930.0,336.0,,1619.0,50.0,
Total ,,,2003,15600.0,397.0,,1569.0,50.0,
Total ,,,2004,15650.0,774.0,,1536.0,54.0,
Total ,,,2005,16910.0,279.0,,1421.0,53.0,
Total ,,,2006,15800.0,1058.0,,1420.0,57.0,
Total ,,,2007,16560.0,266.0,,1251.0,49.0,
Total ,,,2008,13710.0,860.0,,1202.0,50.0,
Total ,,,2009,12830.0,167.0,,972.0,47.0,
Total ,,,2010,13630.0,1242.0,,949.0,54.0,
Total ,,,2011,10300.0,1502.0,,955.0,53.0,
Total ,,,2012,13910.0,1203.0,,915.0,48.0,
Total - Male,Male,,2000,18670.0,392.0,,1128.0,52.0,
Total - Male,Male,,2001,18150.0,584.0,,1119.0,42.0,
Total - Male,Male,,2002,17870.0,584.0,,1083.0,41.0,
Total - Male,Male,,2003,17470.0,596.0,,1077.0,41.0,
Total - Male,Male,,2004,17730.0,1056.0,,1037.0,45.0,
Total - Male,Male,,2005,17620.0,816.0,,1015.0,41.0,
Total - Male,Male,,2006,17000.0,240.0,,972.0,45.0,
Total - Male,Male,,2007,18260.0,923.0,,918.0,41.0,
Total - Male,Male,,2008,15900.0,428.0,,848.0,44.0,
Total - Male,Male,,2009,14800.0,1427.0,,682.0,41.0,
Total - Male,Male,,2010,15520.0,336.0,,648.0,44.0,
Total - Male,Male,,2011,12940.0,1071.0,,648.0,40.0,
Total - Male,Male,,2012,15530.0,821.0,,627.0,38.0,
Total - Female,Female,,2000,12000.0,600.0,,502.0,34.0,
Total - Female,Female,,2001,13490.0,555.0,,580.0,30.0,
Total - Female,Female,,2002,12760.0,540.0,,536.0,29.0,
Total - Female,Female,,2003,12480.0,716.0,,492.0,28.0,
Total - Female,Female,,2004,10800.0,701.0,,499.0,33.0,
Total - Female,Female,,2005,11690.0,805.0,,406.0,32.0,
Total - Female,Female,,2006,11140.0,817.0,,449.0,29.0,
Total - Female,Female,,2007,11370.0,1812.0,,332.0,27.0,
Total - Female,Female,,2008,10190.0,609.0,,354.0,24.0,
Total - Female,Female,,2009,10480.0,699.0,,290.0,26.0,
Total - Female,Female,,2010,10450.0,1461.0,,301.0,26.0,
Total - Female,Female,,2011,8070.0,743.0,,307.0,29.0,
Total - Female,Female,,2012,8990.0,1491.0,,287.0,26.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2000,17330.0,1056.0,,583.0,37.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2001,16860.0,833.0,,669.0,33.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2002,16590.0,919.0,,582.0,30.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2003,16850.0,1183.0,,573.0,30.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2004,15500.0,1144.0,,584.0,34.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2005,16990.0,1032.0,,537.0,39.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2006,14850.0,1394.0,,563.0,35.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2007,15140.0,1538.0,,466.0,31.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2008,12750.0,1550.0,,464.0,37.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2009,11770.0,585.0,,360.0,31.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2010,11560.0,2249.0,,308.0,29.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2011,9810.0,403.0,,344.0,30.0,
"Total - White, non-Hispanic",,"White, non-Hispanic",2012,10460.0,2083.0,,279.0,29.0,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2000,10670.0,1358.0,,206.0,26.0,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2001,11670.0,1861.0,,189.0,25.0,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2002,11490.0,1309.0,,207.0,26.0,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2003,9980.0,1266.0,,207.0,26.0,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2004,7520.0,1821.0,,181.0,20.0,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2005,8840.0,1146.0,,138.0,18.0,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2006,9350.0,1005.0,,173.0,21.0,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2007,10880.0,2329.0,,144.0,18.0,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2008,8800.0,2170.0,,161.0,19.0,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2009,7630.0,2077.0,,121.0,18.0,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2010,8300.0,2793.0,,127.0,18.0,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2011,6750.0,1267.0,,111.0,17.0,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2012,11080.0,2216.0,,101.0,18.0,
Total - Hispanic,,Hispanic,2000,17330.0,408.0,,789.0,50.0,
Total - Hispanic,,Hispanic,2001,16860.0,572.0,,809.0,50.0,
Total - Hispanic,,Hispanic,2002,16590.0,522.0,,780.0,50.0,
Total - Hispanic,,Hispanic,2003,16220.0,623.0,,748.0,49.0,
Total - Hispanic,,Hispanic,2004,16420.0,728.0,,723.0,36.0,
Total - Hispanic,,Hispanic,2005,17430.0,321.0,,691.0,36.0,
Total - Hispanic,,Hispanic,2006,16940.0,248.0,,647.0,32.0,
Total - Hispanic,,Hispanic,2007,17690.0,990.0,,594.0,30.0,
Total - Hispanic,,Hispanic,2008,15350.0,730.0,,520.0,33.0,
Total - Hispanic,,Hispanic,2009,15690.0,355.0,,458.0,26.0,
Total - Hispanic,,Hispanic,2010,15360.0,751.0,,465.0,32.0,
Total - Hispanic,,Hispanic,2011,13380.0,1662.0,,458.0,34.0,
Total - Hispanic,,Hispanic,2012,14760.0,367.0,,497.0,36.0,
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2000,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2001,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2002,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2003,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2004,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2005,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2006,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
"Total - Asian, non-Hispanic",,"Asian, non-Hispanic",2007,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,,,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
