300.noteon_earnings,Data not availbale.,Data not available.
108.raceethnicity,"American Indian/Alaska Native, non-Hisphanic","American Indian/Alaska Native, non-Hispanic"
119.noteon_earnings,Data ont available.,Data not available.
275.noteon_count,Data not avauilable.,Data not available.
183.noteon_earnings,Daa not available.,Data not available.
209.noteon_count,Datan ot available.,Data not available.
32.sex,Fqemale,Female
30.sex,Femael,Female
113.raceethnicity,"mAerican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
274.noteon_count,aDta not available.,Data not available.
109.raceethnicity,"American Indian/Alaska Native, onn-Hispanic","American Indian/Alaska Native, non-Hispanic"
31.sex,Fmale,Female
