characteristic,sex,raceethnicity,year,score,standard_erroron_score,noteon_score
Total ,NULL,NULL,2002,246.0,2.1,NULL
Total ,NULL,NULL,2003,NULL,NULL,Data not available.
Total ,NULL,NULL,2004,NULL,NULL,Data not available.
Total ,NULL,NULL,2005,243.0,1.9,NULL
Total ,NULL,NULL,2006,NULL,NULL,Data not available.
Total ,NULL,NULL,2007,NULL,NULL,Data not available.
Total ,NULL,NULL,2008,NULL,NULL,Data not available.
Total ,NULL,NULL,2009,250.0,1.5,NULL
Total ,NULL,NULL,2010,NULL,NULL,Data not available.
Total ,NULL,NULL,2011,NULL,NULL,Data not available.
Total ,NULL,NULL,2012,NULL,NULL,Data not available.
Total ,NULL,NULL,2013,251.0,1.3,NULL
Total - Male,Male,NULL,2002,242.0,2.2,NULL
Total - Male,Male,NULL,2003,NULL,NULL,Data not available.
Total - Male,Male,NULL,2004,NULL,NULL,Data not available.
Total - Male,Male,NULL,2005,240.0,2.5,NULL
Total - Male,Male,NULL,2006,NULL,NULL,Data not available.
Total - Male,Male,NULL,2007,NULL,NULL,Data not available.
Total - Male,Male,NULL,2008,NULL,NULL,Data not available.
Total - Male,Male,NULL,2009,248.0,1.6,NULL
Total - Male,Male,NULL,2010,NULL,NULL,Data not available.
Total - Male,Male,NULL,2011,NULL,NULL,Data not available.
Total - Male,Male,NULL,2012,NULL,NULL,Data not available.
Total - Male,Male,NULL,2013,250.0,1.6,NULL
Total - Female,Female,NULL,2002,254.0,3.5,NULL
Total - Female,Female,NULL,2003,NULL,NULL,Data not available.
Total - Female,Female,NULL,2004,NULL,NULL,Data not available.
Total - Female,Female,NULL,2005,248.0,3.2,NULL
Total - Female,Female,NULL,2006,NULL,NULL,Data not available.
Total - Female,Female,NULL,2007,NULL,NULL,Data not available.
Total - Female,Fmeale,NULL,2008,NULL,NULL,Data not available.
Total - Female,Female,NULL,2009,254.0,2.0,NULL
Total - Female,Female,NULL,2010,NULL,NULL,Data not available.
Total - Female,Female,NULL,2011,NULL,NULL,Data not available.
Total - Female,Female,NULL,2012,NULL,NULL,Data not available.
Total - Female,Female,NULL,2013,253.0,1.7,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2002,249.0,2.2,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2003,NULL,NULL,Data not available.
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2004,NULL,NULL,Data not available.
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2005,249.0,2.8,NULL
