sexandraceethnicity,sex,raceethnicity,year,score,standard_erroron_score,noteon_score
Total ,,,2000,229.0,2.3,
Total ,,,2001,,,Data not available.
Total ,,,2002,,,Data not available.
Total ,,,2003,242.0,0.6,
Total ,,,2004,,,Data not available.
Total ,,,2005,244.0,0.5,
Total ,,,2006,,,Data not available.
Total ,,,2007,246.0,0.7,
Total ,,,2008,,,Data not available.
Total ,,,2009,249.0,0.5,
Total ,,,2010,,,Data not available.
Total ,,,2011,249.0,0.6,
Total ,,,2012,,,Data not available.
Total ,,,2013,248.0,0.5,
Total - Male,Male,,2000,233.0,2.7,
Total - Male,Male,,2001,,,Data not available.
Total - Male,Male,,2002,,,Data not available.
Total - Male,Male,,2003,244.0,0.7,
Total - Male,Male,,2004,,,Data not available.
Total - Male,Male,,2005,247.0,0.6,
Total - Male,Male,,2006,,,Data not available.
Total - Male,Male,,2007,248.0,0.7,
Total - Male,Male,,2008,,,Data not available.
Total - Male,Male,,2009,252.0,0.6,
Total - Male,Male,,2010,,,Data not available.
Total - Male,Male,,2011,252.0,0.8,
Total - Male,Male,,2012,,,Data not available.
Total - Male,Male,,2013,251.0,0.6,
Total - Female,Female,,2000,221.0,3.0,
Total - Female,Female,,2001,,,Data not available.
Total - Female,Female,,2002,,,Data not available.
Total - Female,Female,,2003,237.0,0.9,
Total - Female,Female,,2004,,,Data not available.
Total - Female,Female,,2005,239.0,0.7,
Total - Female,Female,,2006,,,Data not available.
Total - Female,Female,,2007,241.0,1.0,
Total - Female,Female,,2008,,,Data not available.
Total - Female,Female,,2009,243.0,0.9,
Total - Female,Female,,2010,,,Data not available.
Total - Female,Female,,2011,244.0,0.9,
Total - Female,Female,,2012,,,Data not available.
Total - Female,Female,,2013,243.0,0.7,
"Total - White, non-Hispanic",,"White, non-Hispanic",2000,239.0,2.5,
"Total - White, non-Hispanic",,"White, non-Hispanic",2001,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2002,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2003,253.0,0.6,
"Total - White, non-Hispanic",,"White, non-Hispanic",2004,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2005,255.0,0.5,
"Total - White, non-Hispanic",,"White, non-Hispanic",2006,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2007,257.0,0.7,
"Total - White, non-Hispanic",,"White, non-Hispanic",2008,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2009,260.0,0.6,
"Total - White, non-Hispanic",,"White, non-Hispanic",2010,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2011,260.0,0.7,
"Total - White, non-Hispanic",,"White, non-Hispanic",2012,,,Data not available.
"Total - White, non-Hispanic",,"White, non-Hispanic",2013,259.0,0.6,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2000,206.0,3.6,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2001,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2002,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2003,219.0,1.1,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2004,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2005,222.0,1.0,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2006,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2007,226.0,1.3,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2008,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2009,229.0,1.1,
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2010,,,Data not available.
"Total - Black, non-Hispanic ",,"Black, non-Hispanic ",2011,231.0,1.0,
