1463.combinedfips_code,1001,2180
1322.combinedfips_code,1001,2070
40304.county,Adas,Adams
2670.combinedfips_code,1001,5083
332.state,Alahbama,Alabama
1339.combinedfips_code,1001,2090
14121.countyfips_code,***,1
50428.county,Addisn,Addison
433.combinedfips_code,1001,1049
50433.county,Addison***,Addison
293.state,labama,Alabama
961.state,Alnabama,Alabama
21830.countyfips_code,***,1
574.combinedfips_code,1001,1063
9769.countyfips_code,w1,1
41620.county,Aikn,Aiken
54.state,Alaabama,Alabama
928.state,Alabma,Alabama
21391.countyfips_code,,1
35739.county,Aams,Adams
769.state,Aylabama,Alabama
1312.state,Alabama,Alaska
162.statefips_code,,1
12461.county,Adas,Adams
12469.county,dams,Adams
62.statefips_code,,1
15.countyfips_code,,1
444.state,Alaabma,Alabama
651.combinedfips_code,1001,1073
2311.combinedfips_code,1001,5043
119.statefips_code,t1,1
270.statefips_code,w1,1
5628.countyfips_code,,1
2219.combinedfips_code,1001,5033
66.statefips_code,u1,1
363.state,Alaabma,Alabama
9774.countyfips_code,,1
811.statefips_code,,1
9761.countyfips_code,***,1
2202.combinedfips_code,1001,5031
2098.combinedfips_code,1001,5019
102.statefips_code,m1,1
1514.state,Alabama,Alaska
394.statefips_code,***,1
2375.combinedfips_code,1001,5049
41630.county,Aiekn,Aiken
1790.combinedfips_code,1001,4013
322.state,Albama,Alabama
5.countyfips_code,,1
14140.county,dAams,Adams
29700.county,Adhams,Adams
2125.combinedfips_code,1001,5023
19959.countyfips_code,,1
101.statefips_code,,1
188.statefips_code,u1,1
38280.county,cAdair,Adair
482.statefips_code,,1
414.state,Alabmaa,Alabama
2157.combinedfips_code,1001,5025
1170.state,lAabama,Alabama
2328.combinedfips_code,1001,5045
953.state,Alabaa,Alabama
283.state,Aalbama,Alabama
715.statefips_code,***,1
53074.county,Aadms,Adams
2172.combinedfips_code,1001,5027
192.statefips_code,***,1
759.combinedfips_code,1001,1085
1837.combinedfips_code,1001,4019
21829.countyfips_code,,1
5693.countyfips_code,,1
198.statefips_code,l1,1
10635.countyfips_code,***,1
352.state,Alabmaa,Alabama
1473.state,Alabama,Alaska
1993.combinedfips_code,1001,5007
727.combinedfips_code,1001,1081
5677.countyfips_code,g1,1
1789.combinedfips_code,1001,4013
1869.combinedfips_code,1001,4021
1507.combinedfips_code,1001,2188
2189.combinedfips_code,1001,5029
1711.combinedfips_code,1001,4007
4332.county,Adbams,Adams
1263.combinedfips_code,1001,2050
1743.combinedfips_code,1001,4009
464.statefips_code,***,1
1106.state,Aabama,Alabama
256.state,lAabama,Alabama
9770.countyfips_code,***,1
324.state,Alabatma,Alabama
233.combinedfips_code,1001,1025
1775.state,Alabama,Arizona
2932.combinedfips_code,1001,5111
36698.county,Adasm,Adams
494.state,Albama,Alabama
5699.countyfips_code,e1,1
4336.county,Adaams,Adams
1277.combinedfips_code,1001,2050
905.state,Aabama,Alabama
761.statefips_code,***,1
1775.combinedfips_code,1001,4012
1695.combinedfips_code,1001,4005
1943.combinedfips_code,1001,5001
1151.combinedfips_code,1001,1127
12464.countyfips_code,,1
150.statefips_code,***,1
229.state,Aabama,Alabama
1028.state,Albaama,Alabama
1619.combinedfips_code,1001,2270
53080.county,Adasm,Adams
30.combinedfips_code,1001,1003
19960.countyfips_code,,1
2596.combinedfips_code,1001,5075
278.statefips_code,***,1
1877.state,Alabama,Arizona
2314.combinedfips_code,1001,5043
1843.state,Alabama,Arizona
21109.countyfips_code,***,1
169.state,Aelabama,Alabama
185.combinedfips_code,1001,1021
564.state,labama,Alabama
31.statefips_code,w1,1
126.state,Alabaa,Alabama
422.statefips_code,***,1
220.statefips_code,,1
1213.combinedfips_code,1001,2013
