40.full_complaintid,201900112154717,201901012409317
495.offense_category,Rac/Color,Race/Color
25.full_complaintid,201900112125917,201900712139317
5.pd_code_description,"CRIMINAL MISCHIEF 4TH, GRAFFIT",AGGRAVATED HARASSMENT 1
1310.county,NEW YOKR,NEW YORK
239.record_create_date,01/30/2109,01/30/2019
220.county,KIeNGS,KINGS
45.law_code_category_description,FjELONY,FELONY
411.offense_category,Religion/Religious iPractice,Religion/Religious Practice
161.arrest_date,03/09/2109,03/09/2019
220.record_create_date,11/24/2109,11/24/2019
548.complaint_year_number,20i20,2020
548.offense_description,FELONY ASSAULyT,FELONY ASSAULT
10.bias_motive_description,ANTI-JEWISH,ANTI-WHITE
10.full_complaintid,201900112125917,201900112618217
12.patrol_borough_name,PATROL BOR MAN SOUTH,PATROL BORO MAN SOUTH
8.pd_code_description,"CRIMINAL MISCHIEF 4TH, GRAFFIT","ASSAULT 2,1,UNCLASSIFIED"
11.full_complaintid,201900112125917,201900112859817
9.full_complaintid,201900112125917,201900112502817
1633.patrol_borough_name,PATROL BpORO BKLYN NORTH,PATROL BORO BKLYN NORTH
51.arrest_id,NULL,M31723428
13.full_complaintid,201900112125917,201900512076217
1712.complaint_precinct_code,12,102
1318.bias_motive_description,ANTI-ASINA,ANTI-ASIAN
72.law_code_category_description,FEOLNY,FELONY
220.pd_code_description,"LRCENY,GRAND FROM PERSON,UNCL","LARCENY,GRAND FROM PERSON,UNCL"
163.county,RBONX,BRONX
6.full_complaintid,201900112154717,201900112262817
7.full_complaintid,201900112154717,201900112405017
304.month_number,d7,7
246.offense_description,ASSAUL 3 & RELATED OFFENSES,ASSAULT 3 & RELATED OFFENSES
