NDC1,NDC2,NDC3,NDC-11,FDA Name(Product Name),COD Status,FDA Application Number/OTC Monograph Number,Drug Category,Drug Type,Unit Type,UPPS,Line Extension,TEC Code,FDA Approval Date,Market Date,Date Transferred From DDR to MDR,Termination Date
00093,3422,10,00093342210,CYCLOBENZAPRINE HCL 10MG TABLETS 1000,01,0071611,N,1,TAB,1.000,N/A,AB,09/30/1990,09/30/1990,08/03/2021,
00093,3427,01,00093342701,LORAZEPAM 2MG TABLETS 100,01,0072928,N,1,TAB,1.000,N/A,AB,10/31/1991,07/01/1998,08/03/2021,
00093,3427,05,00093342705,LORAZEPAM 2MG TABLETS 500,01,0072928,N,1,TAB,1.000,N/A,AB,10/31/1991,07/01/1998,08/03/2021,
00093,3427,10,00093342710,LORAZEPAM 2MG TABLETS 1000,01,0072928,N,1,TAB,1.000,N/A,AB,10/31/1991,07/01/1998,08/03/2021,
00093,9222,01,00093922201,DIFLUNISAL TABLETS 500MG 100,01,0073673,N,1,TAB,1.000,N/A,AB,07/31/1992,11/01/1992,08/03/2021,
00093,9222,06,00093922206,DIFLUNISAL TABLETS 500MG 60,01,0073673,N,1,TAB,1.000,N/A,AB,07/31/1992,11/01/1992,08/03/2021,
00143,9374,01,00143937401,Milrinone Inj 20 mg/20 mL Vial N+ (IP),01,0077966,N,1,ML ,20.000,N/A,AP,12/03/2010,12/03/2010,08/03/2021,
00143,9374,10,00143937410,Milrinone Inj 20 mg/20 mL Vial N+ x 10,01,0077966,N,1,ML ,200.000,N/A,AP,12/03/2010,12/03/2010,08/03/2021,
00536,1309,07,00536130907,GUAIFENESIN/PHENYLEPHRINE 400MG/10MG TABS,10,PART341,N,2,TAB,30.000,N/A,NR,09/09/2020,05/27/2021,08/02/2021,
00904,0430,95,00904043095,DOXYCYCLINE HYCLATE 100MG TAB,01,0065095,N,1,TAB,20.000,N/A,AB,09/30/1990,09/30/1990,08/02/2021,
00904,7016,61,00904701661,BUMETANIDE 1MG TAB,01,0209724,N,1,TAB,100.000,N/A,AB,10/18/2017,04/01/2020,08/02/2021,
00904,7043,04,00904704304,DULOXETINE DR 20MG CAP,01,0090778,N,1,CAP,30.000,N/A,AB,12/11/2013,07/12/2021,08/02/2021,
00904,7043,61,00904704361,DULOXETINE DR 20MG CAP,01,0090778,N,1,CAP,100.000,N/A,AB,12/11/2013,07/12/2021,08/02/2021,
00904,7044,61,00904704461,DULOXETINE DR 30MG CAP,01,0090778,N,1,CAP,100.000,N/A,AB,12/11/2013,07/20/2021,08/02/2021,
00904,7045,61,00904704561,DULOXETINE DR 60MG CAP,01,0090778,N,1,CAP,100.000,N/A,AB,12/11/2013,07/20/2021,08/02/2021,
00904,7103,04,00904710304,EZETIMIBE 10MG TAB,01,0209234,N,1,TAB,30.000,N/A,AB,12/21/2017,07/19/2021,08/02/2021,
00904,7105,61,00904710561,CAPTOPRIL 12.5 MG TAB,01,0212809,N,1,TAB,100.000,N/A,AB,12/13/2019,07/19/2021,08/02/2021,
00904,7106,61,00904710661,CAPTOPRIL 25MG TAB,01,0212809,N,1,TAB,100.000,N/A,AB,12/13/2019,07/19/2021,08/02/2021,
00904,7110,61,00904711061,LABETALOL 200MG TAB,01,0207743,N,1,TAB,100.000,N/A,AB,09/19/2017,07/19/2021,08/02/2021,
00904,7111,61,00904711161,LABETALOL 300MG TAB,01,0207743,N,1,TAB,100.000,N/A,AB,09/19/2017,07/20/2021,08/02/2021,
00904,7115,61,00904711561,DOCUSATE SODIUM 100MG SOFTGEL CAPS,09,PART334,N,2,CAP,100.000,N/A,NR,04/16/2021,07/15/2021,08/02/2021,
00904,7119,06,00904711906,CALCIUM ACETATE 667MG CAP,01,0077728,N,1,CAP,50.000,N/A,AB,02/26/2008,07/21/2021,08/02/2021,
00904,7119,61,00904711961,CALCIUM ACETATE 667MG CAP,01,0077728,N,1,CAP,100.000,N/A,AB,02/26/2008,07/21/2021,08/02/2021,
00904,7120,04,00904712004,COLCHICINE 0.6MG TAB,01,0210425,N,1,TAB,30.000,N/A,AB,02/05/2020,07/14/2021,08/02/2021,
00904,7130,61,00904713061,CHLORPROMAZINE 25MG TAB,01,0213368,N,1,TAB,100.000,N/A,AB,01/17/2020,07/14/2021,08/02/2021,
00904,7131,61,00904713161,CHLORPROMAZINE 50MG TAB,01,0213368,N,1,TAB,100.000,N/A,AB,01/17/2020,07/20/2021,08/02/2021,
00904,7141,10,00904714110,METHOTREXATE 2.5MG TAB,01,0207812,N,1,TAB,20.000,N/A,AB,01/13/2017,07/29/2021,08/02/2021,
51224,0009,20,51224000920,"Cholestyramine for Oral Suspension USP, Light",01,0209599,N,1,GM ,4.800,N/A,AB,11/12/2020,11/12/2020,08/03/2021,
