24.fips,2130,2240
54.state_county,AK_Anchorage Municipality,AL_DeKalb
123.fips,2013,5053
55.fips,2016,1051
16.state_county,AK_Aleutians West Census Area,AK_Matanuska-Susitna Borough
45.fips_two,f02016,f01031
21.fips,2016,2198
29.fips_two,f02050,f02290
41.fips,2090,1023
1765.county_two,dAams ,Adams 
44.fips,2090,1029
99.state_county,AK_Aleutians West Census Area,AR_Baxter
90.state_county,AK_Aleutians West Census Area,AL_Talladega
16.statefips,i2,2
17.fips,2050,2180
31.fips_two,f02016,f01003
109.state_county,AK_Aleutians West Census Area,AR_Cleveland
10.fips_two,f02016,f02105
32.fips,2016,1005
43.fips_two,f02016,f01027
35.fips_two,f02016,f01011
18.fips_two,f02050,f02185
12.fips,2016,2122
29.fips,2261,2290
61.statefips,2,1
37.fips_two,f02016,f01015
40.fips_two,f02016,f01021
116.state_county,AK_Aleutians West Census Area,AR_Dallas
54.fips,2016,1049
18.state_county,AK_Juneau City and Borough,AK_North Slope Borough
20.fips,2016,2195
24.fips_two,f02016,f02240
39.state_county,AK_Anchorage Municipality,AL_Cherokee
34.fips,2220,1009
9.statefips,***,2
44.state_county,AK_Bethel Census Area,AL_Cleburne
60.fips,2016,1061
13.state,K,AK
63.fips,2016,1067
28.state,kAK,AK
26.state_county,AK_Bethel Census Area,AK_Wade Hampton Census Area
5.fips,2016,2060
12.state_county,AK_Aleutians West Census Area,AK_Kenai Peninsula Borough
76.state_county,AK_Aleutians West Census Area,AL_Marion
2055.county_two,Aleln ,Allen 
31.state_county,AK_Juneau City and Borough,AL_Baldwin
84.fips,2016,1109
56.state,AK,AL
104.fips,2016,5015
48.fips,2016,1037
26.state,kAK,AK
53.state_county,AK_Aleutians West Census Area,AL_Dallas
20.state_county,AK_Aleutians West Census Area,AK_Petersburg Census Area
72.state_county,AK_Aleutians West Census Area,AL_Lowndes
64.statefips,2,1
32.fips_two,f02180,f01005
28.fips_two,f02016,f02282
97.state,AK,AR
15.state_county,AK_Aleutians West Census Area,AK_Lake and Peninsula Borough
139.state_county,AK_Aleutians East Borough,AR_Lonoke
84.fips_two,f02016,f01109
56.fips,2016,1053
14.county,Anchorage Municipality,Kodiak Island Borough
17.statefips,***,2
44.fips_two,f02070,f01029
88.state_county,AK_Aleutians West Census Area,AL_St. Clair
83.fips_two,f02016,f01107
52.fips_two,f02068,f01045
30.fips,2050,1001
18.fips,2050,2185
50.fips_two,f02016,f01041
26.fips_two,f02016,f02270
68.fips,2016,1077
36.state_county,AK_Aleutians West Census Area,AL_Butler
59.fips,2016,1059
14.state_county,AK_Bristol Bay Borough,AK_Kodiak Island Borough
10.county,Aleutians West Census Area,Hoonah-Angoon Census Area
135.fips,2016,5077
80.state_county,AK_Aleutians West Census Area,AL_Montgomery
77.state_county,AK_Aleutians West Census Area,AL_Marshall
59.statefips,2,1
41.fips_two,f02016,f01023
96.state_county,AK_Aleutians West Census Area,AL_Winston
7.state_county,AK_Anchorage Municipality,AK_Dillingham Census Area
68.state,AK,AL
3086.county_two,Adamsv ,Adams 
53.fips_two,f02060,f01047
6.state_county,AK_Aleutians West Census Area,AK_Denali Borough
36.fips_two,f02016,f01013
126.state_county,AK_Aleutians East Borough,AR_Hot Spring
57.fips,2050,1055
9.fips,2016,2100
11.county,Aleutians West Census Area,Juneau City and Borough
3.fips,2016,2020
43.state_county,AK_Bethel Census Area,AL_Clay
113.state_county,AK_Aleutians West Census Area,AR_Crawford
39.fips,2068,1019
138.state_county,AK_Aleutians East Borough,AR_Logan
3.fips_two,f02016,f02020
73.fips,2090,1087
8.state_county,AK_Anchorage Municipality,AK_Fairbanks North Star Borough
8.fips_two,f02195,f02090
46.fips_two,f02016,f01033
43.fips,2016,1027
47.state_county,AK_Haines Borough,AL_Conecuh
38.fips_two,f02016,f01017
46.fips,2090,1033
