57.fips_two,f02016,f01055
68.state_county,AK_Aleutians West Census Area,AL_Lauderdale
35.fips,2020,1011
71.state_county,AK_Aleutians West Census Area,AL_Limestone
36.fips,2070,1013
33.fips_two,f02016,f01007
87.state_county,AK_Aleutians West Census Area,AL_Shelby
21.fips,2016,2198
106.fips,2016,5019
42.fips,2050,1025
92.state,AK,AL
26.state_county,AK_Anchorage Municipality,AK_Wade Hampton Census Area
6.statefips,,2
6.state_county,AK_Anchorage Municipality,AK_Denali Borough
56.state_county,AK_Aleutians West Census Area,AL_Escambia
44.fips,2016,1029
81.state_county,AK_Anchorage Municipality,AL_Morgan
15.fips,2016,2164
66.state_county,AK_Anchorage Municipality,AL_Jefferson
13.state_county,AK_Kenai Peninsula Borough,AK_Ketchikan Gateway Borough
35.fips_two,f02016,f01011
26.fips,2020,2270
11.state,K,AK
42.fips_two,f02016,f01025
48.state,AK,AL
78.state,AK,AL
133.fips_two,f02016,f05073
105.state_county,AK_Aleutians West Census Area,AR_Chicot
23.fips,2020,2230
30.statefips,2,1
88.fips,2020,1115
47.state,AK,AL
41.state_county,AK_Anchorage Municipality,AL_Choctaw
33.fips,2016,1007
37.fips_two,f02016,f01015
30.fips,2016,1001
78.fips_two,f02016,f01097
75.fips,2020,1091
19.fips,2060,2188
100.state_county,AK_Aleutians West Census Area,AR_Benton
54.fips,2016,1049
16.state_county,AK_Anchorage Municipality,AK_Matanuska-Susitna Borough
20.county,Anchorage Municipality,Petersburg Census Area
20.fips,2016,2195
64.state_county,AK_Aleutians West Census Area,AL_Houston
51.fips,2016,1043
53.fips,2122,1047
7.state_county,AK_Kenai Peninsula Borough,AK_Dillingham Census Area
39.state_county,AK_Aleutians West Census Area,AL_Cherokee
55.fips_two,f02016,f01051
24.fips,2020,2240
39.fips,2020,1019
60.fips,2016,1061
144.fips_two,f02016,f05095
60.state_county,AK_Aleutians West Census Area,AL_Geneva
8.fips,2016,2090
30.fips_two,f02016,f01001
46.state_county,AK_Aleutians West Census Area,AL_Colbert
4.state_county,AK_Kenai Peninsula Borough,AK_Bethel Census Area
48.fips,2020,1037
14.fips_two,f02016,f02150
104.state_county,AK_Aleutians East Borough,AR_Carroll
23.state_county,AK_Anchorage Municipality,AK_Skagway Municipality
17.fips,2016,2180
125.state_county,AK_Aleutians West Census Area,AR_Hempstead
3213.county_two,Albangy ,Albany 
29.county,Bristol Bay Borough,Yukon-Koyukuk Census Area
72.state_county,AK_Aleutians West Census Area,AL_Lowndes
17.fips_two,f02016,f02180
34.state_county,AK_Aleutians West Census Area,AL_Blount
98.fips_two,f02016,f05003
28.county,Bristol Bay Borough,Yakutat City and Borough
67.state_county,AK_Aleutians West Census Area,AL_Lamar
28.state,KA,AK
72.fips_two,f02016,f01085
57.state_county,AK_Anchorage Municipality,AL_Etowah
84.fips_two,f02013,f01109
150.fips_two,f02016,f05107
56.fips,2016,1053
2612.county_two,Anjderson ,Anderson 
895.county_two,Amllen ,Allen 
35.statefips,2,1
19.statefips,r2,2
7.county,Aleutians West Census Area,Dillingham Census Area
75.fips_two,f02016,f01091
12.fips_two,f02020,f02122
61.fips,2020,1063
25.statefips,***,2
62.fips,2016,1065
11.fips,2020,2110
50.fips_two,f02016,f01041
50.fips,2016,1041
73.fips,2020,1087
19.fips_two,f02016,f02188
70.state_county,AK_Aleutians West Census Area,AL_Lee
27.state_county,AK_Aleutians West Census Area,AK_Wrangell City and Borough
59.fips,2016,1059
14.state_county,AK_Bristol Bay Borough,AK_Kodiak Island Borough
36.statefips,2,1
44.state_county,AK_Aleutians West Census Area,AL_Cleburne
80.state_county,AK_Aleutians West Census Area,AL_Montgomery
22.state,K,AK
137.state_county,AK_Aleutians East Borough,AR_Little River
77.fips_two,f02016,f01095
96.state_county,AK_Aleutians West Census Area,AL_Winston
41.fips,2020,1023
16.fips,2020,2170
47.fips,2020,1035
25.fips_two,f02016,f02261
34.fips,2020,1009
61.state_county,AK_Anchorage Municipality,AL_Greene
114.fips_two,f02016,f05035
102.fips_two,f02013,f05011
2055.county_two,llen ,Allen 
52.fips_two,f02016,f01045
48.fips_two,f02016,f01037
7.fips_two,f02016,f02070
102.state_county,AK_Aleutians West Census Area,AR_Bradley
6.fips,2016,2068
14.statefips,a2,2
130.fips_two,f02016,f05067
9.fips,2016,2100
64.fips_two,f02016,f01069
32.statefips,2,1
92.state_county,AK_Aleutians West Census Area,AL_Tuscaloosa
63.state_county,AK_Anchorage Municipality,AL_Henry
37.fips,2016,1015
55.state_county,AK_Aleutians West Census Area,AL_Elmore
46.fips,2016,1033
13.state,iAK,AK
43.fips,2016,1027
78.state_county,AK_Aleutians West Census Area,AL_Mobile
31.fips_two,f02020,f01003
10.state_county,AK_Kenai Peninsula Borough,AK_Hoonah-Angoon Census Area
