39.fips_two,f02188,f01019
57.fips_two,f02016,f01055
59.fips,2068,1059
65.state_county,AK_Yukon-Koyukuk Census Area,AL_Jackson
15.fips_two,f02060,f02164
64.state_county,AK_Juneau City and Borough,AL_Houston
55.fips,2016,1051
54.state_county,AK_Aleutians West Census Area,AL_DeKalb
16.fips,2122,2170
24.fips,2016,2240
27.fips_two,f02188,f02275
21.fips,2016,2198
20.fips_two,f02016,f02195
80.fips,2016,1101
49.fips_two,f02070,f01039
52.fips,2016,1045
20.statefips,,2
9.statefips,1,2
137.fips,2016,5081
110.fips_two,f02016,f05027
14.fips_two,f02060,f02150
27.fips,2016,2275
106.fips,2013,5019
50.state_county,AK_Bristol Bay Borough,AL_Crenshaw
10.fips_two,f02090,f02105
44.statefips,2,1
22.fips_two,f02090,f02220
25.county,Aleutians West Census Area,Valdez-Cordova Census Area
127.county,Aleutians West Census Area,Howard 
7.statefips,m2,2
40.state_county,AK_Aleutians West Census Area,AL_Chilton
69.fips_two,f02016,f01079
49.state_county,AK_Nome Census Area,AL_Covington
112.fips,2016,5031
41.fips,2016,1023
18.fips_two,f01009,f02185
3.county,Aleutians West Census Area,Anchorage Municipality
56.state_county,AK_Prince of Wales-Hyder Census Area,AL_Escambia
7.state_county,AK_Northwest Arctic Borough,AK_Dillingham Census Area
2612.county_two,Anderso n,Anderson 
32.fips,2016,1005
3.state_county,AK_Juneau City and Borough,AK_Anchorage Municipality
97.fips,2016,5001
30.state_county,AK_Kenai Peninsula Borough,AL_Autauga
2408.county_two,Andersn ,Anderson 
12.fips_two,f02188,f02122
15.statefips,1,2
43.fips_two,f02016,f01027
22.statefips,,2
34.state_county,AK_Nome Census Area,AL_Blount
32.state_county,AK_Juneau City and Borough,AL_Barbour
37.state_county,AK_Nome Census Area,AL_Calhoun
157.state_county,AK_Aleutians West Census Area,AR_Randolph
53.fips,2050,1047
38.state_county,AK_Nome Census Area,AL_Chambers
38.fips,2020,1017
53.state_county,AK_Yakutat City and Borough,AL_Dallas
138.county,Aleutians West Census Area,Logan 
13.fips_two,f02110,f02130
1410.county_two,Atcuhison ,Atchison 
24.statefips,e2,2
67.state_county,AK_Ketchikan Gateway Borough,AL_Lamar
105.state_county,AK_Aleutians West Census Area,AR_Chicot
18.state_county,AK_Aleutians West Census Area,AK_North Slope Borough
7.fips,2050,2070
65.fips_two,f02016,f01071
113.fips_two,f02016,f05033
93.county,Aleutians West Census Area,Walker 
33.state_county,AK_Kodiak Island Borough,AL_Bibb
10.state,AfK,AK
26.fips,2016,2270
128.fips,2016,5063
9.fips_two,f02090,f02100
48.state_county,AK_Nome Census Area,AL_Coosa
25.fips_two,f01009,f02261
29.fips,2090,2290
20.fips,2016,2195
57.fips,2016,1055
31.state_county,AK_Aleutians West Census Area,AL_Baldwin
39.fips,2016,1019
46.state_county,AK_Kenai Peninsula Borough,AL_Colbert
125.county,Aleutians West Census Area,Hempstead 
98.fips,2068,5003
9.county,Aleutians West Census Area,Haines Borough
13.state,K,AK
41.state_county,AK_Kodiak Island Borough,AL_Choctaw
140.fips,2013,5087
59.state_county,AK_Prince of Wales-Hyder Census Area,AL_Franklin
50.statefips,a1,1
23.statefips,c2,2
4.state_county,AK_Kenai Peninsula Borough,AK_Bethel Census Area
43.state_county,AK_Nome Census Area,AL_Clay
1001.county_two,llen ,Allen 
15.state_county,AK_Nome Census Area,AK_Lake and Peninsula Borough
81.fips,2016,1103
43.statefips,2,1
4.fips_two,f02016,f02050
41.fips_two,f02198,f01023
19.state,KA,AK
117.fips_two,f02016,f05041
26.state,cAK,AK
108.state_county,AK_Aleutians West Census Area,AR_Cleburne
70.fips,2020,1081
17.fips_two,f02013,f02180
26.state_county,AK_Ketchikan Gateway Borough,AK_Wade Hampton Census Area
58.state_county,AK_Fairbanks North Star Borough,AL_Fayette
51.state_county,AK_Juneau City and Borough,AL_Cullman
2899.county_two,Aluleghany ,Alleghany 
77.fips,2068,1095
17.fips,2090,2180
47.state_county,AK_Nome Census Area,AL_Conecuh
111.state_county,AK_Aleutians West Census Area,AR_Conway
76.fips,2016,1093
45.state_county,AK_Juneau City and Borough,AL_Coffee
96.fips_two,f02016,f01133
29.state,K,AK
14.fips,2016,2150
110.fips,2020,5027
45.fips,2016,1031
84.fips_two,f02016,f01109
33.fips_two,f02060,f01007
5.state,KA,AK
35.statefips,2,1
42.state_county,AK_Aleutians East Borough,AL_Clarke
68.state_county,AK_Yukon-Koyukuk Census Area,AL_Lauderdale
137.state_county,AK_Aleutians West Census Area,AR_Little River
67.fips,2020,1075
88.state_county,AK_Aleutians West Census Area,AL_St. Clair
37.fips_two,f02020,f01015
164.fips_two,f02016,f05123
36.state_county,AK_Northwest Arctic Borough,AL_Butler
35.state_county,AK_Nome Census Area,AL_Bullock
46.fips,2110,1033
1818.county_two,Adam s,Adams 
26.fips_two,f02016,f02270
40.fips_two,f02090,f01021
35.fips_two,f02020,f01011
895.county_two,llen ,Allen 
27.state,KA,AK
40.fips,2013,1021
5.fips,2050,2060
61.state_county,AK_Aleutians East Borough,AL_Greene
61.fips,2016,1063
19.fips,2020,2188
93.fips_two,f02016,f01127
42.fips_two,f02090,f01025
81.state_county,AK_Aleutians West Census Area,AL_Morgan
52.state_county,AK_Petersburg Census Area,AL_Dale
36.fips,2050,1013
25.state_county,AK_Aleutians West Census Area,AK_Valdez-Cordova Census Area
47.fips,2020,1035
33.fips,2050,1007
34.fips,2020,1009
108.fips_two,f02016,f05023
28.fips_two,f02110,f02282
14.statefips,1,2
48.fips_two,f02016,f01037
102.fips_two,f02016,f05011
139.fips_two,f02013,f05085
39.state_county,AK_Bristol Bay Borough,AL_Cherokee
44.state_county,AK_Haines Borough,AL_Cleburne
6.state_county,AK_Aleutians West Census Area,AK_Denali Borough
23.state_county,AK_Kenai Peninsula Borough,AK_Skagway Municipality
127.fips_two,f02016,f05061
130.fips_two,f02016,f05067
6.fips_two,f02198,f02068
9.fips,2016,2100
22.state_county,AK_Kenai Peninsula Borough,AK_Sitka City and Borough
113.state_county,AK_Aleutians West Census Area,AR_Crawford
13.fips,2016,2130
28.fips,2090,2282
12.statefips,1,2
23.fips_two,f02016,f02230
24.fips_two,f02070,f02240
64.fips,2090,1069
70.fips_two,f02016,f01081
43.fips,2016,1027
28.statefips,x2,2
57.state_county,AK_Nome Census Area,AL_Etowah
62.state_county,AK_Ketchikan Gateway Borough,AL_Hale
30.fips_two,f02060,f01001
16.fips_two,f02188,f02170
38.fips_two,f02090,f01017
147.state_county,AK_Aleutians West Census Area,AR_Newton
30.fips,2105,1001
131.state_county,AK_Aleutians West Census Area,AR_Jefferson
31.fips_two,f02020,f01003
10.state_county,AK_Kenai Peninsula Borough,AK_Hoonah-Angoon Census Area
54.fips_two,f02016,f01049
