OBJECTID,name,reportdt,confirmed,recovered,deaths,active,GlobalID,tested,Negative,Pending,MaleCases,FemaleCases,Cases0to19,Cases20to29,Cases30to39,Cases40to49,Cases50to59,Cases60to69,Cases70to79,Cases80plus,NewCases,MaleDeaths,FemaleDeaths,Deaths0to19,Deaths20to29,Deaths30to39,Deaths40to49,Deaths50to59,Deaths60to69,Deaths70to79,Deaths80plus,AsianCases,BlackCases,HispanicCases,NativeAmCases,OtherCases,WhiteCases,CurrentlyHospitalizedCases,PercAsianCases,PercBlackCases,PercHispanicCases,PercNativeAmCases,PercOtherCases,PercWhiteCases,PercPopAsianCases,PercPopBlackCases,PercPopHispanicCases,PercPopNativeAmCases,PercPopOtherCases,PercPopWhiteCases,NewDailyDeaths,NewDailyTested,DailyPercentPositive,TotalPercentPositive,NewDailyNegative,ThreeDayAvg,SevenDayAvg,Cases0to9,Cases10to19,Deaths0to9,Deaths10to19,TotalDoses,TotalRecipients,MalesVaccinated,FemalesVaccinated,Vaccinated0to9,Vaccinated10to19,Vaccinated20to29,Vaccinated30to39,Vaccinated40to49,Vaccinated50to59,Vaccinated60to69,Vaccinated70to79,Vaccinated80plus,NewDailyDoses,NewDailyRecipients,Total1DoseRecipients,Total2DoseRecipients,TotalJJDoses,TotalJJRecipients,TotalVaccinated,Pfizer3DoseRecipients,Moderna3DoseRecipients,Total3DoseRecipients,PartialVaccinated
1,South Dakota,2020/03/17 21:08:00+00,11,0,1,10,36c295e9-9e73-402c-bc86-f81518c578af,597,551,35,9,2,0,1,2,3,3,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,597,,1.84254606365159,596,,0.14,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
2,South Dakota,2020/03/18 05:00:00+00,11,0,1,10,2285f5ef-bbf2-4ac0-bd62-125d55c4628f,912,551,350,9,2,0,1,2,3,3,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,315,,1.20614035087719,315,,0.14,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
3,South Dakota,2020/03/19 22:46:00+00,11,0,1,10,d9a3c949-65d1-4bba-a5cc-363e2e1592e5,912,551,350,9,2,0,1,2,3,3,2,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1.20614035087719,0,1.333,0.57,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
4,South Dakota,2020/03/20 19:32:00+00,14,0,1,13,b797b1a7-2f84-42be-b804-db3df39e12ad,947,663,270,11,3,0,1,3,4,3,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,35,0,1.47835269271383,35,1,0.57,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
5,South Dakota,2020/03/22 17:53:00+00,21,6,1,14,4f2c292e-e14f-4d27-9536-bbe273f23206,1038,740,277,15,6,2,3,3,4,4,5,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,65,10.7692307692308,2.02312138728324,58,2.333,1.57,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
6,South Dakota,2020/03/21 17:43:00+00,14,0,1,13,32d14bfd-a257-4dad-bc4d-7269a70c5f04,973,691,268,11,3,0,1,3,4,3,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,0,1.43884892086331,26,1,0.57,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
7,South Dakota,2020/03/23 16:13:00+00,28,6,1,21,4166a5dd-21b3-462b-8132-f42b4c5b3780,1055,762,265,17,11,2,3,4,4,8,6,1,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,41.1764705882353,2.65402843601896,10,4.667,2.57,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
8,South Dakota,2020/03/24 16:52:00+00,30,8,1,21,14ae2e62-3f54-4626-8ccf-c9ce44e60327,1088,790,268,19,11,2,4,5,4,8,6,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33,6.06060606060606,2.75735294117647,31,5.333,2.71,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
9,South Dakota,2020/03/25 16:35:00+00,41,13,1,27,da44ab36-bf30-4224-b6d9-88f869aa9884,1128,819,268,22,19,2,7,6,4,12,8,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40,27.5,3.63475177304965,29,6.667,4.29,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
10,South Dakota,2020/03/26 17:24:00+00,46,16,1,29,63f20cbf-7e6d-4273-86be-f848cd0ef620,2144,1973,125,26,20,2,8,7,4,14,8,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1016,0.492125984251969,2.1455223880597,1011,6,4.57,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
11,South Dakota,2020/03/27 16:37:00+00,58,21,1,36,533611d5-2846-44d2-8c69-74732d7e5428,2465,2387,20,31,27,2,10,8,8,16,9,4,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,321,3.73831775700935,2.35294117647059,309,9.333,6.29,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
12,South Dakota,2020/03/28 16:43:00+00,68,26,1,41,cb4fb467-0bb8-48eb-b3af-e39640987dd6,2660,2592,0,35,33,3,10,9,10,18,13,4,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,195,5.12820512820513,2.55639097744361,185,9,7.71,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
13,South Dakota,2020/03/29 16:36:00+00,90,29,1,60,507e7038-0dc1-4f93-b494-2e5e20a90efd,3218,3127,1,45,45,4,16,9,18,20,16,6,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,558,3.9426523297491,2.79676817899316,536,14.667,9.86,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
14,South Dakota,2020/03/30 16:50:00+00,101,34,1,66,f1ea09f5-74df-4459-930c-7ac62ece0d1c,3579,3478,0,52,49,5,19,13,18,22,17,6,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,361,3.04709141274238,2.82201732327466,350,14.333,10.43,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
15,South Dakota,2020/03/31 17:00:00+00,108,44,1,63,969d6ae7-a862-4fa6-88f5-554ae02515ec,3717,3609,0,56,52,5,21,13,20,24,17,7,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,138,5.07246376811594,2.90556900726392,131,13.333,11.14,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
16,South Dakota,2020/04/01 17:01:00+00,129,51,2,76,aacfa79a-7169-4473-98a8-d21ea72dd4db,4032,3903,0,69,60,6,23,15,26,30,20,7,2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,315,6.66666666666667,3.19940476190476,294,13,12.57,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
17,South Dakota,2020/04/02 16:48:00+00,165,57,2,106,6f45d526-0203-4540-adea-887d72d08c54,4382,4217,0,78,87,6,30,22,31,36,26,8,6,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,350,10.2857142857143,3.76540392514833,314,21.333,17,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
18,South Dakota,2020/04/03 16:32:00+00,187,69,2,116,cce170b4-46bc-45db-a003-170b7baace6d,4783,4593,3,93,94,6,34,28,34,39,30,9,7,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,401,5.48628428927681,3.90968011708133,379,26.333,18.43,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
19,South Dakota,2020/04/04 16:41:00+00,212,76,2,134,c74403ae-37bb-4eb0-bffd-ca457036261b,5225,5012,1,103,109,7,38,37,37,43,33,9,8,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,442,5.65610859728507,4.05741626794258,417,27.667,20.57,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,,
