2722.y,523322.13,523232.13
143.location,"(29.9580154964913, -90.0871467011987)","(29.9281209496619, -90.0749614416878)"
13.location,"(29.9605816137577, -90.0892762017721)","(29.9327267848643, -90.0726684417138)"
26.location,"(29.9436221825203, -90.0784593414273)","(29.950500721834, -90.1329010717728)"
2755.x,678848.76,3678848.76
15.location,"(29.9605816137577, -90.0892762017721)","(29.9327357007606, -90.0727235818619)"
509.y,534029.51,534209.51
2063.x,3691476.10,3691476.01
488.y,5362w72.09,536272.09
444.x,3681310.67,3681301.67
62.location,"(29.9580154964913, -90.0871467011987)","(29.9408289824332, -90.0783152735474)"
52.location,"(29.9580154964913, -90.0871467011987)","(29.962378620123, -90.0942223278573)"
2215.y,x534612.77,534612.77
78.location,"(29.9436221825203, -90.0784593414273)","(29.9457580045404, -90.0746858892747)"
81.location,"(29.9580154964913, -90.0871467011987)","(29.9647071287253, -90.0837190697134)"
35.location,"(29.9580154964913, -90.0871467011987)","(29.9327309324472, -90.0727052350259)"
556.y,536452.7,536452.77
577.y,53488.54,534488.54
93.location,"(29.9436221825203, -90.0784593414273)","(29.93910971305, -90.0733582405997)"
2731.x,368009o6.68,3680096.68
42.location,"(29.9580154964913, -90.0871467011987)","(29.9398281588895, -90.0780858356214)"
140.location,"(29.9436221825203, -90.0784593414273)","(29.9489492606497, -90.0513173889839)"
577.x,6391565.64,3691565.64
108.location,"(29.9436221825203, -90.0784593414273)","(29.9639137125841, -90.0966628687184)"
135.location,"(29.9606030466068, -90.0892656704537)","(29.9685699212186, -90.0549520686664)"
37.location,"(29.9580154964913, -90.0871467011987)","(29.9327405195896, -90.0727472007548)"
25.location,"(29.9580154964913, -90.0871467011987)","(29.9614736430167, -90.0345747956616)"
1260.x,369153.885,3691538.85
1963.x,3682143.728c34,3682143.72834
4.location,"(29.9436221825203, -90.0784593414273)","(29.9663236986569, -90.0626983550869)"
1992.y,563402.05,536402.05
9.location,"(29.9580154964913, -90.0871467011987)","(29.9452594846043, -90.0747577308854)"
2401.y,532793.z756676,532793.756676
8.location,"(29.9605816137577, -90.0892762017721)","(29.9298693584731, -90.0755693553574)"
1392.y,53459b2.21,534592.21
2343.x,368039.342,3680393.42
30.location,"(29.9436221825203, -90.0784593414273)","(29.9684668112717, -90.074357136476)"
501.x,3681t301.67,3681301.67
377.y,34209.51,534209.51
139.x,684783.85,3684783.85
2570.x,36722q28.06,3672228.06
431.y,253989.82,523989.82
75.location,"(29.9436221825203, -90.0784593414273)","(29.941553355964, -90.0732799291885)"
2139.x,3677648.11,3677468.11
61.location,"(29.9436221825203, -90.0784593414273)","(29.9398435443459, -90.0781160174843)"
17.location,"(29.9436221825203, -90.0784593414273)","(29.9409105746801, -90.0673505685156)"
2722.x,3680t096.68,3680096.68
2755.y,52512203,525122.03
922.y,33744.11,533744.11
141.location,"(29.9436221825203, -90.0784593414273)","(30.0170322943235, -90.0521619283327)"
94.location,"(29.9436221825203, -90.0784593414273)","(29.9387652695717, -90.0807590426233)"
69.location,"(29.9580154964913, -90.0871467011987)","(29.9372910692434, -90.0747617942331)"
355.x,378257.56,3678257.56
1161.y,b534609.22,534609.22
79.location,"(29.9436221825203, -90.0784593414273)","(29.9167336138687, -90.1072363155933)"
38.location,"(29.9580154964913, -90.0871467011987)","(29.9397085402145, -90.0769715356914)"
