OBJECTID,OBJECTID_1,instName,unitID,altName,descriptn,effDate,OWEBregion,umbrellaWC,cSteward,defFeature,defFeatu_1,instCode,unitOwner1,unitOwner2,unitOwner3,defFeatu_2,defFeatu_3,created_us,created_da,last_edite,last_edi_1,unitOwner,Shape_Leng,SHAPE_Length,SHAPE_Area
1,2,Upper Nehalem Watershed Council,1135846101,Upper Nehalem WC,http://unwc.nehalem.org/,1998,1 - North Coast, ,OWEB,10-digit HUC,PNW Hydrography Framework,101,0,0,0,n/a,12-digit HUC, ,, ,,1135846,648217.229438,283774.683887714,2891126852.95499
2,3,Williams Creek Watershed Council,1135853102,Williams Creek WC,http://www.oregon.gov/OWEB/watershed_council_contacts.shtml#WilliamsCreekWC,unknown,2 - Southwest Oregon,Applegate River Watershed Council,OWEB,10-digit HUC,PNW Hydrography Framework,102,0,0,0,n/a,n/a, ,, ,,1135853,208057.42576,85636.4813117808,390968644.648479
3,4,Bear Creek Watershed Council,1135853103,Bear Creek WC,http://www.bearcreek-watershed.org/,unknown,2 - Southwest Oregon, ,OWEB,10-digit HUC,PNW Hydrography Framework,103,0,0,0,n/a,Rogue River, ,, ,,1135853,622257.396633,256185.154087303,1899944413.87595
4,5,Seven Basins Watershed Council,1135853104,Seven Basins WC,http://www.sevenbasins.org/,2002,2 - Southwest Oregon, ,OWEB,10-digit HUC,PNW Hydrography Framework,104,0,0,0,n/a,Rogue River, ,, ,,1135853,586717.130875,242809.448054221,1891025903.41125
5,6,Hunter Creek/Pistol River Watershed Council,1155129105,Hunter Creek/Pistol River WCl,http://currywatersheds.org/,1994,2 - Southwest Oregon,South Coast Watershed Council,OWEB,10-digit HUC,PNW Hydrography Framework,105,0,0,0,n/a,n/a, ,, ,,1155129,350927.868173,144615.120813777,709088278.116078
6,7,Applegate River Watershed Council,1135853106,Applegate River WC,http://www.applegatepartnershipwc.org/,1994,2 - Southwest Oregon, ,OWEB,10-digit HUC,"Oregon Framework data (PNW Hydro, OR/WA BLM)",106,0,0,0,n/a,State of Oregon boundary, ,, ,,1135853,938110.746482,386034.972151486,2816432663.8311
7,8,Little Butte Creek Watershed Council,2709705107,Little Butte Creek WC,http://www.roguebasinwatersheds.org/SectionIndex.asp?SectionID=10,1994,2 - Southwest Oregon, ,OWEB,10-digit HUC,PNW Hydrography Framework,107,0,0,0,n/a,n/a, ,, ,2014/02/25 00:00:00+00,2709705,632069.759694,260762.60346001,1772627215.35676
8,9,Euchre Creek Watershed Council,1155129108,Euchre Creek WC,http://currywatersheds.org/,1994,2 - Southwest Oregon,South Coast Watershed Council,OWEB,12-digit HUC,PNW Hydrography Framework,108,0,0,0,n/a,n/a, ,, ,,1155129,195036.281982,80777.9456319047,178508860.461427
9,10,Upper Rogue Watershed Council,1135853109,Upper Rogue WC,http://www.roguebasinwatersheds.org/SectionIndex.asp?SectionID=2,1994,2 - Southwest Oregon, ,OWEB,10-digit HUC,PNW Hydrography Framework,109,0,0,0,n/a,n/a, ,, ,,1135853,1052229.29483,436783.60281105,5965949007.71164
10,11,Elk Creek Watershed Council,1135849110,Elk Creek WC,http://www.oregon.gov/OWEB/watershed_council_contacts.shtml#ElkCreekWC,2002,2 - Southwest Oregon, ,OWEB,10-digit HUC,PNW Hydrography Framework,110,0,0,0,n/a,n/a, ,, ,,1135849,540503.699206,227785.272695458,1447163778.50948
