usaf,wban,yrmodahrmn,dir,spd,gus,clg,skc,l,m,h,vsb,mw,mw_one,mw_two,mw_three,aw,aw_one,aw_two,aw_three,w,temp,dewp,slp,alt,stp,max,min,pcp_zero_one,pcp_zero_six,pcp_two_four,pcpxx,sd
94889,201304010053,270,9,***,722,SCT,*,*,*,10.0,**,**,**,**,**,**,**,**,*,49,30,1004.1,29.64,973.6,***,***,0.00,*****,*****,*****,**,NULL
94889,201304010153,300,7,***,75,OVC,*,*,*,10.0,**,**,**,**,**,**,**,**,*,48,35,1004.7,29.66,974.2,***,***,0.00,*****,*****,*****,**,NULL
94889,201304010153,320,11,24,27,OVC,*,*,*,10.0,**,**,**,**,**,**,**,**,*,46,34,******,29.68,974.9,***,***,*****,*****,*****,*****,**,NULL
94889,201304010253,330,14,***,34,OVC,*,*,*,10.0,**,**,**,**,**,**,**,**,*,46,33,1005.4,29.68,974.9,***,***,0.00,*****,*****,*****,**,NULL
94889,201304010153,290,18,28,110,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,43,31,1006.0,29.70,975.5,***,***,0.00,*****,*****,*****,**,NULL
94889,201304010153,300,14,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,39,27,1006.4,29.71,975.9,***,***,0.00,*****,*****,*****,**,NULL
94889,201304010459,***,***,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,****,****,******,*****,******,60,***,*****,*****,0.05,*****,**,NULL
94889,201304010553,300,10,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,37,26,1006.7,29.72,976.2,52,37,0.00,*****,*****,*****,**,NULL
94889,201304010459,340,15,23,24,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,36,27,******,29.75,977.2,***,***,*****,*****,*****,*****,**,NULL
94889,201304010653,340,13,22,32,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,34,26,1007.8,29.75,977.2,***,***,0.00,*****,*****,*****,**,NULL
94889,201304010753,340,14,20,43,OVC,*,*,*,10.0,**,**,**,**,71,**,**,**,*,34,23,1008.7,29.78,978.2,***,***,0.00T*****,*****,*****,**,NULL,NULL
94889,201304010153,320,10,21,722,SCT,*,*,*,10.0,**,**,**,**,**,**,**,**,*,32,19,1009.8,29.81,979.2,***,***,0.00T*****,*****,0.00T**,NULL,NULL,NULL
94889,201304010553,330,10,21,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,30,13,1011.2,29.85,980.5,***,***,0.00,*****,*****,*****,**,NULL
94889,201304011053,320,8,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,29,14,1012.2,29.88,981.5,***,***,0.00,*****,*****,*****,**,NULL
94889,201304011153,320,8,16,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,29,15,1013.3,29.91,982.5,37,28,0.00,0.00T,0.05,*****,**,NULL
94889,201304011253,320,18,22,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,31,12,1014.1,29.93,983.1,***,***,0.00,*****,*****,*****,**,NULL
94889,201304011353,300,14,20,44,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,33,13,1014.7,29.95,983.8,***,***,0.00,*****,*****,*****,**,NULL
94889,201304011453,310,13,22,44,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,32,12,1015.4,29.97,984.5,***,***,0.00,*****,*****,*****,**,NULL
94889,201304011553,310,14,21,47,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,34,11,1015.8,29.98,984.8,***,***,0.00,*****,*****,*****,**,NULL
94889,201304011653,990,17,25,55,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,37,10,1016.3,29.99,985.1,***,***,0.00,*****,*****,*****,**,NULL
94889,201304011753,310,18,23,55,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,37,11,1016.3,29.99,985.1,39,29,0.00,*****,*****,*****,**,NULL
94889,201304010153,320,15,26,60,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,39,10,1016.2,29.99,985.1,***,***,0.00,*****,*****,*****,**,NULL
94889,201304011953,310,15,24,70,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,37,11,1016.3,29.99,985.1,***,***,0.00,*****,*****,*****,**,NULL
94889,201304012053,280,20,25,65,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,37,10,1016.6,30.00,985.5,***,***,0.00,*****,*****,*****,**,NULL
94889,201304010153,310,15,23,60,OVC,*,*,*,10.0,**,**,**,**,**,**,**,**,*,36,12,1017.2,30.01,985.8,***,***,0.00,*****,*****,*****,**,NULL
94889,201304012253,310,10,24,55,OVC,*,*,*,10.0,**,**,**,**,**,**,**,**,*,33,12,1017.8,30.03,986.4,***,***,0.00,*****,*****,*****,**,NULL
94889,201304012353,290,15,22,55,OVC,*,*,*,10.0,**,**,**,**,**,**,**,**,*,31,10,1018.5,30.05,987.1,39,31,0.00,*****,*****,*****,**,NULL
94889,201304020053,300,15,22,55,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,30,10,1019.1,30.07,987.8,***,***,0.00,*****,*****,*****,**,NULL
94889,201304020153,310,9,***,722,SCT,*,*,*,10.0,**,**,**,**,**,**,**,**,*,28,11,1019.5,30.08,988.1,***,***,0.00,*****,*****,*****,**,NULL
94889,201304010153,300,10,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,27,10,1019.9,30.09,988.4,***,***,0.00,*****,*****,*****,**,NULL
94889,201304020353,300,8,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,26,11,1019.9,30.09,988.4,***,***,0.00,*****,*****,*****,**,NULL
94889,201304020453,250,5,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,22,12,1019.9,30.09,988.4,***,***,0.00,*****,*****,*****,**,NULL
94889,201304020459,***,***,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,****,****,******,*****,******,39,***,*****,*****,0.00T*****,**,NULL,NULL
94889,201304020553,230,5,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,21,12,1020.0,30.09,988.4,31,20,0.00,*****,*****,*****,**,NULL
94889,201304020653,250,6,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,20,12,1020.0,30.09,988.4,***,***,0.00,*****,*****,*****,**,NULL
94889,201304020753,260,6,***,722,SCT,*,*,*,10.0,**,**,**,**,**,**,**,**,*,19,12,1020.0,30.09,988.4,***,***,0.00,*****,*****,*****,**,NULL
94889,201304020853,280,7,***,70,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,23,15,1020.0,30.09,988.4,***,***,0.00T*****,*****,0.00T**,NULL,NULL,NULL
94889,201304010153,280,6,***,29,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,21,16,******,30.10,988.8,***,***,*****,*****,*****,*****,**,NULL
94889,201304020934,280,7,***,722,SCT,*,*,*,10.0,**,**,**,**,**,**,**,**,*,21,14,******,30.10,988.8,***,***,*****,*****,*****,*****,**,NULL
94889,201304020953,270,6,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,21,15,1020.5,30.11,989.1,***,***,0.00,*****,*****,*****,**,NULL
94889,201304010253,260,6,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,19,14,1021.1,30.12,989.4,***,***,0.00,*****,*****,*****,**,NULL
94889,201304021153,280,5,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,22,17,1021.9,30.15,990.4,24,18,0.00,0.00T*****,*****,**,NULL,NULL
94889,201304021253,280,8,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,28,18,1022.4,30.16,990.7,***,***,0.00,*****,*****,*****,**,NULL
94889,201304021353,290,11,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,31,12,1022.4,30.16,990.7,***,***,0.00,*****,*****,*****,**,NULL
94889,201304021453,280,16,22,50,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,34,10,1022.5,30.17,991.1,***,***,0.00,*****,*****,*****,**,NULL
94889,201304021553,270,14,21,50,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,35,13,1022.5,30.17,991.1,***,***,0.00,*****,*****,*****,**,NULL
94889,201304021653,280,17,23,55,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,38,11,1022.4,30.16,990.7,***,***,0.00,*****,*****,*****,**,NULL
94889,201304021753,310,15,***,60,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,40,12,1021.5,30.14,990.1,40,22,0.00,*****,*****,*****,**,NULL
94889,201304021853,310,14,21,65,OVC,*,*,*,10.0,**,**,**,**,**,**,**,**,*,39,11,1021.4,30.13,989.7,***,***,0.00,*****,*****,*****,**,NULL
94889,201304021953,280,11,22,70,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,41,11,1020.9,30.12,989.4,***,***,0.00,*****,*****,*****,**,NULL
94889,201304022053,320,15,29,70,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,41,9,1020.7,30.12,989.4,***,***,0.00,*****,*****,*****,**,NULL
94889,201304022153,300,20,23,75,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,39,10,1021.4,30.13,989.7,***,***,0.00,*****,*****,*****,**,NULL
94889,201304022253,310,16,22,70,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,39,10,1022.0,30.15,990.4,***,***,0.00,*****,*****,*****,**,NULL
94889,201304022353,300,14,***,722,SCT,*,*,*,10.0,**,**,**,**,**,**,**,**,*,36,10,1022.6,30.17,991.1,43,36,0.00,*****,*****,*****,**,NULL
94889,201304030053,300,14,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,33,11,1023.2,30.19,991.7,***,***,0.00,*****,*****,*****,**,NULL
94889,201304030153,300,10,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,32,12,1024.1,30.22,992.7,***,***,0.00,*****,*****,*****,**,NULL
94889,201304030253,310,8,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,31,13,1024.5,30.23,993.1,***,***,0.00,*****,*****,*****,**,NULL
94889,201304030353,310,6,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,29,13,1024.8,30.23,993.1,***,***,0.00,*****,*****,*****,**,NULL
94889,201304030453,310,5,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,27,12,1024.7,30.23,993.1,***,***,0.00,*****,*****,*****,**,NULL
94889,201304030459,***,***,***,***,***,*,*,*,****,**,**,**,**,**,**,**,**,*,****,****,******,*****,******,43,***,*****,*****,0.00T*****,**,NULL,NULL
94889,201304030553,310,5,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,26,13,1025.0,30.24,993.4,36,25,0.00,*****,*****,*****,**,NULL
94889,201304030653,290,5,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,23,13,1025.2,30.25,993.7,***,***,0.00,*****,*****,*****,**,NULL
94889,201304030753,290,6,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,22,13,1025.3,30.25,993.7,***,***,0.00,*****,*****,*****,**,NULL
94889,201304030853,260,6,***,50,BKN,*,*,*,10.0,**,**,**,**,**,**,**,**,*,20,13,1025.5,30.26,994.0,***,***,0.00,*****,*****,*****,**,NULL
94889,201304030953,260,8,***,60,OVC,*,*,*,10.0,**,**,**,**,**,**,**,**,*,25,17,1026.2,30.28,994.7,***,***,0.00,*****,*****,*****,**,NULL
94889,201304031053,300,7,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,25,15,1026.9,30.30,995.4,***,***,0.00,*****,*****,*****,**,NULL
94889,201304031153,290,6,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,24,16,1028.1,30.33,996.4,26,19,0.00,*****,*****,*****,**,NULL
94889,201304031253,350,9,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,29,14,1028.5,30.35,997.0,***,***,0.00,*****,*****,*****,**,NULL
94889,201304031353,350,11,21,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,32,11,1029.1,30.36,997.3,***,***,0.00,*****,*****,*****,**,NULL
94889,201304031453,350,14,22,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,34,10,1030.0,30.39,998.3,***,***,0.00,*****,*****,*****,**,NULL
94889,201304031553,990,11,23,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,36,11,1030.3,30.40,998.7,***,***,0.00,*****,*****,*****,**,NULL
94889,201304031653,350,14,18,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,38,11,1030.6,30.41,999.0,***,***,0.00,*****,*****,*****,**,NULL
94889,201304031753,360,13,22,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,39,10,1029.9,30.39,998.3,40,24,0.00,*****,*****,*****,**,NULL
94889,201304031853,330,10,16,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,41,11,1029.8,30.38,998.0,***,***,0.00,*****,*****,*****,**,NULL
94889,201304031953,350,7,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,42,10,1029.7,30.38,998.0,***,***,0.00,*****,*****,*****,**,NULL
94889,201304032053,990,3,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,43,9,1029.6,30.38,998.0,***,***,0.00,*****,*****,*****,**,NULL
94889,201304032153,***,0,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,43,9,1029.6,30.38,998.0,***,***,0.00,*****,*****,*****,**,NULL
94889,201304032253,230,3,***,722,CLR,*,*,*,10.0,**,**,**,**,**,**,**,**,*,41,9,1029.6,30.38,998.0,***,***,0.00,*****,*****,*****,**,NULL
