year,state,county,hai,operative_procedure,facility_id,facility_name,hospital_category_risk_adjustment,facility_type,procedure_count,infections_reported,infections_predicted
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA,,,,,9757,31,56.02
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Appendix surgery,,,,,4221,7,16.16
2020H1,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Bile duct, liver or pancreatic surgery",,,,,97,0,1.81
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Cardiac surgery,,,,,792,5,8.14
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Cesarean section,,,,,188,1,0.6
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Colon surgery,,,,,343,4,6.76
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Exploratory abdominal surgery (laparotomy),,,,,860,1,4.31
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Gallbladder surgery,,,,,376,0,0.26
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Hip prosthesis,,,,,20,0,0.08
2020H1,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Hysterectomy, abdominal",,,,,4,0,0.08
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Kidney transplant,,,,,41,0,0.33
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Knee prosthesis,,,,,4,0,0.04
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Laminectomy,,,,,228,1,1.46
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Liver transplant,,,,,22,1,1.52
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Open reduction of fracture,,,,,1069,2,3.94
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Rectal surgery,,,,,94,0,0.27
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Small bowel surgery,,,,,482,2,4.56
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Spinal fusion,,,,,477,3,4.92
2020H1,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Thoracic surgery,,,,,439,4,0.8
2020H1,California,Sacramento,Surgical Site Infections (SSI),All procedures,30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",7,0,0.01
2020H1,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",3,0,0.0
2020H1,California,Sacramento,Surgical Site Infections (SSI),Cesarean section,30000037.0,Methodist Hospital of Sacramento,Acute Care Hospital,"Community, 125-250 Beds",4,0,0.01
2020H1,California,Amador,Surgical Site Infections (SSI),All procedures,30000108.0,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",3,0,0.0
2020H1,California,Amador,Surgical Site Infections (SSI),Appendix surgery,30000108.0,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",3,0,0.0
2020H1,California,Placer,Surgical Site Infections (SSI),All procedures,30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",2,0,0.0
2020H1,California,Placer,Surgical Site Infections (SSI),Appendix surgery,30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0.0
2020H1,California,Placer,Surgical Site Infections (SSI),Open reduction of fracture,30000109.0,Sutter Auburn Faith Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0.0
2020H1,California,Sacramento,Surgical Site Infections (SSI),All procedures,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,272,2,2.87
2020H1,California,Sacramento,Surgical Site Infections (SSI),Appendix surgery,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,48,0,0.28
2020H1,California,Sacramento,Surgical Site Infections (SSI),"Bile duct, liver or pancreatic surgery",30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,4,0,0.18
2020H1,California,Sacramento,Surgical Site Infections (SSI),Cardiac surgery,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,26,0,0.28
2020H1,California,Sacramento,Surgical Site Infections (SSI),Cesarean section,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,2,0,0.0
2020H1,California,Sacramento,Surgical Site Infections (SSI),Colon surgery,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,19,1,0.75
2020H1,California,Sacramento,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,54,0,0.47
2020H1,California,Sacramento,Surgical Site Infections (SSI),Gallbladder surgery,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,11,0,0.01
2020H1,California,Sacramento,Surgical Site Infections (SSI),Kidney transplant,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,2,0,0.02
2020H1,California,Sacramento,Surgical Site Infections (SSI),Laminectomy,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,7,0,0.05
2020H1,California,Sacramento,Surgical Site Infections (SSI),Open reduction of fracture,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,44,0,0.41
2020H1,California,Sacramento,Surgical Site Infections (SSI),Rectal surgery,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,6,0,0.02
2020H1,California,Sacramento,Surgical Site Infections (SSI),Small bowel surgery,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,22,0,0.22
2020H1,California,Sacramento,Surgical Site Infections (SSI),Spinal fusion,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,4,0,0.06
2020H1,California,Sacramento,Surgical Site Infections (SSI),Thoracic surgery,30000113.0,University of California Davis Medical Center,Acute Care Hospital,Major Teaching,23,1,0.13
2020H1,California,El Dorado,Surgical Site Infections (SSI),All procedures,30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",12,0,0.07
2020H1,California,El Dorado,Surgical Site Infections (SSI),Appendix surgery,30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",3,0,0.01
2020H1,California,El Dorado,Surgical Site Infections (SSI),Exploratory abdominal surgery (laparotomy),30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",2,0,0.01
2020H1,California,El Dorado,Surgical Site Infections (SSI),Open reduction of fracture,30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",6,0,0.02
2020H1,California,El Dorado,Surgical Site Infections (SSI),Small bowel surgery,30000114.0,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",1,0,0.04
2020H1,California,San Joaquin,Surgical Site Infections (SSI),All procedures,30000118.0,Doctors Hospital of Manteca,Acute Care Hospital,"Community, <125 Beds",8,0,0.01
2020H1,California,San Joaquin,Surgical Site Infections (SSI),Appendix surgery,30000118.0,Doctors Hospital of Manteca,Acute Care Hospital,"Community, <125 Beds",8,0,0.01
2020H1,California,El Dorado,Surgical Site Infections (SSI),All procedures,30000121.0,Marshall Medical Center,Acute Care Hospital,"Community, <125 Beds",9,0,0.01
2020H1,California,El Dorado,Surgical Site Infections (SSI),Appendix surgery,30000121.0,Marshall Medical Center,Acute Care Hospital,"Community, <125 Beds",6,0,0.0
2020H1,California,El Dorado,Surgical Site Infections (SSI),Cesarean section,30000121.0,Marshall Medical Center,Acute Care Hospital,"Community, <125 Beds",2,0,0.0
