name,streetaddress,city,state,zipcode,latitude,longitude,localizability,datasourcename,datasourceurl,primarykeyfromrocket,assettype
Kuhn's Market,5878 Northumberland  Street,Pittsburgh,PA,15202,40.4971622083202,-80.06027922446,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,36519,supermarkets
Food Shoppe,5878 Northumberland  Street,Pittsburgh,PA,15217,40.4415613067987,-79.9205356682313,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,36519,supermarkets
Shop 'n Save / Shaler,1620 Babcock  Boulevard,Pittsburgh,PA,15209,40.4991465632107,-79.9789010794588,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,36519,supermarkets
Giant Eagle #61,5878 Northumberland  Street,Pittsburgh,PA,15203,40.4311319291128,-79.9766070844995,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,38879,supermarkets
Safrans Market,5878 Northumberland  Street,Sewickley,PA,15143,40.5410391195376,-80.1822622094134,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,30265,supermarkets
T-Bones,1620 Babcock  Boulevard,Wexford,PA,15090,40.6169113511392,-80.0924641751422,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,39139,supermarkets
Shop 'n Save #1076 Mt. Washington,125 Virginia Avenue,Pittsburgh,PA,15211,40.4294207827719,-80.0079707599967,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,37868,supermarkets
Shursave,4401 Liberty  Avenue,Pittsburgh,PA,15224,40.4641309781166,-79.9520630304225,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,38101,supermarkets
Shop 'n Save,4647 Buttermilk Hollow  Road,West Mifflin,PA,15122,40.360992148186,-79.9065353115039,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,35607,supermarkets
Giant Eagle #74,1165 McKinney Lane #100,Pittsburgh,PA,15220,40.4230005232593,-80.0350228161454,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,35578,supermarkets
Coraopolis Cash Market,1017 4th  Avenue,Coraopolis,PA,15108,40.5183067281232,-80.1628130642656,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,34765,supermarkets
Giant Eagle #77,254 Yost  Boulevard,Pittsburgh,PA,15221,40.4144911501518,-79.8552918228808,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,30226,supermarkets
Giant Eagle #25,1029 West View Park Drive,Pittsburgh,PA,15229,NULL,NULL,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,34317,supermarkets
Shop 'n Save / Russellton,908 Little Deer Creek Valley Road,Russellton,PA,15076,40.6086628976599,-79.833503856548,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,25315,supermarkets
Shop 'n Save / Brownsville Road,1119 Brownsville  Road,Pittsburgh,PA,15210,40.4048249476727,-79.989721255342,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,38008,supermarkets
Giant Eagle #78,230 Rodi Road,Pittsburgh,PA,15235,40.4617445773283,-79.8252122711155,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,2848,supermarkets
Giant Eagle #37,5 Quaker Village Shopping Center,Leetsdale,PA,15056,NULL,NULL,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,2811,supermarkets
Shop 'n Save McKeesport ,815 5th Ave,Mc Keesport,PA,15132,40.3519055509553,-79.8560283571471,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,56556,supermarkets
Giant Eagle #64,3812 O'Neil Blvd,Mc Keesport,PA,15132,NULL,NULL,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,2370,supermarkets
Wal-Mart Super Center #2588,100 Wal-Mart Dr,North Versailles,PA,15137,NULL,NULL,fixed,WPRDC Dataset: Allegheny County Restaurant/Food Facility Inspections and Locations: Geocoded Food Facilities,https://data.wprdc.org/dataset/allegheny-county-restaurant-food-facility-inspection-violations/resource/112a3821-334d-4f3f-ab40-4de1220b1a0a,199901260002,supermarkets
