area,perimeter,landgrant,landgra_one,grantname,surveyapp,grantconf
63101507.3669,196213.113905,2,19,TIERRA AMARILLA,1875/12/20,1860/06/21
890653352.743,150193.0796,3,49,SANGRE DE CRISTO,1876/04/07,1860/06/21
890653352.743,340036.04139,4,50,BEAUBIEN AND MIRANDA,1878/12/20,1860/06/21
63101507.3669,42416.1848888,5,24,ANTOINE LEROUX,1877/06/05,1869/03/03
74328127.18089998,42576.3784831,6,21,ARROYO HONDO,1900/12/18,1900/12/18
890653352.743,70630.8729373,7,25,ANTOINE LEROUX/ANTONIO MARTINEZ,1899/12/30,1899/12/30
63101507.3669,28700.5714477,8,23,ARROYO HONDO/ANTOINE LEROUX,1899/12/30,1899/12/30
74328127.18089998,18112.8229422,9,24,ANTOINE LEROUX,1877/06/05,1869/03/03
31230.6140773,830.946562563,10,29,ARROYO HONDO/ANTONIO MARTINEZ/ANTOINE LEROUX,1899/12/30,1899/12/30
5215.62342095,482.126436192,11,28,ARROYO HONDO/ANTONIO MARTINEZ/ANTOINE LEROUX,1899/12/30,1899/12/30
19333.5921059,897.812386754,12,27,ARROYO HONDO/ANTONIO MARTINEZ/ANTOINE LEROUX,1899/12/30,1899/12/30
5616937.98615,13530.9012736,13,20,PETACA,1902/08/08,1902/08/08
6097647.74815,12391.3865945,14,24,ANTOINE LEROUX,1877/06/05,1869/03/03
15871250.7305,18310.7992147,15,24,ANTOINE LEROUX,1877/06/05,1869/03/03
69012153.5525,33231.4727841,16,192,TAOS PUEBLO,1860/09/25,1858/12/22
106922856.65,49915.4821989,17,22,ANTONIO MARTINEZ OR LUCERO GODOI,1893/12/21,1892/11/30
66419355.0386,46886.5489976,18,30,GIJOSA,1902/08/13,1903/03/27
5848994.23115,11032.729911,19,31,FERNANDO DE TAOS,1902/08/08,1902/08/08
1594265.02125,9222.78919198,20,33,FERNANDO DE TAOS/CRISTOVAL DE LA SERNA,1899/12/30,1899/12/30
92427088.9627,49687.4887419,21,32,CRISTOVAL DE LA SERNA,1894/11/09,1895/06/29
674040318.66,180190.810178,22,12,JUAN JOSE LOBATO,1895/10/19,1895/10/19
367113662.517,88251.4072001,23,34,RANCHO DEL RIO GRANDE,1894/11/23,1896/03/27
5662265.21819,15955.5310834,24,18,CANON DE CHAMA,1902/11/14,1903/03/27
200764080.632,66074.7786766,25,13,PIEDRA LUMBRE,1898/12/31,1898/12/31
491784.503674,5734.99561117,26,35,CRISTOVAL DE LA SERNA/RANCHO DEL RIO,1899/12/30,1899/12/30
36297081.2343,30765.2759133,27,17,PLAZA BLANCA,1896/03/04,1896/09/03
9347965.26024,24029.2130825,28,47,OJO CALIENTE,1895/01/28,1895/04/15
30653418.2801,30435.2912601,29,16,PLAZA COLORADA,1896/02/19,1896/09/03
3437790651.51,316090.711555,30,51,MORA,1871/08/05,1860/06/21
70074330.0086,33496.9283816,31,36,PICURIS PUEBLO,1860/09/22,1858/12/22
2935080.15689,11887.0907847,32,46,ANTONIO DE ABEYTA,1896/01/28,1896/03/25
67824673.2791,38225.1155994,33,14,TOWN OF ABIQUIU,1896/11/13,1896/11/16
5882400.86808,11944.740329,34,11,JUAN BAUTISTA VALDEZ,1900/08/31,1900/08/16
105353694.63,49570.8756063,35,10,POLVADERA,1899/12/18,1899/11/27
29334844.3105,39500.1570484,36,15,POLVADERA/JUAN JOSE LOBATO,1899/12/30,1899/12/30
129812378.622,52508.1930631,37,37,SANTA BARBARA,1896/04/22,1896/08/31
78638896.52099998,39410.9302612,38,45,BLACK MESA,1896/04/30,1896/08/12
188153544.884,66956.3760939,39,41,SEBASTIAN MARTIN,1876/11/10,1860/06/21
113823471.879,42406.0831587,40,38,LAS TRAMPAS,1876/11/10,1860/06/21
62500054.1179,45104.7727013,41,48,SAN JUAN PUEBLO,1860/09/20,1858/12/22
6722494.63731,13043.0590453,42,179,TOWN OF CHAMITA/SAN JUAN PUEBLO,1899/12/30,1899/12/30
335404.107428,2643.06184088,43,178,TOWN OF CHAMITA,1877/06/05,1860/06/21
16733535.5084,27407.5006639,44,44,BARTOLOME SANCHEZ,1902/08/21,1902/08/21
33698036.0655,29473.3898725,45,39,FRANCISCO MONTES VIGIL,1894/11/09,1895/06/13
62905678.0963,46629.0683314,46,40,NUESTRA SENORA DEL ROSARIO,1896/06/11,1896/08/28
19831437.3036,42946.445288,47,42,SANTA CRUZ,1902/08/07,1902/08/21
401038500.376,80092.740192,48,9,BACA LOCATION NO. 1,1876/11/10,1860/06/21
3235279.18705,32342.8013215,49,191,CANADA DE SANTA CLARA,1901/07/16,1901/07/16
69680391.5706,33504.1411849,50,161,SANTA CLARA PUEBLO,1860/09/15,1858/12/22
8527534.49125,14407.6063088,51,43,SANTO DOMINGO DE CUNDIYO,1902/08/07,1902/08/21
69691421.4531,33437.0419328,52,160,SAN IDELFONSO PUEBLO,1860/09/12,1858/12/22
54546094.1631,29823.4239426,53,159,POJOAQUE PUEBLO,1860/09/04,1858/12/22
2037411.03998,6164.99351438,54,0,NON GRANT,1899/12/30,1899/12/30
46495032.2477,28352.9859879,55,157,NAMBE PUEBLO,1860/09/10,1858/12/22
469845188.345,88801.847247,56,1,CANON DE SAN DIEGO,1876/11/10,1860/06/21
28359779.2372,36657.7203345,57,8,TOWN OF JACONA,1899/09/07,1899/09/07
151839.900279,1851.58186215,58,158,GASPAR ORTIZ/NAMBE PUEBLO,1877/06/05,1860/06/21
124480427.394,51779.9521792,59,6,RAMON VIGIL,1877/06/05,1860/06/21
2355509.37851,9092.22806249,60,0,NON GRANT,1899/12/30,1899/12/30
2330485.77002,6647.90987297,61,59,CUYAMUNGUE,1902/04/08,1902/04/08
