588.eiaid,55,727
631.zip,21863,72851
814.ownership,Cooerative,Cooperative
992.ownership,Cooperatiev,Cooperative
25595.state,pAR,AR
251.zip,23308,27921
1205.eiaid,55,1613
405.utilityname,A & N Electric Coop,City of Ames - (IA)
13517.state,O,CO
21551.state,LA,AL
71.utilityname,Adamhs-Columbia Electric Coop,Adams-Columbia Electric Coop
240.eiaid,84,230
196.utilityname,"Alzaska Village Elec Coop, Inc","Alaska Village Elec Coop, Inc"
1120.eiaid,84,1579
781.utilityname,A & N Electric Coop,Austin Energy
10102.ownership,Coopeative,Cooperative
235.eiaid,84,230
26982.utilityname,Adams Electricm Cooperative Inc,Adams Electric Cooperative Inc
6747.state,R,AR
1090.eiaid,84,1529
270.eiaid,230,276
9793.ownership,Cooperative***,Cooperative
9864.ownership,Copoerative,Cooperative
21446.state,L,AL
166.utilityname,Aiken Electric Coop Icn,Aiken Electric Coop Inc
9721.ownership,Coperative,Cooperative
736.eiaid,84,1015
9663.ownership,Coopterative,Cooperative
197.utilityname,"Alaska Vilalge Elec Coop, Inc","Alaska Village Elec Coop, Inc"
98.utilityname,Adams-Columbia Electric Cowop,Adams-Columbia Electric Coop
26993.utilityname,Adams Electric Coperative Inc,Adams Electric Cooperative Inc
528.eiaid,55,689
504.utilityname,A & N Electric Coop,Anchorage Municipal Light and Power
215.zip,23350,99558
1210.eiaid,84,1613
819.ownership,Cootperative,Cooperative
21396.state,L,AL
9689.ownership,Cooeprative,Cooperative
854.eiaid,84,1175
587.utilityname,Albany Utility Board,Appalachian Electric Coop
206.utilityname,"Alaska Vllage Elec Coop, Inc","Alaska Village Elec Coop, Inc"
27048.utilityname,Adams Electric Coopertaive Inc,Adams Electric Cooperative Inc
21445.state,L,AL
21604.state,LA,AL
27026.utilityname,Adms Electric Cooperative Inc,Adams Electric Cooperative Inc
831.eiaid,55,1149
1318.eiaid,84,1723
295.eiaid,84,296
741.eiaid,55,1015
589.zip,23308,37876
595.utilityname,City of Alexandria - (LA),Appalachian Electric Coop
10165.ownership,Coperative,Cooperative
768.utilityname,A & N Electric Coop,Austin Energy
440.eiaid,230,562
26995.utilityname,Adams Electrilc Cooperative Inc,Adams Electric Cooperative Inc
77.zip,23395,54966
455.utilityname,"Alaska Village Elec Coop, Inc",City of Alcoa Utilities
443.eiaid,84,571
368.zip,38858,49853
378.utilityname,Alger-Delta Coop Electric ssn,Alger-Delta Coop Electric Assn
9696.ownership,Cooperatve,Cooperative
484.utilityname,A & N Electric Coop,City of Anaheim - (CA)
490.utilityname,A & N Electric Coop,City of Anaheim - (CA)
9989.ownership,Coocperative,Cooperative
52.eiaid,55,84
390.eiaid,55,407
21311.state,AmL,AL
418.zip,38858,30183
953.ownership,Cooperatie,Cooperative
764.ownership,Municial,Municipal
367.utilityname,Alger-Delta Coop Electric Assin,Alger-Delta Coop Electric Assn
172.utilityname,Aiken Eletric Coop Inc,Aiken Electric Coop Inc
510.eiaid,84,599
475.eiaid,84,590
620.ownership,Coopertaive,Cooperative
864.ownership,Cooperaive,Cooperative
9737.ownership,Coopeartive,Cooperative
21595.state,bAL,AL
967.eiaid,84,1273
208.utilityname,"Alaksa Village Elec Coop, Inc","Alaska Village Elec Coop, Inc"
480.eiaid,84,590
9705.ownership,Cooperatvie,Cooperative
75.eiaid,55,108
318.ownership,Clooperative,Cooperative
10096.ownership,Coopeartive,Cooperative
424.ownership,Cooerative,Cooperative
153.ownership,Coopreative,Cooperative
731.utilityname,A & N Electric Coop,Austin Energy
10076.ownership,Cooperatiev,Cooperative
904.ownership,Cooperatve,Cooperative
658.ownership,Cooperatie,Cooperative
53.eiaid,230,84
302.utilityname,"Alfalfa Electric Conop, Inc","Alfalfa Electric Coop, Inc"
123.eiaid,230,155
1062.eiaid,84,1458
242.utilityname,A & N Electric Coop,City of Albemarle - (NC)
27003.utilityname,Adams Electric Coopmerative Inc,Adams Electric Cooperative Inc
26981.utilityname,dAams Electric Cooperative Inc,Adams Electric Cooperative Inc
242.zip,38858,28002
18356.utilityname,Acces Energy Coop,Access Energy Coop
676.ownership,Cooprative,Cooperative
151.ownership,Cooeprative,Cooperative
251.ownership,oCoperative,Cooperative
708.eiaid,84,944
764.eiaid,55,1015
354.utilityname,Alger-Deklta Coop Electric Assn,Alger-Delta Coop Electric Assn
698.utilityname,A & N Electric Coop,City of Athens - (AL)
9691.ownership,Cyooperative,Cooperative
9719.ownership,Coopreative,Cooperative
606.ownership,Cooperatiev,Cooperative
15314.state,T,CT
1152.eiaid,55,1591
9745.ownership,Coperative,Cooperative
21387.state,iAL,AL
25768.state,OC,CO
9964.ownership,Coopesrative,Cooperative
330.eiaid,84,305
21448.state,L,AL
9441.state,pAL,AL
87.zip,23410,53934
498.eiaid,84,599
305.ownership,Coopeative,Cooperative
348.eiaid,84,305
415.eiaid,55,562
577.utilityname,A & N Electric Coop,City of Anoka
108.eiaid,84,108
307.utilityname,"Alfalfa Electrc Coop, Inc","Alfalfa Electric Coop, Inc"
266.utilityname,Adams-Columbia Electric Coop,Albertville Municipal Utilities Board
289.utilityname,"Alfalfa Electric Coop,I nc","Alfalfa Electric Coop, Inc"
11280.state,A,CA
9889.ownership,Cooperatixve,Cooperative
294.utilityname,"Alfalfa Eectric Coop, Inc","Alfalfa Electric Coop, Inc"
27011.utilityname,Adams Elecrtic Cooperative Inc,Adams Electric Cooperative Inc
702.utilityname,A & N Electric Coop,City of Athens - (AL)
38.zip,21863,23420
834.ownership,oCoperative,Cooperative
21428.state,AsL,AL
297.zip,21864,73741
5636.state,ED,DE
106.utilityname,Adams-Columbia Electri cCoop,Adams-Columbia Electric Coop
452.eiaid,84,577
299.eiaid,55,296
26994.ownership,Copoerative,Cooperative
478.utilityname,A & N Electric Coop,City of Anaheim - (CA)
271.zip,23410,38835
27036.utilityname,Adams Electric Cooperaive Inc,Adams Electric Cooperative Inc
9974.ownership,Cooperiative,Cooperative
858.eiaid,84,1175
324.utilityname,Anchorage Municipal Light and Power,"Alfalfa Electric Coop, Inc"
27050.utilityname,Adams Electric Cooperatve Inc,Adams Electric Cooperative Inc
10012.ownership,Coopertive,Cooperative
624.ownership,ooperative,Cooperative
489.eiaid,84,590
686.ownership,Cooperavtive,Cooperative
9786.ownership,Cooerative,Cooperative
395.utilityname,City of Anaheim - (CA),Altamaha Electric Member Corp
12.utilityname,City of Anaheim - (CA),A & N Electric Coop
482.zip,38858,90680
9722.ownership,Cooperatie,Cooperative
62.eiaid,230,84
21326.state,zAL,AL
379.utilityname,A & N Electric Coop,Algoma Utility Comm
231.utilityname,"Alaska Village Elec Coop, Imnc","Alaska Village Elec Coop, Inc"
10085.ownership,Cooperatiev,Cooperative
316.eiaid,55,296
517.zip,21864,36421
13531.state,OC,CO
10090.ownership,Cooperativde,Cooperative
891.ownership,Cvooperative,Cooperative
239.eiaid,55,230
9878.ownership,Cooeprative,Cooperative
550.utilityname,City of Ames - (IA),Connexus Energy
10078.ownership,Cooerative,Cooperative
310.zip,38858,73731
10136.ownership,Cooperatve,Cooperative
358.utilityname,Alger-Delta Cjoop Electric Assn,Alger-Delta Coop Electric Assn
9760.ownership,Cooperatie,Cooperative
753.ownership,Municpial,Municipal
13516.state,vCO,CO
10103.ownership,Coopreative,Cooperative
16197.state,LA,AL
505.eiaid,84,599
10171.ownership,Cooperativte,Cooperative
4669.state,R,AR
9830.ownership,Cooprative,Cooperative
47.utilityname,Albany Utility Board,A & N Electric Coop
148.ownership,oCoperative,Cooperative
9759.ownership,Cooaperative,Cooperative
513.zip,23350,99514
310.utilityname,"Alfalfa Elevctric Coop, Inc","Alfalfa Electric Coop, Inc"
9688.ownership,Cooperatie,Cooperative
9764.ownership,Coperative,Cooperative
536.utilityname,City of Aberdeen - (MS),Connexus Energy
387.eiaid,230,407
8508.state,LA,AL
807.ownership,Coopertaive,Cooperative
15864.state,R,AR
18354.utilityname,Acces Energy Coop,Access Energy Coop
730.utilityname,A & N Electric Coop,Austin Energy
173.eiaid,84,162
879.ownership,Coopertive,Cooperative
301.utilityname,Alfalfa Electric Coop Inc,"Alfalfa Electric Coop, Inc"
519.utilityname,A & N Electric Coop,City of Anderson - (IN)
26440.state,O,CO
207.eiaid,230,221
321.ownership,Cooerative,Cooperative
252.zip,23417,27932
203.eiaid,84,221
429.eiaid,55,562
359.zip,38858,49862
139.ownership,Coperative,Cooperative
95.utilityname,Adams-Columba Electric Coop,Adams-Columbia Electric Coop
962.ownership,ooperative,Cooperative
14749.state,RA,AR
211.zip,23486,99576
7068.utilityname,4-County Electric Powaer Assn,4-County Electric Power Assn
44.utilityname,Albany Utility Board,A & N Electric Coop
669.eiaid,84,817
406.eiaid,84,554
1293.eiaid,55,1708
10107.ownership,Coopertive,Cooperative
910.ownership,Coopertaive,Cooperative
639.zip,23350,72752
235.utilityname,A & N Electric Coop,Albany Utility Board
11885.state,mAL,AL
1300.eiaid,84,1708
9886.ownership,Coopeartive,Cooperative
850.eiaid,84,1175
865.ownership,Cooperatvie,Cooperative
114.zip,23410,56262
27019.utilityname,Adams Electric Cooperative Iqnc,Adams Electric Cooperative Inc
801.utilityname,A & N Electric Coop,City of Azusa
684.ownership,Cooperatiev,Cooperative
613.ownership,Cooperatigve,Cooperative
27850.state,A,CA
27027.utilityname,Adams Electric Coopeative Inc,Adams Electric Cooperative Inc
872.ownership,Cooperatiqve,Cooperative
508.zip,21864,99503
1256.eiaid,84,1625
547.utilityname,City of Aberdeen - (MS),Connexus Energy
159.eiaid,84,162
327.utilityname,A & N Electric Coop,City of Alexandria - (LA)
490.eiaid,108,590
18896.state,yAL,AL
27029.utilityname,Adms Electric Cooperative Inc,Adams Electric Cooperative Inc
15867.state,R,AR
176.utilityname,Aiken Elecric Coop Inc,Aiken Electric Coop Inc
357.zip,21851,49892
556.eiaid,84,689
7074.utilityname,4c-County Electric Power Assn,4-County Electric Power Assn
169.utilityname,City of Aberdeen - (MS),Aiken Electric Coop Inc
343.ownership,Coopeative,Cooperative
499.utilityname,A & N Electric Coop,Anchorage Municipal Light and Power
21357.state,LA,AL
