9.phone,(918) 696-7807,(918) 696-7001
16.phone,(918) 696-7509,(580) 346-7423
478.fax,( -,() -
14.phone,(918) 696-2285,(580) 889-3687
4.address,"Rural Route 2, Box 1",Route 1 Zion Road
18.state,KO,OK
22.code,01-C024,04-I123
473.state,OhK,OK
350.state,KO,OK
6.address,"Rural Route 1, Box 1795",Rural Route 1 Box 1589
5.code,01-C022,01-C029
11.address,"Rural Route 2, Box 1",401 Main St.
4.code,01-C022,01-C028
9.code,01-C022,01-I025
1.code,01-C024,01-C019
6.code,01-C022,01-C032
370.state,K,OK
7.code,01-C024,01-I004
8.code,01-C022,01-I011
3.address,"Rural Route 6, Box 2840","Rural Route 1, Box 665"
1.address,"Rural Route 6, Box 2840",77943 Hwy 59 N.
12.phone,(918) 696-2285,(580) 596-3391
12.code,01-C024,02-I046
13.code,01-C022,02-I093
19.address,"Rural Route 6, Box 2840",301 N. Cobb Ave
11.code,01-C022,02-I001
4.phone,(918) 696-2285,(918) 696-7866
434.state,KO,OK
24.phone,(918) 696-7509,(580) 225-5460
290.state,tOK,OK
10.address,"Rural Route 6, Box 2840",89660 S 4637 Rd
1.phone,(918) 696-2285,(918) 696-7818
18.phone,(580) 852-3307,(580) 889-7355
