21.code,01-I004,04-I075
189.phone,(580) 735-z2448,(580) 735-2448
7.phone,(918) 696-7818,(918) 422-5311
6.address,77943 Hwy 59 N.,92009 South 4676 Road
11.phone,(918) 775-2364,(580) 431-2501
20.code,01-C019,04-I022
189.state,KO,OK
551.state,OqK,OK
19.code,03-I019,03-I026
189.district_name,BUFFALO                       ***,BUFFALO                       
4.code,01-C024,01-C028
189.zip,37834.0,73834.0
290.state,OlK,OK
17.code,01-C029,03-I015
4.address,"Rural Route 6, Box 2840",Route 1 Zion Road
12.code,01-C029,02-I046
189.fax,(580) 735-k2619,(580) 735-2619
189.web_siteurl,www.bouffalo.k12.ok.us,www.buffalo.k12.ok.us
13.code,01-C029,02-I093
10.code,01-C024,01-I030
24.code,01-C019,05-I002
28.code,01-I004,06-I009
189.county_name,HARPRE      ,HARPER      
304.state,K,OK
6.code,01-C019,01-C032
189.board_president,Dr. Rik Olson,Dr. Rick Olson
8.phone,(918) 696-7866,(918) 723-3181
347.state,OpK,OK
2.code,01-C019,01-C022
15.code,03-C021,03-C022
479.fax,( )-,() -
10.address,"Rural Route 6, Box 2840",89660 S 4637 Rd
9.code,01-I011,01-I025
5.phone,(918) 696-2285,(918) 696-7807
13.phone,(918) 696-7866,(580) 852-3307
435.state,iOK,OK
17.state,KO,OK
189.city,Bufalo,Buffalo
9.phone,(918) 696-2285,(918) 696-7001
