county_name,district_name,co_dist_code,site_code,school_site,total_enrollment,telephone,principal,mailing_address,mailing_city,mailing_state,mailing_zip,grades_low_high,certified_staff
ADAIR,PEAVINE,01C019,105,PEAVINE PUBLIC SCHOOL,133.0,(918) 696-7818,Jack Ritchie,PO Box 389,Stilwell,OK,74960.0,PK-08,16
ADAIR,MARYETTA,01C022,105,MARYETTA PUBLIC SCHOOL,689.0,(918) 696-2285,Rhonda Brown,"Rural Route 6, Box 2840",Stilwell,OK,74960.0,PK-08,61
ADAIR,ROCKY MOUNTAIN,01C024,105,ROCKY MOUNTAIN PUBLIC SCHOOL,181.0,(918) 696-7509,Margaret Carlile,"Rural Route 1, Box 665",Stilwell,OK,74960.0,PK-08,18
ADAIR,ZION,01C028,105,ZION PUBLIC SCHOOL,349.0,(918) 696-7866,Joey O'neal,PO Box 347,Stilwell,OK,74960.0,PK-08,32
ADAIR,DAHLONEGAH,01C029,105,DAHLONEGAH PUBLIC SCHOOL,127.0,(918) 696-7807,Jeff Limore,"Rural Route 1, Box 1795",Stilwell,OK,74960.0,PK-08,18
ADAIR,GREASY,01C032,105,GREASY PUBLIC SCHOOL,97.0,(918) 696-7768,Jim Bynum,Rural Route 1 Box 1589,Bunch,OK,74931.0,PK-08,11
ADAIR,WATTS,01I004,105,WATTS ES,238.0,(918) 422-5131,Martin Bradford,"Rural Route 2, Box 1",Watts,OK,74964.0,PK-08,20
ADAIR,WATTS,01I004,705,WATTS HS,103.0,(918) 422-5132,Martin Bradford,"Rural Route 2, Box 1",Watts,OK,74964.0,12-Sep,13
ADAIR,WESTVILLE,01I011,105,WESTVILLE ES,646.0,(918) 723-4355,Ryan Swank (Pk-2),PO Box 410,Westville,OK,74965.0,PK-06,53
ADAIR,WESTVILLE,01I011,610,WESTVILLE JHS,172.0,(918) 723-3432,Shelly Cooper,PO Box 410,Westville,OK,74965.0,8-Jul,34
ADAIR,WESTVILLE,01I011,705,WESTVILLE HS,330.0,(918) 723-5644,Renae Price,PO Box 410,Westville,OK,74965.0,12-Sep,49
ADAIR,STILWELL,01I025,105,STILWELL ES,415.0,(918) 696-7656,Mark Lea,10 South Sixth St ,Stilwell,OK,74960.0,PK-04,42
ADAIR,STILWELL,01I025,505,STILWELL MS,276.0,(918) 696-2685,Dale Girdner,12 North Seventh St ,Stilwell,OK,74960.0,8-May,30
ADAIR,STILWELL,01I025,705,STILWELL HS,668.0,(918) 696-7276,Ramona Ketcher,1801 West Locust St ,Stilwell,OK,74960.0,12-Sep,55
ADAIR,CAVE SPRINGS,01I030,105,CAVE SPRINGS ES,84.0,(918) 776-2050,Geary Brown,PO Box 200,Bunch,OK,74931.0,PK-08,12
ADAIR,CAVE SPRINGS,01I030,705,CAVE SPRINGS HS,101.0,(918) 776-2050,Geary Brown,PO Box 200,Bunch,OK,74931.0,12-Sep,12
ALFALFA,BURLINGTON,02I001,105,BURLINGTON ES,112.0,(580) 431-2222,Shane Feely,PO Box 17,Burlington,OK,73722.0,PK-08,19
ALFALFA,BURLINGTON,02I001,705,BURLINGTON HS,36.0,(580) 431-2222,Shane Feely,PO Box 17,Burlington,OK,73722.0,12-Sep,14
ALFALFA,CHEROKEE,02I046,105,CHEROKEE ES,192.0,(580) 596-3277,Ruth Richmond,700 S. Nebraska,Cherokee,OK,73728.0,PK-05,24
ALFALFA,CHEROKEE,02I046,510,CHEROKEE MS,79.0,(580) 596-3391,Jeremy Hickman,PO Box 325,Cherokee,OK,73728.0,8-Jun,18
ALFALFA,CHEROKEE,02I046,705,CHEROKEE HS,98.0,(580) 596-3391,Jeremy Hickman,412 E. 5Th St ,Cherokee,OK,73728.0,12-Sep,21
ALFALFA,TIMBERLAKE,02I093,105,TIMBERLAKE ES,204.0,(580) 626-4411,Kale Pierce,PO Box 188,Jet,OK,73749.0,PK-08,30
ALFALFA,TIMBERLAKE,02I093,705,TIMBERLAKE HS,77.0,(580) 852-3281,Charlie Berg,PO Box 287,Helena,OK,73741.0,12-Sep,16
ATOKA,HARMONY,03C021,105,HARMONY PUBLIC SCHOOL,210.0,(580) 889-3687,Brian Walker,490 South Bentley Rd,Atoka,OK,74525.0,PK-08,21
ATOKA,LANE,03C022,105,LANE PUBLIC SCHOOL,283.0,(580) 889-2743,Debra Patton,601 W. Mcgee Creek Rd,Lane,OK,74555.0,PK-08,24
ATOKA,STRINGTOWN,03I007,105,STRINGTOWN ES,145.0,(580) 346-7621,Ricky Heard,PO Box 130,Stringtown,OK,74569.0,PK-08,17
ATOKA,STRINGTOWN,03I007,705,STRINGTOWN HS,107.0,(580) 346-7741,Tony Potts,PO Box 130,Stringtown,OK,74569.0,12-Sep,10
ATOKA,ATOKA,03I015,120,ATOKA ES,460.0,(580) 889-3553,Kathy Perkins,PO Box 720,Atoka,OK,74525.0,PK-05,30
ATOKA,ATOKA,03I015,505,MCCALL MS,187.0,(580) 889-5640,Jay Mcadams,PO Box 720,Atoka,OK,74525.0,8-Jun,25
ATOKA,ATOKA,03I015,705,ATOKA HS,294.0,(580) 889-3361,Jay Mcadams,PO Box 720,Atoka,OK,74525.0,12-Sep,28
ATOKA,TUSHKA,03I019,105,TUSHKA ES,274.0,(580) 889-7355,Paul Weaver,261 W Boggy Depot Rd,Atoka,OK,74525.0,PK-08,27
ATOKA,TUSHKA,03I019,705,TUSHKA HS,181.0,(580) 889-7355,Matthew Simpson,261 W Boggy Depot Rd,Atoka,OK,74525.0,12-Sep,22
ATOKA,CANEY,03I026,105,CANEY ES,168.0,(580) 889-6966,Lori Boehme,PO Box 60,Caney,OK,74533.0,PK-08,22
ATOKA,CANEY,03I026,705,CANEY HS,78.0,(580) 889-6607,Matt Brister,PO Box 60,Caney,OK,74533.0,12-Sep,12
BEAVER,BEAVER,04I022,105,BEAVER ES,298.0,(580) 625-3444,Read Cates,PO Box 580,Beaver,OK,73932.0,PK-08,24
BEAVER,BEAVER,04I022,705,BEAVER HS,95.0,(580) 625-3444,Michael Mcvay,PO Box 580,Beaver,OK,73932.0,12-Sep,17
BEAVER,BALKO,04I075,105,BALKO ES,107.0,(580) 646-3385,Tammie Heathman,"Rural Route 1, Box 37",Balko,OK,73931.0,PK-08,21
BEAVER,BALKO,04I075,705,BALKO HS,44.0,(580) 646-3385,Tammie Heathman,"Rural Route 1, Box 37",Balko,OK,73931.0,12-Sep,13
BEAVER,FORGAN,04I123,105,FORGAN ES,98.0,(580) 487-3366,Todd Kerr,PO Box 406,Forgan,OK,73938.0,PK-08,19
BEAVER,FORGAN,04I123,705,FORGAN HS,44.0,(580) 487-3366,Todd Kerr,PO Box 406,Forgan,OK,73938.0,12-Sep,13
BEAVER,TURPIN,04I128,105,TURPIN ES,312.0,(580) 778-3331,Jeff Funk,PO Box 187,Turpin,OK,73950.0,PK-08,36
BEAVER,TURPIN,04I128,705,TURPIN HS,119.0,(580) 778-3333,Gary Wallace,316 S. Lee,Turpin,OK,73950.0,12-Sep,27
BECKHAM,MERRITT,05I002,105,MERRITT ES,623.0,(580) 225-5460,Tawn Rundle,19693 East 1130 Rd,Elk City,OK,73644.0,PK-08,47
BECKHAM,MERRITT,05I002,705,MERRITT HS,170.0,(580) 225-5460,Don Bradshaw,19693 East 1130 Rd,Elk City,OK,73644.0,12-Sep,24
BECKHAM,ELK CITY,05I006,105,FAIRVIEW ES,343.0,(580) 225-2590,Amanda Friesen,222 West Broadway Ave,Elk City,OK,73644.0,4-Mar,27
BECKHAM,ELK CITY,05I006,110,PIONEER ES,330.0,(580) 225-7722,Brandon Shelton,222 West Broadway Ave,Elk City,OK,73644.0,PK-KG,22
BECKHAM,ELK CITY,05I006,115,GRANDVIEW 5TH/6TH GRADE CTR,330.0,(580) 225-2687,Randy Turney,222 West Broadway Ave,Elk City,OK,73644.0,6-May,28
BECKHAM,ELK CITY,05I006,120,NORTHEAST ES,393.0,(580) 225-0194,Dee Wilhelm,222 West Broadway Ave,Elk City,OK,73644.0,2-Jan,26
BECKHAM,ELK CITY,05I006,610,8TH AND 9TH GRADE CTR,464.0,(580) 225-0476,Tammy Russell,222 West Broadway Ave,Elk City,OK,73644.0,9-Jul,51
BECKHAM,ELK CITY,05I006,705,ELK CITY HS,428.0,(580) 225-0105,Jeff Lewallen,222 West Broadway Ave,Elk City,OK,73644.0,12-Oct,71
BECKHAM,SAYRE,05I031,105,SAYRE ES,423.0,(580) 928-2013,Carmen Holmes,716 Northeast Hwy 66,Sayre,OK,73662.0,PK-05,27
BECKHAM,SAYRE,05I031,505,SAYRE MS,169.0,(580) 928-5578,Danny Clifton,716 Northeast Hwy 66,Sayre,OK,73662.0,8-Jun,18
BECKHAM,SAYRE,05I031,705,SAYRE HS,195.0,(580) 928-5576,Danny Crabb,716 Northeast Hwy 66,Sayre,OK,73662.0,12-Sep,23
BECKHAM,ERICK,05I051,105,ERICK ES,191.0,(580) 526-3203,Kenneth Hill,PO Box 9,Erick,OK,73645.0,PK-08,24
BECKHAM,ERICK,05I051,715,ERICK HS,67.0,(580) 526-3351,Lantze Blivins,PO Box 9,Erick,OK,73645.0,12-Sep,16
BLAINE,OKEENE,06I009,105,OKEENE ES,198.0,(580) 822-3425,Mike Jinkens,PO Box 409,Okeene,OK,73763.0,PK-06,20
BLAINE,OKEENE,06I009,615,OKEENE JR-SR HS (JR),41.0,(580) 822-3219,Jeremy Osmus,PO Box 409,Okeene,OK,73763.0,8-Jul,16
BLAINE,OKEENE,06I009,715,OKEENE JR-SR HS (SR),94.0,(580) 822-3219,Jeremy Osmus,PO Box 409,Okeene,OK,73763.0,12-Sep,20
BLAINE,WATONGA,06I042,105,WATONGA ES,440.0,(580) 623-5248,Jeanne Karns,700 N. Leach,Watonga,OK,73772.0,PK-05,29
BLAINE,WATONGA,06I042,505,WATONGA MS,154.0,(580) 623-7361,Robin Roof,1020 N. Noble,Watonga,OK,73772.0,8-Jun,20
BLAINE,WATONGA,06I042,705,WATONGA HS,199.0,(580) 623-7362,Shannon Grimes,1200 N. Burford,Watonga,OK,73772.0,12-Sep,23
BLAINE,GEARY,06I080,105,GEARY ES,244.0,(405) 884-2442,Melissa Malloy,221 S. Galena,Geary,OK,73040.0,PK-05,19
BLAINE,GEARY,06I080,500,GEARY MS,75.0,(405) 884-2289,,311 S. Blaine,Geary,OK,73040.0,8-Jun,18
BLAINE,GEARY,06I080,715,GEARY HS,96.0,(405) 884-2362,Jim Shelton,300 S. Blaine,Geary,OK,73040.0,12-Sep,22
BLAINE,CANTON,06I105,105,CANTON ES,305.0,(580) 886-2251,Shelia Gilchrist,PO Box 639,Canton,OK,73724.0,PK-08,41
BLAINE,CANTON,06I105,705,CANTON HS,102.0,(580) 886-2256,Marcus Chapman,PO Box 639,Canton,OK,73724.0,12-Sep,21
