year,state,hai,operative_procedure,facid_one,facility_name_one,facid_two,facility_name_two,facid_three,facility_name_three,county,procedure_count,infection_count,sir,comparison,sir_nine_fivecill,sir_nine_fiveciul,notes
2013,California,SSI, Abdominal Aortic Aneurysm Repair,60000002,"AHMC Anaheim Regional Medical Center, Anaheim",.,.,.,.,Orange,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,90000013,"Alvarado Hospital Medical Center, Campus #1, San Diego",090000839,"Alvarado Hospital Medical Center, Campus #2, San Diego",.,.,San Diego,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,930000008,"Antelope Valley Hospital, Lancaster",.,.,.,.,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000100,"Arrowhead Regional Medical Center, Colton",.,.,.,.,San Bernardino,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,120001330,Bakersfield Heart Hospital,.,.,.,.,Kern,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,120000338,Bakersfield Memorial Hospital,.,.,.,.,Kern,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,220000022,"Antelope Valley Hospital, Lancaster",220000002,"California Pacific Medical Center, CA West Campus  Hospital, SF",.,.,San Francisco,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,930000004,"Community Regional Medical Center, Fresno",.,.,.,.,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,120001330,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,.,.,.,Madera,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,120001330,Childrens Hospital and Research Center at Oakland,.,.,.,.,Alameda,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000100,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,.,.,***,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,120001330,"City of Hope Helford Clinical Research Hospital, Duarte",220000002,.,.,***,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,70000137,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,.,.,.,Monterey,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,220000022,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,.,.,g.,Ventura,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,40000101,"Community Regional Medical Center, Fresno",.,.,.,.,Fresno,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,30000117,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,.,.,o.,San Joaquin,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,60000014,"Alvarado Hospital Medical Center, Campus #1, San Diego",.,.,.,.,Riverside,75.0,0.0,0.0,No Difference,0.0,2.36,NULL
2013,California,SSI, Abdominal Aortic Aneurysm Repair,930000008,"Doctors Medical Center, Modesto",.,.,.,.,Stanislaus,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,90000013,Downey Regional Medical Center,.,.,.,.,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000100,"East Los Angeles Doctors Hospital, Los Angeles",.,.,.,.,Los Angeles,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,60000014,"Eisenhower Medical Center, Rancho Mirage",220000002,.,.,,Riverside,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
2013,California,SSI, Abdominal Aortic Aneurysm Repair,240000100,"El Camino Hospital, Mountain View",.,.,.,.,Santa Clara,NULL,NULL,NULL,NULL,NULL,NULL,~ See Data Dictionary
