characteristic,sex,raceethnicity,year,rateper_one_zero_zero_zero,standard_erroron_rate,noteon_rate,count,standard_erroron_count,noteon_count
Total,NULL,NULL,2000,56.8,5.45,NULL,1512961.0,163034.8,NULL
Total,NULL,NULL,2001,47.2,4.41,NULL,1281270.0,128024.3,NULL
Total,NULL,NULL,2002,52.2,5.5,NULL,1429116.0,163034.8,NULL
Total,NULL,NULL,2003,45.6,4.67,NULL,1270011.0,128024.3,NULL
Total,NULL,NULL,2004,46.3,4.19,NULL,1281270.0,126617.1,NULL
Total,NULL,NULL,2005,47.2,4.76,NULL,1429116.0,145528.5,NULL
Total,NULL,NULL,2006,47.5,4.61,NULL,1351422.0,140348.7,NULL
Total,NULL,NULL,2007,37.9,4.23,NULL,1102128.0,128024.3,NULL
Total,NULL,NULL,2008,35.2,4.2,NULL,1029341.0,129394.5,NULL
Total,NULL,NULL,2009,28.4,3.95,NULL,833579.0,122398.1,NULL
Total,NULL,NULL,2010,29.9,3.93,NULL,894393.0,124489.2,NULL
Total,NULL,NULL,2011,33.9,3.82,NULL,1008453.0,120751.8,NULL
Total,NULL,NULL,2012,35.7,3.58,NULL,1270011.0,115788.2,NULL
Total - Male,Male,NULL,2000,64.9,7.26,NULL,867541.0,107086.4,NULL
Total - Male,Male,NULL,2001,52.4,5.86,NULL,711430.0,86046.8,NULL
Total - Male,Male,NULL,2002,58.0,7.16,NULL,792960.0,107648.1,NULL
Total - Male,Male,NULL,2003,48.0,5.95,NULL,671440.0,90058.0,NULL
Total - Male,Male,NULL,2004,51.5,5.6,NULL,733774.0,85981.0,NULL
Total - Male,Male,NULL,2005,59.3,6.79,NULL,855465.0,106868.3,NULL
Total - Male,Male,NULL,2006,50.7,5.96,NULL,729407.0,92599.0,NULL
Total - Male,Male,NULL,2007,38.2,5.05,NULL,565751.0,81164.2,NULL
Total - Male,Male,NULL,2008,32.7,5.07,NULL,484094.0,79035.4,NULL
Total - Male,Male,NULL,2009,28.8,4.93,NULL,428762.0,77664.9,NULL
