characteristic,sex,raceethnicity,year,rateper_one_zero_zero_zero_zero_zero,count
Total,,,2001,287.3,103744.0
Total,,,2002,,
Total,,,2003,259.2,96068.0
Total,,,2004,,
Total,,,2005,,
Total,,,2006,243.4,92369.0
Total,,,2007,226.9,86437.0
Total,,,2008,,
Total,,,2009,,
Total,,,2010,189.5,70491.0
Total,,,2011,165.9,61215.0
Total - Male,Male,,2001,478.0,88689.0
Total - Male,Male,,2002,,
Total - Male,Male,,2003,428.1,81565.0
Total - Male,Male,,2004,,
Total - Male,Male,,2005,,
Total - Male,Male,,2006,403.8,78690.0
Total - Male,Male,,2007,382.0,74673.0
Total - Male,Male,,2008,,
Total - Male,Male,,2009,,
Total - Male,Male,,2010,320.5,61096.0
Total - Male,Male,,2011,279.7,52884.0
Total - Female,Female,,2001,85.8,15055.0
Total - Female,Female,,2002,,
Total - Female,Female,,2003,80.5,14503.0
Total - Female,Female,,2004,,
Total - Female,Female,,2005,,
Total - Female,Female,,2006,74.1,13679.0
Total - Female,Female,,2007,63.4,11764.0
Total - Female,Female,,2008,,
Total - Female,Female,,2009,,
Total - Female,Female,,2010,51.8,9395.0
Total - Female,Female,,2011,46.3,8331.0
"Total - White, non-Hispanic",,"White, non-Hispanic",2001,179.5,41136.0
"Total - White, non-Hispanic",,"White, non-Hispanic",2002,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2003,160.9,37111.0
"Total - White, non-Hispanic",,"White, non-Hispanic",2004,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2005,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2006,142.0,32343.0
"Total - White, non-Hispanic",,"White, non-Hispanic",2007,130.1,29371.0
"Total - White, non-Hispanic",,"White, non-Hispanic",2008,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2009,,
"Total - White, non-Hispanic",,"White, non-Hispanic",2010,106.6,22841.0
"Total - White, non-Hispanic",,"White, non-Hispanic",2011,93.9,19840.0
