characteristic,sex,raceethnicity,year,rateper_one_zero_zero_zero,standard_erroron_rate,noteon_rate,count,standard_erroron_count,noteon_count
Total,,,2000,15.3,2.38,,367967,59229.6,
Total,,,2001,15.7,2.27,,380883,56750.9,
Total,,,2002,11.1,2.01,,275729,51377,
Total,,,2003,16.5,2.49,,416297,65031.8,
Total,,,2004,11.9,1.85,,299738,47923.7,
Total,,,2005,13.8,2.25,,350937,58842.3,
Total,,,2006,15.2,2.32,,388254,60899.7,
Total,,,2007,10.2,1.74,,259796,45897.6,
Total,,,2008,12.5,2.32,,311837,59642.2,
Total,,,2009,11.1,2.26,,272833,57242.3,
Total,,,2010,7.2,1.58,,174790,39648.1,
Total,,,2011,8.5,1.63,,206783,40708.4,
Total,,,2012,5.9,1.27,,147120,32285.5,
Total - Male,Male,,2000,21.0,3.61,,258058,46495.3,
Total - Male,Male,,2001,20.8,3.4,,257074,43852.4,
Total - Male,Male,,2002,12.9,2.72,,164623,35980,
Total - Male,Male,,2003,21.8,3.7,,281019,49902.7,
Total - Male,Male,,2004,15.6,2.79,,201837,37241.1,
Total - Male,Male,,2005,18.5,3.4,,239794,45815.5,
Total - Male,Male,,2006,14.3,2.81,,187123,37899,
Total - Male,Male,,2007,15.6,2.81,,203362,38352.5,
Total - Male,Male,,2008,16.6,3.55,,212091,46791.1,
Total - Male,Male,,2009,14.9,3.41,,186456,44418.7,
Total - Male,Male,,2010,9.0,2.27,,111677,29157.2,
Total - Male,Male,,2011,9.6,2.21,,120278,28367.6,
Total - Male,Male,,2012,7.7,1.96,,98819,25384.8,
Total - Female,Female,,2000,9.4,2.18,,109909,26236.9,
Total - Female,Female,,2001,10.5,2.26,,123809,27431.8,
Total - Female,Female,,2002,9.2,2.22,,111106,27510.3,
Total - Female,Female,,2003,11.0,2.43,,135277,30758.1,
Total - Female,Female,,2004,7.9,1.89,,97900,23733.8,
Total - Female,Female,,2005,9.0,2.2,,111144,27947.5,
Total - Female,Female,,2006,16.2,3.09,,201131,39696,
Total - Female,Female,,2007,4.5,1.18,,56435,15005.4,
Total - Female,Female,,2008,8.1,2.36,,99746,29446.9,
Total - Female,Female,,2009,7.1,2.17,,86376,26892.1,
Total - Female,Female,,2010,5.3,1.62,,63114,19832.5,
Total - Female,Female,,2011,7.3,1.89,,86505,22853.2,
Total - Female,Female,,2012,3.9,1.34,,48302,16653.1,
"Total - White, non-Hispanic",,"White, non-Hispanic",2000,13.7,2.54,,212443,40755.9,
