OBJECTID,ACRES,USE_,MODIFICATIONS,LANDUSE,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SHAPESTArea,SHAPESTLength
6401,230.67430541,,,Low Density Residential,,,,,10048172.3230725,36515.908410936
6402,52.34273301,,11/02/10,Low Density Residential,,,,,2280049.3051711,7225.36974885697
6403,4.36670412,,,Conservation,,,,,190213.627278749,3810.73843114704
6404,20.11072608,,,Medium Density Residential,,,,,876023.476296378,11256.5998614137
6405,3.85119817,,,High Density Residential,,,,,167758.168742763,2599.24847237444
6406,1.4551864,,,Medium Density Residential,,,,,63387.8385283721,1458.14517415145
6407,6.91023685,,,Business/Commercial,,,,,301009.946815241,2875.3559629367
6408,10.69678367,,10/14/10,Agriculture/Open Space,,,,,465951.816594418,4647.49846134832
6409,4.70024031,,10/14/10,Agriculture/Open Space,,,,,204742.496505653,2220.35598211534
6410,26.24927767,,,Business/Commercial,,,,,1143418.4698432,4188.26144102314
6411,5.08184931,,10/14/10,Recreation,,,,,221365.366481785,2050.69605700309
6412,3.30256682,,,Low Density Residential,,,,,143859.767379373,1521.58550202092
6413,1.61556133,,,Business/Commercial,,,,,70373.9528685591,1315.20329846782
6414,0.50320252,,,Business/Commercial,,,,,21919.5092246719,610.742904957485
6415,8.30120194,,,Low Density Residential,,,,,361600.408451322,2643.86678354648
6416,21.23518631,,,Business/Commercial,,,,,925004.775303165,3894.04798276533
6417,82.25282169,,,Medium Density Residential,,,,,3582932.68908987,23761.4827502141
6418,5.63830804,,,Low Density Residential,,,,,245604.70175636,2177.38282278017
6419,10.44614949,,,Low Density Residential,,,,,455034.265518924,3978.53055720081
6420,3.45489185,,,Low Density Residential,,,,,150495.109891036,1596.07933624583
6421,0.59116135,,,Business/Commercial,,,,,25750.9846756054,670.504187038326
6422,2.57178934,,,Medium Density Residential,,,,,112027.126812804,2029.80875481443
6423,1.52233232,,,High Density Residential,,,,,66312.8573506287,1263.18691790047
6424,4.36886778,,,Medium Density Residential,,,,,190307.944250795,2388.31408502022
6425,2.61334888,,,Business/Commercial,,,,,113837.423282385,1394.15107805043
6426,4.99136131,,,Low Density Residential,,,,,217423.707354154,1937.01620938825
6427,0.11086258,,,Low Density Residential,,,,,4829.1887352245,464.511332186807
6428,3.12820432,,,Business/Commercial,,,,,136264.51027637,1726.36453664794
6429,0.02063572,,,Low Density Residential,,,,,898.89198387637,119.754618155514
6430,6.60360961,,,Business/Commercial,,,,,287653.108438989,2367.07032036112
6431,521.41412356,Chesapeake Municipal Airport,093010,Airport,,,,,24322981.1975882,27156.9334747931
6432,154.70860059,,,Conservation,,,,,6739106.69842423,30898.5759506642
