OBJECTID,CYCLE,ID305B,WATER_NAME,LOCATION,WATER_SIZE,SIZE_UNIT,WATER_TYPE,LIS_BASIN,LIS_ZONE,ISLAND,BEACH,CLASS_ID,CLASS_NAME,Aquatic_Life_Attainment_Code,Aquatic_Life_Attainment,Recreation_Attainment_Code,Recreation_Attainment,Fish_Consumptin_Attainment_Code,Fish_Consumption_Attainment,Shellfish_Description,Shellfish_Attainment_Code,Shellfish_Attainment,Impaired,SHAPE_Length,SHAPE_Area
1,2018,CT-E1_017,"LIS EB Inner - Alewife Cove, Waterford/New London","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Alewife Cove from outlet at Waterford Beach Park Picnic Area, US to Saltwater limit at Niles Hill Road crossing, Waterford.",0.063,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,18206.973821278,1756834.61613291
2,2018,CT-E1_018-SB,"LIS EB Inner - Goshen Cove, Waterford","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Goshen Cove from outlet at Goshen Point (Includes western side of Harkness Memorial State Park), US to Saltwater limit at Route 213 crossing, Waterford.",0.044,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,X,UNASSESSED,No,11313.4517978807,1226893.42780065
3,2018,CT-W1_003-SB,"LIS WB Inner - Ash Creek, Fairfield","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth near South Benson Road, US to saltwater limit at I95, Fairfield/Bridgeport.",0.157,SQUARE MILES,ESTUARY,Western,Inner Estuary,True,False,52,Coastal and Marine Surface Waters Class SB,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,N,NOT SUPPORTING,Yes,53973.6698434639,4374296.52055561
4,2018,CT-W1_002-SB,"LIS WB Inner - Black Rock Harbor, Bridgeport","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth at Fayerweather Island area, US to saltwater limit at I95 (includes Burr Creek, Cedar Creek, all SB water of Harbor area), Bridgeport.",0.442,SQUARE MILES,ESTUARY,Western,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,N,NOT SUPPORTING,Yes,33356.4149221285,12327169.8568497
5,2018,CT-W1_022-SB,"LIS WB Inner - Byram River (CT), Greenwich","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Byram River, US to saltwater limit just above Route 1 crossing, out to CT/NY border (includes CT half of River), I95 crosses river in seg, Greenwich.",0.037,SQUARE MILES,ESTUARY,Western,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,N,NOT SUPPORTING,Yes,22885.8049632469,1034815.00071598
6,2018,CT-E1_004-SB,"LIS EB Inner - Outer Stonington Harbor, Stonington","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Outer Stonington Harbor from SB/SA water quality boundary near Wamphassuc Point to offshore Stonington Point, US to RR crossing, Stonington.",0.638,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,True,52,Coastal and Marine Surface Waters Class SB,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,F,FULLY SUPPORTING,No,26713.4531176767,17774190.9364025
7,2018,CT-E1_009,"LIS EB Inner - Beebe Cove (Mystic Harbor), Groton","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Beebe Cove (Mystic Harbor) waters west of two RR crossings along shore, Groton.",0.207,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,True,False,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,16817.537988165,5757117.02160636
8,2018,CT-E1_022,"LIS EB Inner - Bride Brook, East Lyme","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Bride Brook from outlet at RR crossing, Eastern end of Rocky Neck State Park Beach, US to saltwater limit at Route 156 crossing, East Lyme.",0.029,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,16954.2219209858,818315.725527776
9,2018,CT-E1_026-SB,"LIS EB Inner - Black Hall River (upper), Old Lyme","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Black Hall River from Route 156 crossing, US to saltwater limit at Mile Creek Road crossing, Old Lyme.",0.041,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,N,NOT SUPPORTING,Yes,17338.915334929,1145495.85403456
10,2018,CT-C1_010,"LIS CB Inner - Branford River, Branford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, SA water from SA/SB water quality line at RR crossing above Route 146 crossing, US to saltwater limit near Route 1, Branford.",0.026,SQUARE MILES,ESTUARY,Central,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,X,UNASSESSED,No,16372.4488744129,724289.916398992
