OBJECTID_12_13,MANAGEMENT_UNITS,TC_ID,OBJECTID,TC_ID_1,Total_A,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Perv_A,Imperv_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Perv_P,Imperv_P,OBJECTID_1,TC_E_A,TC_Pv_A,TC_Land_A,TC_Pi_A,TC_P_A,TC_E_P,TC_Pv_P,TC_P_P,TC_Pi_P,TC_Land_A_1,Gain,Loss,No_Change,TreeCanopy_2016_Area,TreeCanopy_2021_Area,Change_Area,Change_PercentChange,TreeCanopy_2016_Percent,TreeCanopy_2021_Percent,Change_Percent_AbsDiff,TC_ID_12,OBJECTID_12,TC_ID_12_13,Shape__Area,Shape__Length
1,1,1,1,,101934181,29734884,27584180,793771,130684,20216940,12736767,10736955,58243519,43690662,29.170670434876,27.0607756195147,0.778709351674685,0.12820429684916,19.8333275469197,12.4950893557481,10.5332233944176,57.1383597029146,42.8616402970854,,29734884,27584180,101803497,11530726,39114906,29.2081164952516,27.0955132317311,38.421966978207,11.3264537464759,,3277447,3344972,26457437,29802409,29734884,-67525,-0.226575643599818,29.2744452580052,29.2081164952516,-0.0663287627536029,,,,101934134.127914,47005.022825067
2,2,2,2,,111943266,38500364,35063259,768643,104109,18387451,11829707,7289733,74436375,37506891,34.3927467687069,31.3223476970915,0.686636210882037,0.0930015745654589,16.4256874549292,10.5675914440445,6.51198884978039,66.4947322512459,33.5052677487541,,38500364,35063259,111839157,8058376,43121635,34.4247623397233,31.3515050904756,38.5568312178891,7.2053261274135,,3820091,3981916,34680273,38662189,38500364,-161825,-0.418561401166395,34.5694567422392,34.4247623397233,-0.144694402515896,,,,111944818.279434,63953.9811022633
3,3,3,3,,95597558,25019473,30595795,300143,111310,14486487,11179092,13905258,56026721,39570837,26.1716653891933,32.0047871934135,0.313965132875047,0.116436028627426,15.1536161624547,11.6939095871047,14.5456205063313,58.6068537441092,41.3931462558908,,25019473,30595795,95486248,14205401,44801196,26.2021741601995,32.0420957371788,46.9190034569166,14.8769077197378,,2405420,3763948,22614053,26378001,25019473,-1358528,-5.15023105806994,27.6249214441853,26.2021741601995,-1.4227472839858,,,,95649880.3383636,57225.8440822627
4,4,4,4,,137900181,40389202,32887570,710617,676777,15361687,10230321,37644007,74664166,63236015,29.2887229785434,23.8488229395435,0.515312594114724,0.490773104931603,11.13971489276,7.41864218437828,27.2980113057285,54.1436316171333,45.8563683828667,,40389202,32887570,137223404,38354624,71242194,29.4331730759281,23.9664437999221,51.9169412238163,27.9504974238942,,2843549,5721374,37545653,43267027,40389202,-2877825,-6.65131209500482,31.5303554195464,29.4331730759281,-2.0971823436183,,,,137900100.107651,84319.6831867715
5,5,5,5,,149631751,30273620,42859095,207347,121753,24774328,15446700,35948908,73461815,76169936,20.2320829621248,28.6430484930969,0.138571525504637,0.0813684256090808,16.5568656614865,10.3231432478525,24.0249196843256,49.0950714063354,50.9049285936646,,30273620,42859095,149509998,36156255,79015350,20.2485588957068,28.6663738701943,52.8495425436364,24.1831686734422,,2877121,4478324,27396499,31874823,30273620,-1601203,-5.02340985548375,21.3195260694205,20.2485588957068,-1.0709671737137,,,,149706849.495209,106692.124304204
6,6,6,6,,120952141,33994596,39993799,351756,83487,20220455,13288550,13019498,74423638,46528503,28.1058241044282,33.0658049285791,0.290822466714335,0.0690248219748338,16.7177321813592,10.9866182525864,10.7641732443579,61.5314763216965,38.4685236783035,,33994596,39993799,120868654,13371254,53365053,28.1252374995423,33.0886443064055,44.1512759792957,11.0626316728901,,3483066,4122957,30511530,34634487,33994596,-639891,-1.84755443324453,28.6546477137075,28.1252374995423,-0.5294102141652,,,,120952090.977768,61431.163597394
7,7,7,7,,82888415,21727361,29245348,101466,117047,12942928,9417432,9336833,51191222,31697193,26.2127837768402,35.2827931382208,0.122412764196299,0.141210324748036,15.6148817660466,11.3615780926683,11.2643401372797,61.7592000040054,38.2407999959946,,21727361,29245348,82771368,9438299,38683647,26.2498512770745,35.3326865396256,46.7355414495505,11.4028549099249,,2346044,2641981,19381317,22023298,21727361,-295937,-1.3437451556983,26.6073867475526,26.2498512770745,-0.357535470478098,,,,82888507.394928,62971.274130202
8,8,8,8,,129252531,14120436,15185577,494095,209186,27395336,19969505,51878396,30009294,99243237,10.9246881981754,11.7487656779425,0.382271044270692,0.161842865576071,21.1952027461652,15.449991458968,40.1372380089021,23.2175677859647,76.7824322140353,,14120436,15185577,129043345,52372491,67558068,10.9423976881566,11.7678110405461,52.3530043335439,40.5851932929978,,1392672,1672489,12727764,14400253,14120436,-279817,-1.94313947123012,11.1592372314899,10.9423976881566,-0.2168395433333,,,,129252506.547638,58486.5862008601
9,9,9,9,,45924491,12788257,12123642,211142,52649,8724572,7109250,4914979,25175690,20748801,27.8462683451407,26.3990775640823,0.459759042294013,0.114642533544901,18.9976455046611,15.4803022204427,10.7023047898343,54.8197474850619,45.1802525149381,,12788257,12123642,45871842,5126121,17249763,27.8782286527757,26.4293768713277,37.6042518632672,11.1748749919395,,1388752,1656818,11399505,13056323,12788257,-268066,-2.05315079904197,28.4626089355644,27.8782286527757,-0.5843802827887,,,,45924453.340683,33305.1534221144
10,10,10,10,,28937809,6527374,6021279,48129,0,8534577,4466015,3340435,12596782,16341027,22.5565591368718,20.8076534059645,0.166318742376107,0,29.4928237310572,15.433148376921,11.5434966068095,43.5305312852124,56.4694687147876,,6527374,6021279,28937809,3388564,9409843,22.5565591368718,20.8076534059645,32.5174687551501,11.7098153491856,,824905,1035962,5702469,6738431,6527374,-211057,-3.13213862396157,23.2859059923991,22.5565591368718,-0.7293468555273,,,,28937820.559967,26983.2284414288
11,11,11,11,,68374529,24806360,21148603,130923,190774,12618076,7198359,2281434,46276660,22097869,36.2801182879081,30.9305282380812,0.191479198342997,0.279013256530074,18.4543516197384,10.5278370546436,3.33667234475575,67.6811389808623,32.3188610191377,,24806360,21148603,68183755,2412357,23560960,36.3816278525581,31.0170699750989,34.5550930716561,3.53802309655724,,2649949,2684099,22156411,24840510,24806360,-34150,-0.137477048579115,36.43171309647,36.3816278525581,-0.0500852439119015,,,,68374496.3163147,44426.6296435951
12,12,12,12,,89304942,32066000,17031991,161690,692344,18004403,12091224,9257290,49952025,39352917,35.9061875881404,19.0717228168627,0.181053809989597,0.775258327809003,20.160589768929,13.5392551959778,10.3659324922914,55.9342225428017,44.0657774571983,,32066000,17031991,88612598,9418980,26450971,36.1867282121669,19.220733151284,29.8501246967164,10.6293915454324,,2856554,3657097,29209446,32866543,32066000,-800543,-2.43573837382289,37.0901471594366,36.1867282121669,-0.903418947269699,,,,89305000.8124695,76251.8788859996
