License_No,License_Type,Issue_Date,License_Status,Expire_date,Legal_Name,Street1,Street2,City,State,Zip,County_Code
70159035,Cig/OTP Retail,1/4/2016,Issued,2/28/2017,WALGREEN EASTERN CO INC,112 W STEUBEN ST                                            ,                                        ,CRAFTON                                 ,PA ,15205-2604,02                                      
70167117,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,SHEETZ INC,5300 RTE 8                                                  ,HAMPTON                                 ,GIBSONIA                                ,PA ,15044     ,02                                      
70159040,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,1741 WASHINGTON RD                                          ,                                        ,PITTSBURGH                              ,PA ,15241-1201,02                                      
70159042,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,4 OLD CLAIRTON RD                                           ,                                        ,PITTSBURGH                              ,PA ,15236-3905,02                                      
70159043,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,10707 FRANKSTOWN RD                                         ,                                        ,PITTSBURGH                              ,PA ,15235-3040,02                                      
02220396,Cig/OTP Retail,1/8/2016,Issued,2/28/2017,JAVED I AHMED INC,421 BUTLER ST                                               ,                                        ,ETNA                                    ,PA ,15223     ,02                                      
70167122,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,SHEETZ INC,899 FREEPORT RD                                             ,                                        ,CREIGHTON                               ,PA ,15030-1065,02                                      
70159049,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,5956 PENN CIR S                                             ,                                        ,PITTSBURGH                              ,PA ,15206-3830,02                                      
02265114,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,2269 NOBLESTOWN RD                                          ,                                        ,PITTSBURGH                              ,PA ,15205     ,02                                      
02265115,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,3915 WILLIAM FLYNN HIGHWA                                   ,                                        ,ALLISON PARK                            ,PA ,15101     ,02                                      
02265116,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,4630 WILLIAM FLYNN HWY                                      ,                                        ,ALLISON PARK                            ,PA ,15101-2440,02                                      
02265117,Cig/OTP Retail,2/4/2016,Issued,2/28/2017,7 ELEVEN,4775 MCKNIGHT RD                                            ,                                        ,PITTSBURGH                              ,PA ,15237-3417,02                                      
02265118,Cig/OTP Retail,2/4/2016,Issued,2/28/2017,7 ELEVEN,6250 LIBRARY RD                                             ,                                        ,BETHEL PARK                             ,PA ,15102-4016,02                                      
02265120,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,8136 OHIO RIVER BLVD                                        ,                                        ,PITTSBURGH                              ,PA ,15202-1578,02                                      
02265121,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,650 CLAIRTON BLVD                                           ,                                        ,PITTSBURGH                              ,PA ,15236-3812,02                                      
02265124,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,2 HECKEL RD                                                 ,                                        ,MC KEES ROCKS                           ,PA ,15136-1652,02                                      
02265128,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,1102 PERRY HWY                                              ,                                        ,PITTSBURGH                              ,PA ,15237-2113,02                                      
02265130,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,10594 PERRY HWY                                             ,                                        ,WEXFORD                                 ,PA ,15090-9244,02                                      
02265134,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,6106 SALTSBURG RD                                           ,                                        ,VERONA                                  ,PA ,15147-3524,02                                      
70159052,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,133 W 8TH AVE                                               ,                                        ,HOMESTEAD                               ,PA ,15120-1008,02                                      
70159056,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,6201 SALTSBURG ROAD                                         ,                                        ,PITTSBURGH                              ,PA ,15235     ,02                                      
70159062,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,324 HULTON RD                                               ,                                        ,OAKMONT                                 ,PA ,15139-1917,02                                      
02266598,Cig/OTP Retail,2/4/2016,Issued,2/28/2017,7 ELEVEN,3955 FORBES AVE                                             ,                                        ,PITTSBURGH                              ,PA ,15213     ,02                                      
02268188,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,1101 BROOKLINE BLVD                                         ,                                        ,PITTSBURGH                              ,PA ,15226     ,02                                      
02268882,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,333 THOMPSON RUN RD                                         ,                                        ,PITTSBURGH                              ,PA ,15237-3367,02                                      
70167159,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,SHEETZ INC,1505 PITTSBURGH ST                                          ,                                        ,CHESWICK                                ,PA ,15024-1521,02                                      
70167160,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,SHEETZ INC,2003 GOLDEN MILE HWY                                        ,                                        ,PITTSBURGH                              ,PA ,15239     ,02                                      
70159068,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,30 PINE CREEK RD                                            ,                                        ,WEXFORD                                 ,PA ,15090-9314,02                                      
70159069,Cig/OTP Retail,12/22/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,4885 MCKNIGHT RD                                            ,                                        ,PITTSBURGH                              ,PA ,15237-3400,02                                      
70159070,Cig/OTP Retail,12/22/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,1701 WILLIAM FLYNN HWY                                      ,                                        ,GLENSHAW                                ,PA ,15116-1747,02                                      
02200015,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,WAGNERS MARKET INC,4978 MIDDLE RD                                              ,                                        ,GIBSONIA                                ,PA ,15044     ,02                                      
02010617,Cig/OTP Retail,1/6/2016,Issued,2/28/2017,TOM BETER INC,908 LITTLE DEER CRK VLYRD                                   ,                                        ,RUSSELLTON                              ,PA ,15076     ,02                                      
02011514,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,STANTON NEGLEY DRUG CO,804 N NEGLEY AVE                                            ,                                        ,PGH                                     ,PA ,15206     ,02                                      
70167195,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,SHEETZ INC,251 CURRY HOLLOW RD                                         ,PLEASANT HILLS                          ,PITTSBURGH                              ,PA ,15236     ,02                                      
02000931,Cigarette Stamping Agent & Retail,12/18/2015,Issued,2/28/2017,A J SILBERMAN AND CO LP,267 BLUE RUN ROAD                                           ,                                        ,INDIANOLA                               ,PA ,15051     ,02                                      
02215438,Cig/OTP Retail,12/17/2015,Issued,2/28/2017,ANTHONY MAZZARINI,910 W SAW MILL RUN BLVD                                     ,                                        ,PITTSBURGH                              ,PA ,15220     ,02                                      
70167208,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,SHEETZ INC,12000 PERRY HWY                                             ,                                        ,WEXFORD                                 ,PA ,15090     ,02                                      
70159080,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,2055 WASHINGTON PIKE                                        ,                                        ,CARNEGIE                                ,PA ,15106     ,02                                      
70303173,Cig/OTP Retail,2/29/2016,Issued,2/28/2017,7 ELEVEN,740 W INGOMAR ROAD                                          ,                                        ,PITTSBURGH                              ,PA ,15237     ,02                                      
70159085,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,6906 UNIVERSITY BLVD                                        ,                                        ,MOON TWP                                ,PA ,15108-4248,02                                      
02000875,Cigarette Stamping Agent & Retail,1/29/2016,Issued,2/28/2017,EISENSTAT CANDY CO INC,112 ST JOSEPH ST                                            ,                                        ,PITTSBURGH                              ,PA ,15210     ,02                                      
70167228,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,SHEETZ INC,2100 MOSSIDE BLVD                                           ,                                        ,MONROEVILLE                             ,PA ,15146     ,02                                      
70167240,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,SHEETZ INC,5410 CAMPBELLS RUN ROAD                                     ,                                        ,PITTSBURGH                              ,PA ,15205     ,02                                      
70167243,Cig/OTP Retail,12/21/2015,Issued,2/28/2017,SHEETZ INC,3954 WILLIAM PENN HIGHWAY                                   ,                                        ,MONROEVILLE                             ,PA ,15146     ,02                                      
02265953,Cig/OTP Retail,12/30/2015,Issued,2/28/2017,SQUIRREL HILL NEWS,5804 FORBES AVE                                             ,                                        ,PITTSBURGH                              ,PA ,15217-1602,02                                      
02266581,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,SAFI MARKET LLC,1518 MIFFLIN STREET                                         ,                                        ,HOMESTEAD                               ,PA ,15120     ,02                                      
70167251,Cig/OTP Retail,12/22/2015,Issued,2/28/2017,SHEETZ INC,1000 CLAIRTON BLVD                                          ,                                        ,PITTSBURGH                              ,PA ,15236     ,02                                      
02258482,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,ROBERT PASCULLE,944 GREENSBURG PIKE                                         ,                                        ,EAST PITTSBURGH                         ,PA ,15112     ,02                                      
70167254,Cig/OTP Retail,12/22/2015,Issued,2/28/2017,SHEETZ INC,9002 UNIVERSITY BOULVARD                                    ,                                        ,MOON TOWNSHIP                           ,PA ,15108     ,02                                      
02089086,Cig/OTP Retail,12/18/2015,Issued,2/28/2017,P R A INC,426 BROADWAY                                                ,                                        ,PITCAIRN                                ,PA ,15140     ,02                                      
70159090,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,WALGREEN EASTERN CO INC,7628 PENN AVE                                               ,                                        ,PITTSBURGH                              ,PA ,15221-2114,02                                      
02176948,Cig/OTP Retail,12/23/2015,Issued,2/28/2017,MONTOUR HEIGHTS COUNTRY CLUB,1491 CORAOPOLIS HEIGHTS RD                                  ,                                        ,CORAOPOLIS                              ,PA ,15108-2958,02                                      
02203360,Cig/OTP Retail,12/16/2015,Issued,2/28/2017,WAYNE CROUSE,1608 COCHRAN RD                                             ,                                        ,PITTSBURGH                              ,PA ,15220-1001,02                                      
70167278,Cig/OTP Retail,12/22/2015,Issued,2/28/2017,SHEETZ INC,2175 HULTON RD                                              ,                                        ,VERONA                                  ,PA ,15147-3808,02                                      
