OBJECTID,SubSurRights,GIS_Acres,ACRES,ECRMP_Description,SHAPE_Length,SHAPE_Area
1,All Minerals,8.02637123445388,8.02637123445388,Alt B Underground Coal Leasing Available,974.015294533681,32481.5719787163
2,All Minerals,377.663612426448,377.663612426448,Alt B Underground Coal Leasing Available,6826.52636929279,1528350.41545475
3,All Minerals,33.5103055750893,33.5103055750893,Alt B Underground Coal Leasing Available,1501.06076277307,135611.395333136
4,All Minerals,153.576980160866,153.576980160866,Alt B Underground Coal Leasing Available,5286.00665957595,621503.988496796
5,All Minerals,40.7157793879196,40.7157793879196,Alt B Underground Coal Leasing Available,1623.98813558058,164770.913309024
6,All Minerals,112.724240595373,112.724240595373,Alt B Underground Coal Leasing Available,3871.13378598708,456178.817013547
7,All Minerals,39.2994181955758,39.2994181955758,Alt B Underground Coal Leasing Available,1604.48725420791,159039.102921349
8,All Minerals,79.1775605073326,79.1775605073326,Alt B Underground Coal Leasing Available,2418.34242877993,320420.219249064
9,All Minerals,153.689827596986,153.689827596986,Alt B Underground Coal Leasing Available,4882.51498055625,621960.665868411
10,All Minerals,376.860290599105,376.860290599105,Alt B Underground Coal Leasing Available,9200.40933032379,1525099.48735852
11,All Minerals,35.6900101176389,35.6900101176389,Alt B Underground Coal Leasing Available,2002.01047475536,144432.346660088
12,All Minerals,36.2829047166072,36.2829047166072,Alt B Underground Coal Leasing Available,2042.3356213478,146831.705975729
13,All Minerals,39.7416391134826,39.7416391134826,Alt B Underground Coal Leasing Available,1604.20135132586,160828.7074831
14,All Minerals,0.0849322114778187,0.0849322114778187,Alt B Underground Coal Leasing Available,261.203063866654,343.708465487645
15,All Minerals,79.6404697895755,79.6404697895755,Alt B Underground Coal Leasing Available,2414.39038554538,322293.546650897
16,All Minerals,73.1213944916519,73.1213944916519,Alt B Underground Coal Leasing Available,2917.75254650547,295911.784913386
17,All Minerals,250.459139706058,250.459139706058,Alt B Underground Coal Leasing Available,6761.97100064161,1013572.17806824
18,All Minerals,241.331635877978,241.331635877978,Alt B Underground Coal Leasing Available,7915.53790872706,976634.480581095
19,All Minerals,41.5862230950299,41.5862230950299,Alt B Underground Coal Leasing Available,1640.98650476586,168293.474015481
20,All Minerals,40.077572056077,40.077572056077,Alt B Underground Coal Leasing Available,1612.00747373329,162188.179869334
21,All Minerals,40.126216104566,40.126216104566,Alt B Underground Coal Leasing Available,1611.89156090798,162385.035349373
22,All Minerals,39.1402099471217,39.1402099471217,Alt B Underground Coal Leasing Available,1626.248592904,158394.809998594
23,All Minerals,38.8144138292804,38.8144138292804,Alt B Underground Coal Leasing Available,1680.45621603905,157076.359886715
24,All Minerals,38.1450390486009,38.1450390486009,Alt B Underground Coal Leasing Available,1891.67283593,154367.496256529
25,All Minerals,39.6371241656483,39.6371241656483,Alt B Underground Coal Leasing Available,1602.14007375961,160405.75049522
26,All Minerals,37.47287148097,37.47287148097,Alt B Underground Coal Leasing Available,1880.83121776466,151647.330618533
27,All Minerals,78.4005225364519,78.4005225364519,Alt B Underground Coal Leasing Available,3287.84229806763,317275.658146157
28,All Minerals,40.0911753960766,40.0911753960766,Alt B Underground Coal Leasing Available,1611.19736097033,162243.230633177
29,All Minerals,33.1319100245558,33.1319100245558,Alt B Underground Coal Leasing Available,1469.55179229094,134080.082869253
30,All Minerals,39.5025628998868,39.5025628998868,Alt B Underground Coal Leasing Available,1601.71228831237,159861.200372667
31,All Minerals,265.364020873931,265.364020873931,Alt B Underground Coal Leasing Available,5415.63117714205,1073890.09214756
32,All Minerals,37.3285626235159,37.3285626235159,Alt B Underground Coal Leasing Available,1951.9595380096,151063.333391936
33,All Minerals,193.902532792344,193.902532792344,Alt B Underground Coal Leasing Available,5060.42710894293,784695.710150323
34,All Minerals,311.435371239971,311.435371239971,Alt B Underground Coal Leasing Available,6025.52110338338,1260334.232265
35,All Minerals,79.1717631002683,79.1717631002683,Alt B Underground Coal Leasing Available,2423.3727001843,320396.757975052
36,All Minerals,81.6462719584555,81.6462719584555,Alt B Underground Coal Leasing Available,2444.4503909751,330410.740040092
37,All Minerals,114.473322075356,114.473322075356,Alt B Underground Coal Leasing Available,4501.28113842741,463257.09863412
38,All Minerals,158.305017203188,158.305017203188,Alt B Underground Coal Leasing Available,4303.97529846375,640637.675566864
39,All Minerals,74.3871203483385,74.3871203483385,Alt B Underground Coal Leasing Available,2947.49614170938,301033.995725516
40,All Minerals,31.7337130484418,31.7337130484418,Alt B Underground Coal Leasing Available,2557.72968430304,128421.780456685
41,All Minerals,36.4203108435337,36.4203108435337,Alt B Underground Coal Leasing Available,2092.45842154096,147387.768842959
42,All Minerals,39.8274046237889,39.8274046237889,Alt B Underground Coal Leasing Available,1605.88288622397,161175.788189303
43,All Minerals,34.248961775882,34.248961775882,Alt B Underground Coal Leasing Available,1492.72561017643,138600.63092326
44,All Minerals,39.2594442890622,39.2594442890622,Alt B Underground Coal Leasing Available,1749.13269460575,158877.334261046
45,All Minerals,536.641565932226,536.641565932226,Alt B Underground Coal Leasing Available,15388.4225197057,2171711.36761962
46,All Minerals,440.133746130577,440.133746130577,Alt B Underground Coal Leasing Available,13403.9083715961,1781158.0772435
47,All Minerals,7212.5766226415,7212.5766226415,Alt B Underground Coal Leasing Available,83276.0413589498,29188262.0273888
48,All Minerals,39.7903422935537,39.7903422935537,Alt B Underground Coal Leasing Available,1605.15541793652,161025.802260162
