OBJECTID,MGMT_AREA,MGMT_PLAN,AREA_DESIG,SEAS_REST_DATE,SEAS_CLOS_REASON,COMMENTS,NEPA_Num,ADM_UNIT_CODE,created_date,last_edited_date,Shape__Area,Shape__Length,GlobalID
1,Fruita Slopes (include portion of North Fruita Desert SRMA),2015 Grand Junction RMP,Closed to motorized and mechanized,December 1 - May 1,Wildlife/CPW,Includes the northern portion of the North Fruita Desert SRMA,,COG01000,,2022/02/09 22:22:59+00,39160263.2476464,49368.5406779606,{B8D303BB-F9B0-4488-A3C8-69FC8320E929}
2,Blue Mesa,2015 Grand Junction RMP,Closed to motorized and mechanized,December 1 - May 1,Wildlife/CDOW,December 1 - May 1,,COG01000,,2022/02/18 23:27:59+00,37616956.0874956,32546.3117646666,{B03F66B0-7A40-409E-B76A-809B7C3CDC18}
3,Upper Sawmill Mesa,2017 Dominguez Escalante NCA RMP,Closed to motorized and mechanized,December 1 - April 30,Wildlife,"Protect big game winter concentration areas, December 1 - April 30",,COG03000,2021/04/14 14:17:06+00,2021/06/22 22:08:04+00,57501649.9617865,67020.9274522708,{64168477-4E6B-467A-9BF5-8A14C72A4A3F}
4,Sowbelly,2017 Dominguez Escalante NCA RMP,Closed to motorized and mechanized,December 1 - April 30,Wildlife,"Protect big game winter concentration areas, December 1 - April 30",,COG03000,2021/04/14 14:17:06+00,2021/06/22 22:08:04+00,38599900.0193345,48386.2456358658,{7A3F6946-7FA0-4636-8C81-73F6A75D37D4}
5,Wagon Park,2017 Dominguez Escalante NCA RMP,Closed to motorized and mechanized,December 1 - April 30,Wildlife,"Protect big game winter concentration areas, December 1 - April 30",,COG03000,2021/04/14 14:17:06+00,2021/06/22 22:08:04+00,48212124.5242612,56123.1938750338,{77938CC2-5BB4-4670-9AF7-C71515A8D0E9}
6,Gibbler Gulch,2017 Dominguez Escalante NCA RMP,Closed to motorized and mechanized,December 1 - April 30,Wildlife,"Protect big game winter concentration areas, December 1 - April 30",,COG03000,2021/04/14 14:17:06+00,2021/06/22 22:08:04+00,61364966.6326678,54035.9938354645,{DE825545-5755-493B-9D16-33E7AD69559C}
7,Dry Mesa,2017 Dominguez Escalante NCA RMP,Closed to motorized and mechanized,December 1 - April 30,Wildlife,"Protect big game winter concentration areas, December 1 - April 30",,COG03000,2021/04/14 14:17:06+00,2021/06/22 22:08:04+00,50386236.7059427,52870.7012502608,{68AC0404-0A0A-4C6E-B4B8-C9C7ED3DCB40}
9,Demaree,2015 Grand Junction RMP,Closed to motorized and mechanized,December 1 - May 1,BLM,December 1 - May 1,,COG01000,2021/04/14 14:36:11+00,2022/02/18 23:28:56+00,20794880.971138,26164.1497087699,{84DA4809-2BBA-439E-B31A-CE9C5A2A96DD}
10,Post/Lapham Canyons,2015 Grand Junction RMP,Closed to motorized and mechanized,December 1 - May 1,Wildlife/CDOW,December 1 - May 1,,COG01000,2021/04/14 14:36:11+00,2022/02/18 23:27:05+00,115063958.698359,69462.0863033276,{60060562-10F3-49EC-AD65-6F35DD46036A}
11,Garvey Canyon,2015 Grand Junction RMP,Closed to motorized and mechanized,December 1 - May 1,Wildlife/CDOW,December 1 - May 1,,COG01000,2021/04/14 14:36:11+00,2022/02/18 23:28:33+00,59754020.4991114,47279.6430625395,{E2102D71-FEAE-4609-A0B7-AA0BF286E1A6}
12,Beehive,2015 Grand Junction RMP,Closed to motorized and mechanized,December 1 - May 1,Wildlife/CDOW,December 1 - May 1,,COG01000,2021/04/14 14:38:58+00,2022/02/18 23:28:32+00,10225463.7670302,20749.2011551827,{9B7C8717-0FB1-4370-B19E-86EB53F5EA1D}
13,Beehive,2015 Grand Junction RMP,Closed to motorized and mechanized,December 1 - May 1,Wildlife/CDOW,December 1 - May 1,,COG01000,2021/04/14 14:38:58+00,2022/02/18 23:28:31+00,6159506.92745939,17077.2481793526,{8242C9C8-377F-4371-BA70-5C1DC5842428}
14,Grand Mesa Slopes,2015 Grand Junction RMP,Closed to motorized and mechanized,December 1 - May 1,Wildlife/CDOW,December 1 - May 1,,COG01000,2021/04/14 14:40:31+00,2022/02/18 23:28:31+00,34621979.6309071,40136.8815460378,{5D542549-1754-41DE-AC30-E9442DF14A27}
15,Indian Point,2015 Grand Junction RMP,Closed to motorized and mechanized,December 1 - May 1,Wildlife/CDOW,December 1 - May 1,,COG01000,2021/04/14 14:40:31+00,2022/02/18 23:28:29+00,23755459.6593649,27962.910497605,{6036E55F-5026-4E6F-81F3-A7414D17E8F1}
16,Coal Canyon,2015 Grand Junction RMP,Closed to motorized and mechanized,December 1 - May 1,Corridors,December 1 - May 1,,COG01000,2021/04/14 14:40:31+00,2022/11/09 17:51:11+00,8873307.69735707,31777.4902810529,{7A53FAA8-DCAB-4FB7-AAC8-B92A148A7D20}
17,Chalk Mountain,2015 Grand Junction RMP,Closed to motorized and mechanized,December 1 - May 1,Wildlife/CDOW,December 1 - May 1,,COG01000,2021/04/14 14:40:31+00,2022/02/18 23:28:23+00,29317429.6041352,54998.6939463391,{B1686749-4CD0-498E-8E1E-36CBB25D085A}
18,Rapid Creek,2015 Grand Junction RMP,Closed to motorized and mechanized,December 1 - May 1,Wildlife/CPW,Open in big game season,,COG01000,2021/04/14 14:40:31+00,2021/04/14 14:45:28+00,36671797.981754,49884.3394353247,{69E20D34-2281-4358-ABA9-94688EF7851F}
19,Sutey,2015 Colorado River Valley RMP,Closed to all uses,December 1 - April 15,Wildlife,Protect wintering wildlife,,COG02000,2021/05/20 19:59:26+00,2021/05/24 14:35:12+00,2243344.66359494,7631.27250461496,{9FA85F49-C4C4-49EF-B298-85FF6792E3D7}
26,Red Can/Hell'S Pocket,2015 Colorado River Valley RMP,Closed to motorized and mechanized,January 16 - April 15,Wildlife,Protect wintering wildlife,,COG02000,2021/05/20 20:14:16+00,2021/12/14 18:22:58+00,38546106.4588321,54545.0315871571,{3060826D-F622-48F8-AA53-EE2CB96CD643}
27,Greenhorn/Cottonwood,2015 Colorado River Valley RMP,Closed to motorized and mechanized,January 16 - April 15,Wildlife,Protect wintering wildlife,,COG02000,2021/05/20 20:14:16+00,2021/05/24 14:35:12+00,47641793.0686707,40351.4287563109,{0FC3746C-B1F8-4A58-9E5B-21B82F5EC69B}
28,Hardscrabble,2015 Colorado River Valley RMP,Closed to motorized and mechanized,December 1 - April 15,Wildlife,Protect wintering wildlife,,COG02000,2021/05/20 20:14:16+00,2021/12/14 18:32:11+00,99353317.0948271,66406.2701550955,{D87476DD-506C-45F1-95D6-6693C2989335}
29,Winterridge/Pisgah,2015 Colorado River Valley RMP,Closed to motorized and mechanized,December 1 - April 15,Wildlife,Protect wintering wildlife,,COG02000,2021/05/20 20:16:59+00,2021/05/24 14:35:12+00,135535524.630561,137805.360425511,{FF1B35BC-CA5D-4A5A-94BE-4ACDD00A5686}
30,The Crown,2015 Colorado River Valley RMP,Closed to motorized and mechanized,December 1 - April 15,Wildlife,Protect wintering wildlife,,COG02000,2021/05/20 20:16:59+00,2021/05/24 14:35:12+00,37054253.6816178,39221.5358301964,{72EF2779-7048-471C-BF29-ECE3147B16F3}
31,Light Hill,2015 Colorado River Valley RMP,Closed to motorized and mechanized,December 1 - April 15,Wildlife,Protect wintering wildlife,,COG02000,2021/05/20 20:16:59+00,2021/05/24 14:35:12+00,15365296.3548872,25349.0796962213,{164A7F38-43DE-48A3-BB89-B61D79D64B0E}
32,Red Hill,2015 Colorado River Valley RMP,Closed to motorized and mechanized,December 1 - April 15,Wildlife,Protect wintering wildlife,,COG02000,2021/05/20 20:16:59+00,2021/05/24 14:35:12+00,10702498.6173492,29853.6038611889,{3CE033B9-4688-48B9-812C-11D90892EA9C}
33,Thompson Creek/Holgate,2015 Colorado River Valley RMP,Closed to motorized and mechanized,December 1 - April 15,Wildlife,Protect wintering wildlife,,COG02000,2021/05/20 20:16:59+00,2021/05/24 14:35:12+00,38482138.826238,41749.1814914773,{3A70C637-6660-4466-8427-6F6D3E56918C}
34,Williams Hill,2015 Colorado River Valley RMP,Closed to motorized and mechanized,December 1 - April 15,Wildlife,Protect wintering wildlife,,COG02000,2021/05/20 20:16:59+00,2021/05/24 14:35:12+00,6190600.4203303,15574.407736191,{F07D1509-6AE9-471E-B960-D69331F12F53}
35,Boiler/ East Elk Creek,2015 Colorado River Valley RMP,Closed to motorized and mechanized,December 1 - April 15,Wildlife,Protect wintering wildlife,,COG02000,2021/05/20 20:16:59+00,2021/05/24 14:35:12+00,17864478.469857,30930.0731080521,{7D67ED5C-0006-4635-80B9-3CA384BA9732}
36,Fisher Creek,2015 Colorado River Valley RMP,Closed to motorized and mechanized,December 1 - April 15,Wildlife,Protect wintering wildlife,,COG02000,2021/05/20 20:16:59+00,2021/05/24 14:35:12+00,11394567.734026,27704.2555384896,{4CF21293-1F8A-4122-84EF-176580544E36}
37,East Eagle,2015 Colorado River Valley RMP,Closed to motorized and mechanized,December 1 - April 15,Wildlife,Protect wintering wildlife,,COG02000,2021/05/20 20:16:59+00,2021/05/24 14:35:12+00,20201001.0257164,31741.2833392663,{C956C96C-1457-413D-A513-E9E7E88EF552}
38,Basalt Mountain Area,2015 Colorado River Valley RMP,Closed to motorized and mechanized,December 1 - April 15,Wildlife,Protect wintering wildlife,,COG02000,2021/05/20 20:16:59+00,2021/05/24 14:35:12+00,5183770.6653149,12039.7211778536,{F1320A46-8C40-4487-9818-D577658351BD}
