FID,OBJECTID,HMA_NAME,HMA_ID,ADMIN_ST,ADM_UNIT_C,ADMIN_AGCY,HERD_TYPE,GIS_ACRES,ROD_DT,BLM_ACRES,LUP_ID,last_edi_1,SHAPE_Length,SHAPE_Area
1,407,Rock Creek,NV0103,NV,NVE02000,BLM,HORSE,121434.21765971,2003/01/01 00:00:00+00,122084.52929384,LUPA001611,2018/02/28 00:00:00+00,143175.878994656,491426843.594203
2,410,Little Humboldt,NV0102,NV,NVE02000,BLM,HORSE,17152.18630063,2003/01/01 00:00:00+00,17252.10542266,LUPA001611,2017/08/25 00:00:00+00,40059.4752969565,69412435.4691725
3,412,Granite Range,NV0221,NV,NVW03000,BLM,HORSE,104991.43030656,2015/05/21 00:00:00+00,104991.43030656,LUPA001620,2016/09/02 00:00:00+00,176126.7551813,420081484.28326
4,418,Tobin Range,NV0231,NV,NVW01000,BLM,HORSE,199723.44368893,2015/05/21 00:00:00+00,199723.44368893,LUPA001620,2016/09/02 00:00:00+00,198535.613599544,802236943.424019
5,423,Blue Wing Mountains,NV0217,NV,NVW01000,BLM,BOTH,18044.69218271,2015/05/21 00:00:00+00,18044.69218271,LUPA001620,2016/09/02 00:00:00+00,52928.6826377462,72253607.7029144
6,425,South Shoshone,NV0601,NV,NVB01000,BLM,HORSE,133952.64499488,1986/02/26 00:00:00+00,133952.64499488,LUPA001610,2015/08/19 00:00:00+00,121423.85606912,538608397.425805
7,426,Diamond Hills North,NV0104,NV,NVE02000,BLM,HORSE,71564.50731931,2003/01/01 00:00:00+00,71851.71143908,LUPA001611,2018/02/28 00:00:00+00,78699.821734964,289611286.000032
8,428,North Stillwater,NV0229,NV,NVW01000,BLM,HORSE,180444.69257276,2015/05/21 00:00:00+00,180444.69257276,LUPA001620,2016/09/02 00:00:00+00,161291.273138295,724092873.925376
9,429,Flanigan,NV0301,NV,NVC02000,BLM,HORSE,17362.1248618,2001/05/09 00:00:00+00,17362.1248618,LUPA001614,2015/08/19 00:00:00+00,40725.8590212189,69392362.0115592
10,430,Bald Mountain,NV0603,NV,NVB01000,BLM,HORSE,140711.94835589,1986/02/26 00:00:00+00,140711.94835589,LUPA001610,2015/08/19 00:00:00+00,96882.0717236473,566056046.332465
11,431,Augusta Mountains,NV0311,NV,NVC01000,BLM,HORSE,178929.91938995,2001/05/09 00:00:00+00,178929.91938995,LUPA001614,2015/08/19 00:00:00+00,148942.469445538,718604330.951115
12,433,Rocky Hills,NV0605,NV,NVB01000,BLM,HORSE,84432.31320056,1986/02/26 00:00:00+00,84432.31320056,LUPA001610,2015/08/19 00:00:00+00,79019.9840427772,339886900.471483
13,434,New Pass-Ravenswood,NV0602,NV,NVB01000,BLM,HORSE,287948.4199666,1986/02/26 00:00:00+00,287948.4199666,LUPA001610,2015/08/19 00:00:00+00,170354.915163681,1156912772.23973
14,435,Dogskin Mountains,NV0302,NV,NVC02000,BLM,HORSE,6605.17711166,2001/05/09 00:00:00+00,6605.17711166,LUPA001614,2015/08/19 00:00:00+00,24338.8236922351,26398511.50638
15,436,Callaghan,NV0604,NV,NVB01000,BLM,HORSE,157148.20179994,1986/02/26 00:00:00+00,157148.20179994,LUPA001610,2015/08/19 00:00:00+00,121066.177057409,631942225.181765
16,437,Granite Peak,NV0303,NV,NVC02000,BLM,HORSE,4052.75218864,2001/05/09 00:00:00+00,4052.75218864,LUPA001614,2015/08/19 00:00:00+00,15073.8378912083,16193238.7740889
