OBJECTID,HMA_NAME,HMA_ID,ADMIN_ST,ADM_UNIT_CD,ADMIN_AGCY,HERD_TYPE,OBJECTID_1,HMA_NM,ADMIN_ST_1,HMA_IDENTIFIER,TRANSFER_ACRES,BLM_ACRES,TOTAL_ACRES,HORSE_AML_LOW,HORSE_AML_HIGH,EST_HORSE_POP,PERCENT_AML_HORSE_SYBL_ONLY,BURRO_AML_LOW,BURRO_AML_HIGH,EST_BURRO_POP,POP_INVENTORY_DT,LAST_GATHER_DT,MOST_RECENT_AML_YR,MESSAGE,WEBSITE_URL,PERCENT_AML_HORSE_MAPTIP,PERCENT_AML_BURRO_MAPTIP,PERCENT_AML_BURRO_SYBL_ONLY,SHAPE_Length,SHAPE_Area
1,Adobe Town,WY0009,WY,WYD03000,BLM,HORSE,,"ADOBE TOWN (from WY0042, WY0044, WY0001, & WY0038) (3, 6)",,WY0009,,444244,478875,610,800,1030,128.75,0,0,0,2015/04/01 00:00:00+00,2014/10/01 00:00:00+00,2015,,http://www.blm.gov/wy/st/en/field_offices/Rawlins/wh.html,129%,,,2.76133540072118,0.208045479182121
2,Alamo,AZ0005,AZ,AZC03000,BLM,BURRO,,ALAMO  ,,AZ0005,,189084,189379,0,0,0,,128,160,625,2012/04/01 00:00:00+00,2003/06/01 00:00:00+00,2003,,"http://www.blm.gov/az/st/en/prog/whb/hmas/alamo.html
http://www.blm.gov/az/st/en/prog/whb/hmas/alamo.html
http://www.blm.gov/az/st/en/prog/whb/hmas/alamo.html",,391%,390.625,2.69505234310946,0.0748928600388085
3,Amargosa Valley,NV0511,NV,NVS03000,BLM,HORSE,,AMARGOSA VALLEY,,NV0511,0,8124,8819,0,0,0,,0,0,0,1990/04/01 00:00:00+00,1989/10/01 00:00:00+00,2016,,Webpage does not exist at this time.,,,,0.400022916784896,0.00362918802153198
4,Antelope,NV0401,NV,NVL02000,BLM,HORSE,,ANTELOPE ,,NV0401,0,327385,399761,150,324,861,265.740740740741,0,0,0,2015/03/01 00:00:00+00,2015/11/01 00:00:00+00,2012,,Webpage does not exist at this time.,266%,,,2.9717042629686,0.139632765434923
5,Antelope Hills,WY0031,WY,WYR05000,BLM,HORSE,,ANTELOPE HILLS (from WY0010) (6),,WY0031,,150782,158567,60,82,250,304.878048780488,0,0,0,2015/04/01 00:00:00+00,2011/10/01 00:00:00+00,2012,,http://www.blm.gov/wy/st/en/field_offices/Lander/wh.html,305%,,,1.27908003505094,0.06998821640574
6,Antelope Valley,NV0107,NV,NVE03000,BLM,HORSE,,ANTELOPE VALLEY ,,NV0107,0,496167,504714,155,259,1100,424.710424710425,0,0,0,2016/02/01 00:00:00+00,2012/10/01 00:00:00+00,2005,,http://www.blm.gov/nv/st/en/fo/elko_field_office/blm_programs/wild_horse_and_burro/hmas/antelope_hma.html,425%,,,2.43984534751639,0.216104060941158
7,Ash Meadows,NV0509,NV,NVS03000,BLM,HORSE,,ASH MEADOWS,,NV0509,0,96448,115143,0,0,0,,0,0,0,1993/12/01 00:00:00+00,1993/12/01 00:00:00+00,2016,,Webpage does not exist at this time.,,,,0.923312717953976,0.0471165300653437
8,Augusta Mountains,NV0311,NV,NVC01000,BLM,HORSE,,AUGUSTA MOUNTAINS ,,NV0311,0,176208,177570,185,308,475,154.220779220779,0,0,0,2015/01/01 00:00:00+00,2011/02/01 00:00:00+00,2011,,http://www.blm.gov/nv/st/en/fo/battle_mountain_field/blm_programs/wild_horse_and_burro/battle_mountain_field/augusta_mountains.html,154%,,,1.56270711304846,0.0758552537330223
9,Bald Mountain,NV0603,NV,NVB01000,BLM,HORSE,,BALD MOUNTAIN,,NV0603,0,139693,139875,129,215,330,153.488372093023,0,0,0,2015/09/01 00:00:00+00,2010/12/01 00:00:00+00,2013,,http://www.blm.gov/nv/st/en/fo/battle_mountain_field/blm_programs/wild_horse_and_burro/battle_mountain_field/bald_mountain_hma.html,153%,,,0.984449333645887,0.0597732619641218
10,Beatys Butte,OR0002,OR,ORL00000,BLM,HORSE,,BEATYS BUTTE,,OR0002,0,399725,438140,100,250,100,50,0,0,0,2015/11/01 00:00:00+00,2015/12/01 00:00:00+00,2016,,http://www.blm.gov/or/resources/whb/herd-manage.php,Within AML,,,2.23125118782554,0.193410493114158
11,Bible Spring,UT0440,UT,UTC01000,BLM,Horse,,"BIBLE SPRING (3, 12)",,UT0440,0,56588,61862,30,60,157,261.666666666667,0,0,0,2015/02/01 00:00:00+00,2014/09/01 00:00:00+00,2010,,Webpage does not exist at this time.,262%,,,0.643362529220107,0.0256895066739018
12,Big Sandy,AZ0004,AZ,AZC01000,BLM,BURRO,,BIG SANDY ,,AZ0004,,192142,243889,0,0,0,,111,139,1201,2012/04/01 00:00:00+00,2013/08/01 00:00:00+00,2003,,http://www.blm.gov/az/st/en/prog/whb/hmas/big_sandy.html,,864%,864.028776978417,3.17051414836676,0.096867848150954
13,Bitner,CA0267,CA,CAN07000,BLM,HORSE,,BITNER ,,CA0267,0,47766,53748,15,25,50,200,0,0,0,2014/06/01 00:00:00+00,2011/10/01 00:00:00+00,2014,,http://www.blm.gov/ca/st/en/prog/wild_horse_and_burro/hma-main/HMA-CA-267.html,200%,,,0.701939681921683,0.0235143122472363
14,Black Mountain,AZ0003,AZ,AZC01000,BLM,BURRO,,BLACK MOUNTAIN,,AZ0003,,543307,773136,0,0,0,,382,478,1551,2014/04/01 00:00:00+00,2015/09/01 00:00:00+00,2001,,http://www.blm.gov/az/st/en/prog/whb/hmas/blk_mtn.html,,324%,324.476987447699,3.56898061919532,0.309579742346019
