OBJECTID,DEF_FEATURE,COORD_SRC,ACCURACY_FT,SHAPE_Length
1,ROAD_OFFSET,SOURCEL,,0.0306553596900493
2,ROAD_OFFSET,SOURCEL,,0.00174773094858299
3,ROAD_OFFSET,SOURCEL,,5.06966257627876e-05
4,ROAD_OFFSET,SOURCEL,,0.00466998323809484
5,ROAD_OFFSET,SOURCEL,,0.0250993330795873
6,ROAD_OFFSET,SOURCEL,,0.0338548197336679
7,ROAD_OFFSET,SOURCEL,,0.00542460923514146
8,ROAD_OFFSET,SOURCEL,,1.64809279016532e-05
9,ROAD_OFFSET,IMG,40,0.0032525662154124
10,ROAD_OFFSET,SOURCEL,40,0.00402603557774577
11,ROAD_OFFSET,SOURCEL,40,0.00055759348218046
12,SUBDIVISION,CADNSDI,0,0.00987473783626412
13,POWERLINE,SOURCEL,0,0.00138444117632113
14,POWERLINE,SOURCEL,0,0.0380847057745355
15,POWERLINE,SOURCEL,0,0.00302593013886256
16,POWERLINE,SOURCEL,0,0.00277628942062004
17,ROAD_OFFSET,SOURCEL,40,0.017072743209765
18,RIDGE,MAP,100,0.00318537634781945
19,ROAD_OFFSET,SOURCEL,40,0.00285557105696158
20,POWERLINE,SOURCEL,0,0.0233747822814089
21,ROAD_OFFSET,SOURCEL,0,0.0157080663353134
22,PARKING_AREA,DOQ,20,0.00358159093017592
23,FENCE,GPS,3,0.00415762862068315
24,POWERLINE,SOURCEL,0,0.000233824240917719
25,POWERLINE,SOURCEL,0,0.00289406837875582
26,POWERLINE,SOURCEL,0,0.00519655901335761
27,ROAD_OFFSET,SOURCEL,40,0.000773632910396797
28,ROAD_OFFSET,SOURCEL,40,0.000513209697374542
29,ROAD_OFFSET,SOURCEL,40,0.00334592981375248
30,UNKNOWN,UNK,,0.125439208395854
31,ROAD_OFFSET,SOURCEL,40,0.0259540076915873
32,POWERLINE,SOURCEL,0,0.000705169903527376
33,ROAD_OFFSET,SOURCEL,40,0.00149312137479642
34,ROAD_OFFSET,SOURCEL,40,0.00522360968035157
35,POWERLINE,SOURCEL,0,0.00575422251701285
36,ROAD_OFFSET,SOURCEL,0,0.00428217885811253
37,ROAD_OFFSET,SOURCEL,,0.0246860714528654
38,ROAD_OFFSET,SOURCEL,,0.0176411374247146
39,ROAD_OFFSET,SOURCEL,,0.000198210031989123
40,ROAD_OFFSET,SOURCEL,,0.00381484457568095
41,ROAD_OFFSET,SOURCEL,,0.0235641340648709
42,ROAD_OFFSET,SOURCEL,,0.0249575867916371
43,SUBDIVISION,SOURCEL,,0.00713021734866974
44,ROAD_OFFSET,SOURCEL,,0.0161551920293862
45,SUBDIVISION,SOURCEL,,0.00114922683513924
46,ROAD_OFFSET,SOURCEL,,0.00157701277925476
47,ROAD_OFFSET,SOURCEL,40,0.00194414467725019
48,ROAD_OFFSET,SOURCEL,40,0.0134175396753844
49,ROAD_OFFSET,SOURCEL,40,0.000597046525883775
50,ROAD_OFFSET,SOURCEL,40,0.0034384004677475
51,ROAD_OFFSET,SOURCEL,40,0.0020409234085648
52,POWERLINE,SOURCEL,0,0.00113639324831165
53,SUBDIVISION,SOURCEL,,0.0156357939953505
54,ROAD_OFFSET,SOURCEL,,0.0152094719307643
55,ROAD_OFFSET,SOURCEL,,0.00778033169960055
56,ROAD_OFFSET,SOURCEL,,0.000488458215818293
57,ROAD_OFFSET,SOURCEL,,0.0399431685764385
58,ROAD_OFFSET,SOURCEL,0,0.0273560470132368
59,ROAD_OFFSET,SOURCEL,0,0.010806669861091
60,SUBDIVISION,CADNSDI,0,0.00549970771194434
61,ROAD_OFFSET,SOURCEL,0,0.00275216041923667
62,ROAD_OFFSET,SOURCEL,0,0.00270939017367121
63,SUBDIVISION,CADNSDI,0,0.000244244055046462
64,SUBDIVISION,CADNSDI,0,0.262349254639193
65,SUBDIVISION,CADNSDI,0,0.0487952023380762
66,SUBDIVISION,CADNSDI,0,0.0683078139740432
67,SUBDIVISION,CADNSDI,0,0.0099264958032912
68,SUBDIVISION,CADNSDI,0,0.0850038408884136
69,SUBDIVISION,CADNSDI,0,0.0387521090822585
70,SUBDIVISION,CADNSDI,0,0.00120824033663747
71,SUBDIVISION,CADNSDI,0,0.00180912844295442
72,SUBDIVISION,CADNSDI,0,0.00180912202233424
73,SUBDIVISION,CADNSDI,0,0.00424431161854151
74,GRAZING_BOUNDARY,SOURCEL,0,0.0451071196396337
75,SUBDIVISION,CADNSDI,0,0.0530367009443682
76,SUBDIVISION,CADNSDI,0,0.0154425931215583
77,GRAZING_BOUNDARY,SOURCEL,0,0.0105918476633041
78,SUBDIVISION,CADNSDI,0,0.0146447972407431
79,ROAD_OFFSET,SOURCEL,0,0.00984226223331003
80,FENCE,MAP,40,0.00111146175679448
81,ROAD_OFFSET,SOURCEL,40,0.00610266541039287
82,ROAD_OFFSET,SOURCEL,40,0.00042071754211919
83,HU,SOURCEL,40,0.00760016556608326
84,ROAD_OFFSET,SOURCEL,40,0.00279787841749695
85,ROAD_OFFSET,SOURCEL,40,0.0025602293699198
86,ROAD_OFFSET,SOURCEL,40,0.00544533215476957
87,ROAD_OFFSET,SOURCEL,40,0.00915434349772029
88,ROAD_OFFSET,SOURCEL,40,0.00200730756504358
89,SUBDIVISION,GCD,0,0.00195629373679545
90,ROAD_OFFSET,SOURCEL,40,0.0229642602018339
91,POWERLINE,SOURCEL,0,0.0236904827262569
92,ROAD_OFFSET,SOURCEL,40,0.0078230893910431
93,ROAD_OFFSET,SOURCEL,40,0.00756380311413405
94,UNKNOWN,UNK,,0.00363019534127031
95,SUBDIVISION,UNK,,0.00818281974362529
96,UNKNOWN,UNK,,0.00554868069723195
97,SUBDIVISION,UNK,,0.0545410000472855
98,SUBDIVISION,UNK,,0.0022542665561193
99,UNKNOWN,UNK,,0.00428614628976327
100,SUBDIVISION,UNK,,0.0120153794252077
101,SUBDIVISION,UNK,,0.0091408202828754
102,SUBDIVISION,UNK,,0.00485465252586613
103,UNKNOWN,UNK,,0.0313716674800918
104,UNKNOWN,UNK,,0.0314929304972818
105,UNKNOWN,UNK,,0.160916284773454
106,SUBDIVISION,UNK,,0.0779290887110996
107,SUBDIVISION,SOURCEL,,0.00397164973760892
108,ROAD_OFFSET,SOURCEL,,0.00190901171230662
109,SUBDIVISION,SOURCEL,,0.00265966758465874
110,SUBDIVISION,SOURCEL,,0.00745902117830719
111,JURISDICTION,SOURCEL,0,0.0297007355918822
112,SUBDIVISION,SOURCEL,,0.0029119810309384
113,ROAD_OFFSET,SOURCEL,40,0.00419343695197223
114,ROAD_OFFSET,SOURCEL,40,0.00834787510231974
115,ROAD_OFFSET,SOURCEL,40,0.0208002772168144
116,SUBDIVISION,GCD,0,0.0367941063816517
117,ROAD_OFFSET,SOURCEL,40,0.00819318708249567
118,SUBDIVISION,GCD,0,0.0936817792029551
119,RIDGE,DRG,40,0.00484316202373524
120,SUBDIVISION,GCD,0,0.0880754425736606
121,SUBDIVISION,GCD,0,0.0117864452408208
122,POINT-TO-POINT,DRG,40,0.0059607242475837
123,SUBDIVISION,GPS,0,0.00954866508739028
124,SUBDIVISION,GCD,0,0.0435929349806831
125,SUBDIVISION,GCD,0,0.0349236112637419
126,SUBDIVISION,GCD,0,0.0660794377158259
127,SUBDIVISION,GCD,0,0.0452237827593348
128,SUBDIVISION,GCD,0,0.0152435749315501
129,SUBDIVISION,GCD,0,0.00173820542698816
130,SUBDIVISION,GCD,0,4.2938248196482e-05
131,SUBDIVISION,GCD,0,0.00116502886115458
132,ROAD_OFFSET,SOURCEL,40,0.0121125629251035
133,ROAD_OFFSET,SOURCEL,40,0.000258741434946401
134,ROAD_OFFSET,SOURCEL,40,0.00869970499486229
135,POINT-TO-POINT,MAP,40,0.00173598414834547
136,POWERLINE,SOURCEL,0,0.000292348776767578
137,ROAD_OFFSET,SOURCEL,40,0.00320590885006432
138,ROAD_OFFSET,SOURCEL,40,0.0292127066045283
139,POINT-TO-POINT,MAP,40,0.00382257189333837
140,POWERLINE,SOURCEL,0,0.0031398927330551
141,SUBDIVISION,CADNSDI,0,0.00784338490827791
142,ROAD_OFFSET,SOURCEL,0,0.0179247532649555
143,SUBDIVISION,CADNSDI,0,0.133068072344273
144,POINT-TO-POINT,SRV,0,0.0315127427596616
145,SUBDIVISION,CADNSDI,0,0.359958781600433
146,SUBDIVISION,CADNSDI,0,0.0106953991915101
147,SUBDIVISION,CADNSDI,0,0.00607054878778882
148,MINERAL_DISTURBANCE,DOQ,20,0.0100326411808359
149,FENCE,GPS,3,0.00313294065724163
150,ROAD_OFFSET,SOURCEL,0,0.00202830170520306
151,ROAD_OFFSET,DLG,0,0.00638300919819136
152,SUBDIVISION,CADNSDI,0,0.0204471851396353
153,SUBDIVISION,CADNSDI,0,0.0188393588503401
154,ROAD_OFFSET,SOURCEL,0,0.018582888375799
155,SUBDIVISION,CADNSDI,0,0.00500824746345157
156,ROAD_OFFSET,SOURCEL,0,0.0478851093489807
157,SUBDIVISION,CADNSDI,0,0.00324039674319818
158,ROAD_OFFSET,SOURCEL,0,0.0149450984713695
159,SUBDIVISION,CADNSDI,0,0.00855326223845263
160,ROAD_OFFSET,SOURCEL,0,0.0109355143824103
161,ROAD_OFFSET,SOURCEL,0,0.0147059245197831
162,ROAD_OFFSET,SOURCEL,0,0.101602617277306
163,ROAD_OFFSET,SOURCEL,0,0.0165671911671585
164,SUBDIVISION,CADNSDI,0,0.0990746138847751
165,SUBDIVISION,CADNSDI,0,0.0014446313489102
166,SUBDIVISION,CADNSDI,0,0.0552925668568819
167,SUBDIVISION,CADNSDI,0,0.215902470964801
168,SUBDIVISION,CADNSDI,0,0.026794755178376
169,SUBDIVISION,CADNSDI,0,0.00312544860661176
170,PARKING_AREA,IMG,0,0.000633837094500566
171,SUBDIVISION,CADNSDI,0,0.0198850122715906
172,SUBDIVISION,CADNSDI,0,0.0264320095031403
173,RIM,DRG,0,0.016544051311041
174,POINT-TO-POINT,UNK,,0.00548935702732992
175,POINT-TO-POINT,UNK,,0.00777557363604645
176,SUBDIVISION,CADNSDI,0,0.0450987533142089
177,POINT-TO-POINT,CADNSDI,0,0.0167353562653001
178,RIM,SOURCEL,0,0.149629650781065
179,SUBDIVISION,CADNSDI,0,0.00757661145722474
180,RIM,DEM,0,0.0373610880769502
181,SUBDIVISION,CADNSDI,0,0.202374390240505
182,POWERLINE,SOURCEL,40,0.0332421286867036
183,ROAD_OFFSET,SOURCEL,0,0.00292003895555882
184,ROAD_OFFSET,SOURCEL,0,0.00061469176113222
185,POWERLINE,SOURCEL,40,0.00283027131961104
186,ROAD_OFFSET,SOURCEL,0,0.0114388050945275
187,SUBDIVISION,CADNSDI,0,0.0201192147805908
188,SUBDIVISION,CADNSDI,0,0.00247806238627222
189,POINT-TO-POINT,UNK,0,0.00289627298857219
190,RIM,DRG,0,0.0375258544962586
191,RIM,DRG,0,0.0432957863368817
192,SUBDIVISION,CADNSDI,0,0.00957042303855468
193,SUBDIVISION,CADNSDI,0,0.0103775668592049
194,SUBDIVISION,CADNSDI,0,0.0267413112450414
195,RIM,DRG,0,0.0136373767755015
196,POINT-TO-POINT,UNK,0,0.00623901743388295
197,RIM,DRG,0,0.0124085182131677
198,RIM,DRG,0,0.0064298719627209
199,SUBDIVISION,CADNSDI,0,0.0113818263061659
200,ROAD_OFFSET,SOURCEL,0,0.0788793256080903
201,POINT-TO-POINT,UNK,-1,0.00707096535697557
202,SUBDIVISION,CADNSDI,0,0.0629234620830302
203,SUBDIVISION,CADNSDI,0,0.00815441966853399
204,SUBDIVISION,CADNSDI,0,0.0435226656415022
205,ROAD_OFFSET,SOURCEL,0,0.00503374970153938
206,ROAD_OFFSET,SOURCEL,0,0.0010218047045968
207,SUBDIVISION,CADNSDI,0,0.00612237442365901
208,ROAD_OFFSET,SOURCEL,0,0.0950139993478036
209,ROAD_OFFSET,SOURCEL,0,0.0412173974883924
210,SUBDIVISION,CADNSDI,0,0.0183067199020959
211,ROAD_OFFSET,SOURCEL,0,0.00874974813803354
212,POINT-TO-POINT,UNK,,0.00908733849717408
213,ROAD_OFFSET,SOURCEL,0,0.0376811649290827
214,SUBDIVISION,CADNSDI,0,0.0041385216388749
215,SUBDIVISION,CADNSDI,0,0.0414472682779049
216,JURISDICTION,SOURCEL,0,0.0174056283972763
217,ROAD_OFFSET,SOURCEL,0,0.00130546065245277
218,SUBDIVISION,CADNSDI,0,0.0122468174839208
219,RIM,DRG,0,0.00194573815540909
220,SUBDIVISION,CADNSDI,0,0.0170098344656083
221,SUBDIVISION,CADNSDI,0,0.00978455348612176
222,SUBDIVISION,CADNSDI,0,0.0157974681485407
223,SUBDIVISION,CADNSDI,0,0.0132390783100016
224,SUBDIVISION,CADNSDI,0,0.0386717079758942
225,SUBDIVISION,CADNSDI,0,0.0153400211775542
226,SUBDIVISION,CADNSDI,0,0.00523692513549223
227,SUBDIVISION,CADNSDI,0,0.0351842928081097
228,SUBDIVISION,CADNSDI,0,0.0132737394687152
229,SUBDIVISION,CADNSDI,0,0.0508937588946796
230,SUBDIVISION,CADNSDI,0,0.0156867855110692
231,SUBDIVISION,CADNSDI,0,0.0169628608943532
232,SUBDIVISION,CADNSDI,0,0.0170319197061999
233,SUBDIVISION,CADNSDI,0,0.00180432165379915
234,SUBDIVISION,CADNSDI,0,0.0114046875772714
235,SUBDIVISION,CADNSDI,0,0.0132834584037725
236,SUBDIVISION,CADNSDI,0,0.0230167350742322
237,SUBDIVISION,CADNSDI,0,0.0133409227255506
238,SUBDIVISION,CADNSDI,0,0.00180927175292134
239,SUBDIVISION,CADNSDI,0,0.0115251934041962
240,SUBDIVISION,CADNSDI,0,0.00542776825990001
241,ROAD_OFFSET,SOURCEL,0,0.00574573252170114
242,POWERLINE,SOURCEL,40,0.00936874866793003
243,POWERLINE,SOURCEL,40,0.00436320463257372
244,ROAD_OFFSET,SOURCEL,0,0.0384767016575271
245,POWERLINE,SOURCEL,40,0.00196611577835292
246,ROAD_OFFSET,SOURCEL,0,0.0092723962123305
247,POWERLINE,SOURCEL,40,0.00699975957445796
248,ROAD_OFFSET,SOURCEL,0,0.0126392303123774
249,SUBDIVISION,CADNSDI,0,0.025809636368673
250,POINT-TO-POINT,SRV,0,0.0045517336989407
251,ROAD_OFFSET,SOURCEL,0,0.0606706758736894
252,SUBDIVISION,CADNSDI,0,0.00163235751561555
253,ROAD_OFFSET,SOURCEL,0,0.0176026814382065
254,ROAD_OFFSET,SOURCEL,0,0.242599671993101
255,ROAD_OFFSET,SOURCEL,0,0.000579580299970802
256,SUBDIVISION,CADNSDI,0,0.116060200481235
257,SUBDIVISION,CADNSDI,0,0.0108445842154082
258,ROAD_OFFSET,SOURCEL,0,0.01015325734852
259,SUBDIVISION,CADNSDI,3,0.0689920274336636
260,SUBDIVISION,CADNSDI,3,0.0210532679309558
261,SUBDIVISION,CADNSDI,3,0.00359207421311544
262,SUBDIVISION,CADNSDI,3,0.0251079899696492
263,SUBDIVISION,CADNSDI,3,0.00374797797814058
264,SUBDIVISION,CADNSDI,3,0.0125211964223404
265,SUBDIVISION,CADNSDI,3,0.00372815958329522
266,ROAD_OFFSET,SOURCEL,0,0.0416118527928911
267,ROAD_OFFSET,SOURCEL,0,0.00242236737096468
268,SUBDIVISION,CADNSDI,0,0.106369021320199
269,ROAD_OFFSET,SOURCEL,0,0.000579844717813402
270,SUBDIVISION,CADNSDI,0,0.00120483840926475
271,SUBDIVISION,CADNSDI,0,0.00243260972009778
272,ROAD_OFFSET,SOURCEL,0,0.00236338287774019
273,SUBDIVISION,CADNSDI,0,0.0137099945791892
274,RIGHT-OF-WAY,SOURCEL,0,0.0138344986956649
275,RIM,IMG,0,0.0235960923397347
276,WATERCOURSE_OFFSET,SOURCEL,0,0.0150383062463533
277,ROAD_OFFSET,SOURCEL,0,0.0296786656110818
278,SUBDIVISION,CADNSDI,0,0.0372630739751935
279,SUBDIVISION,SOURCEL,0,0.0535233995866561
280,SUBDIVISION,CADNSDI,0,0.0119041748785595
281,SUBDIVISION,CADNSDI,0,0.0117550804029835
282,POWERLINE,SOURCEL,0,0.0901655068291591
283,SUBDIVISION,CADNSDI,0,0.00726941343712035
284,FENCE,GPS,3,0.0020811921192585
285,ROAD_OFFSET,SOURCEL,0,0.0617842630830532
286,ROAD_OFFSET,SOURCEL,0,0.133329528820999
287,ROAD_OFFSET,DLG,0,0.031427159940639
288,SUBDIVISION,CADNSDI,0,0.0220545132029207
289,SUBDIVISION,CADNSDI,0,0.00542256586008085
290,SUBDIVISION,CADNSDI,0,0.00485259915632422
291,SUBDIVISION,CADNSDI,0,0.00180926247669609
292,SUBDIVISION,CADNSDI,0,0.0115130525219723
293,SUBDIVISION,CADNSDI,0,0.00723701616852095
294,SUBDIVISION,CADNSDI,0,0.0429796271544787
295,ROAD_OFFSET,SOURCEL,0,0.0254003855705364
296,ROAD_OFFSET,SOURCEL,0,0.0266183372645247
297,SUBDIVISION,CADNSDI,0,0.0131958693343015
298,SUBDIVISION,CADNSDI,0,0.0230192430766311
299,ROAD_OFFSET,SOURCEL,0,0.0435526705328301
300,SUBDIVISION,CADNSDI,0,0.0138318934286681
301,ROAD_OFFSET,SOURCEL,0,0.058069213823578
302,SUBDIVISION,CADNSDI,0,0.00657165696313097
303,ROAD_OFFSET,SOURCEL,0,0.15588771061567
304,ROAD_OFFSET,SOURCEL,0,0.194069169239144
305,SUBDIVISION,CADNSDI,0,0.000197541132527135
306,ROAD_OFFSET,SOURCEL,0,0.201256578022213
307,SUBDIVISION,CADNSDI,0,0.000165357822236571
308,SUBDIVISION,CADNSDI,0,0.000578424327747029
309,SUBDIVISION,CADNSDI,0,0.0130621006159624
310,SUBDIVISION,CADNSDI,0,0.00260486462887676
311,ROAD_OFFSET,SOURCEL,0,0.0259643789446297
312,ROAD_OFFSET,SOURCEL,0,0.0157005631476905
