OBJECTID,ONEDEGREE,SHAPE_Length,SHAPE_Area
1,41116,4,1
2,41117,4,1
3,41118,4,1
4,41119,4,1
5,41120,4,1
6,41121,4,1
7,41122,4,1
8,41123,4,1
9,41124,4,1
10,42116,4,1
11,42117,4,1
12,42118,4,1
13,42119,4,1
14,42120,4,1
15,42121,4,1
16,42122,4,1
17,42123,4,1
18,42124,4,1
19,43116,4,1
20,43117,4,1
21,43118,4,1
22,43119,4,1
23,43120,4,1
24,43121,4,1
25,43122,4,1
26,43123,4,1
27,43124,4,1
28,44116,4,1
29,44117,4,1
30,44118,4,1
31,44119,4,1
32,44120,4,1
33,44121,4,1
34,44122,4,1
35,44123,4,1
36,44124,4,1
37,45116,4,1
38,45117,4,1
39,45118,4,1
40,45119,4,1
41,45120,4,1
42,45121,4,1
43,45122,4,1
44,45123,4,1
45,45124,4,1
46,46116,4,1
47,46117,4,1
48,46118,4,1
49,46119,4,1
50,46120,4,1
51,46121,4,1
52,46122,4,1
53,46123,4,1
54,46124,4,1
55,47116,4,1
56,47117,4,1
57,47118,4,1
58,47119,4,1
59,47120,4,1
60,47121,4,1
61,47122,4,1
62,47123,4,1
63,47124,4,1
64,48116,4,1
65,48117,4,1
66,48118,4,1
67,48119,4,1
68,48120,4,1
69,48121,4,1
70,48122,4,1
71,48123,4,1
72,48124,4,1
73,49116,4,1
74,49117,4,1
75,49118,4,1
76,49119,4,1
77,49120,4,1
78,49121,4,1
79,49122,4,1
80,49123,4,1
81,49124,4,1
