OBJECTID,PMAID,GIS_AREA,GIS_LENGTH,GIS_EDT_DT,SPORTCOURT_O,NAME,SPORT_TYPE,COURT_ID,FACILITY_ID,FACILITY_NAME,COURT_SIZE,RESERVED_1,RESERVED_2,RESERVED_3,LOCATION_ID,AMWOID,GLOBALID,GIS_CREATOR,GIS_CRT_DT,GIS_EDITOR,SDQL,SHAPE_Length,SHAPE_Area
317,414,1243.15565443,144.4644936,2023/11/20 21:04:26+00,,,Basketball,,,,Half,,,,,SPCT-LKWPG-BB,{CDB48B40-2396-4599-AA61-8B3A7879DCF8},SeattleParks_SeattleCityGIS,2023/11/20 21:04:26+00,SeattleParks_SeattleCityGIS,QL-D3,144.381618325363,-1249.88597796038
318,350,1751.78578216,175.31438789,2023/11/20 21:04:26+00,,,Basketball,,,,Half,,,,,SPCT-CASPG-BB,{1C78CF80-60F0-4172-83F5-BA0A16A98468},SeattleParks_SeattleCityGIS,2023/11/20 21:04:26+00,SeattleParks_SeattleCityGIS,QL-D3,175.292081688175,-1757.93316857035
319,3894,791.1353637,110.93192664,2023/11/20 21:04:26+00,,,Basketball,,,,Half,,,,,SPCT-WEBPG-BB,{DFE0904D-4850-4F5A-8240-3F073F7EFB87},SeattleParks_SeattleCityGIS,2023/11/20 21:04:26+00,SeattleParks_SeattleCityGIS,QL-D3,110.853888795349,-788.002527677491
320,391,8022.22906032,369.77144015,2023/11/20 21:04:26+00,,,Basketball,,,,Full,,,,,SPCT-RAVPK-BB,{ED65D993-A453-4C76-AC2F-F65CC7A510FE},SeattleParks_SeattleCityGIS,2023/11/20 21:04:26+00,SeattleParks_SeattleCityGIS,QL-D3,369.771440138836,8022.19697102138
321,410,631.14758757,101.90642177,2023/11/20 21:04:26+00,,,Basketball,,,,Half,,,,,SPCT-GTPF-BB,{0C37384A-582A-486B-BEEB-88AAAB7E1FB4},SeattleParks_SeattleCityGIS,2023/11/20 21:04:26+00,SeattleParks_SeattleCityGIS,QL-D3,101.906421764187,631.145062935124
322,423,4302.36660452,271.48258871,2023/11/20 21:04:26+00,,,Basketball,,,,Full,,,,,SPCT-RAPF-BB,{FD4F0D66-606D-4A88-B4E1-827C28E4C0E5},SeattleParks_SeattleCityGIS,2023/11/20 21:04:26+00,SeattleParks_SeattleCityGIS,QL-D3,271.482588703266,4302.34939491638
323,307,2568.89584941,205.73995599,2023/11/20 21:04:26+00,,,Basketball,,,,Half,,,,,SPCT-GLKPK-BB,{ECE7036B-BF63-410F-9F6C-56A6BFF8FAF6},SeattleParks_SeattleCityGIS,2023/11/20 21:04:26+00,SeattleParks_SeattleCityGIS,QL-D3,205.733580322076,-2569.1430197027
324,397,4529.82736501,275.21971757,2023/11/20 21:04:26+00,,,Basketball,,,,Full,,,,,SPCT-JKPK-BB,{C632BC6C-FB41-437A-9FA2-AAE42C3D04E1},SeattleParks_SeattleCityGIS,2023/11/20 21:04:26+00,SeattleParks_SeattleCityGIS,QL-D3,275.219167132335,4529.80924591106
325,431,6334.20803351,330.44068403,2023/11/20 21:04:26+00,,,Basketball,,,,Full,,,,,SPCT-VAPG-BB,{4B1E7C50-A490-486C-9E23-36842DF19FAC},SeattleParks_SeattleCityGIS,2023/11/20 21:04:26+00,SeattleParks_SeattleCityGIS,QL-D3,330.44002315304,6334.18269698072
326,4167,1364.84978922,147.87534015,2023/11/20 21:04:26+00,,,Basketball,,,,Half,,,,,SPCT-CEDARPK-BB,{F1F0F67A-8A83-40D7-AFC8-FC22F94A369B},SeattleParks_SeattleCityGIS,2023/11/20 21:04:26+00,SeattleParks_SeattleCityGIS,QL-D3,147.875044410631,1364.84433027155
