X,Y,OBJECTID,GlobalID,CreationDate,Creator,EditDate,Editor,RecordStatus,LeaseNum,GeneralLocation,LeaseorPermit,TypeofLease,LeaseStartDate,LeaseExpirationDate,SLCApprovalDate,MinuteItem,Improvements,Latitude,Longitude
-13375976.578,4737134.8241,1,{FA348AED-AEAB-4E75-AD53-000C08CF4DB1},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,8334,"Lake Tahoe, adjacent to 3755 Idlewild Way, near Homewood",General Lease,Recreational Use,06/23/2022,06/22/2032,06/23/2022,17,,39.1078700000,-120.1584420000
-13367537.7813,4716641.7522,2,{D041E238-F0BD-4FDC-A13A-000FD689DD18},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,1579,"Lake Tahoe, between Rubicon Bay and Baldwin Beach",General Lease,Right of Way Use,11/14/1955,,02/28/2023,29,,38.9648770000,-120.0826350000
-13137535.2381,4373340.9657,3,{09F483E7-FD69-454D-BC9F-001FB3554DE6},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,9085,dry lake bed of Owens Lake,General Lease,Public Agency Use,08/23/2013,08/22/2033,06/21/2018,C62,,36.5267170000,-118.0164870000
-13138072.4659,4364781.4566,4,{8250F7B1-2B1A-4A73-9E1B-003EF980ADBC},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,9085,dry lake bed of Owens Lake,General Lease,Public Agency Use,08/23/2013,08/22/2033,06/21/2018,C62,,36.4649040000,-118.0213130000
-13371618.1972,4725208.2474,5,{8E54FA48-1F5F-4065-8A6C-00536FD1D3B5},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,5508,"Lake Tahoe, adjacent to 8555 Meeks Bay Avenue, near Meeks Bay",General Lease,Recreational Use,08/13/2014,08/12/2024,02/20/2015,9,,39.0246860000,-120.1192900000
-13387831.2132,4768582.3536,6,{AD3799D5-5560-413D-8F8E-0065A624CE5F},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,4916,"Donner Lake, adjacent to Donner Pass Road, near the town of Truckee",General Lease,Public Agency Use,08/01/1974,07/31/2023,10/14/2014,14,,39.3267360000,-120.2649340000
-13366694.8701,4754020.4427,7,{AEF9CCCF-5504-4599-827B-006C3A0752BE},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,2457,"Lake Tahoe, adjacent to 5310 North Lake Boulevard, near Carnelian Bay",General Lease,Recreational Use,03/23/2023,03/22/2033,10/25/2022,07,,39.2254740000,-120.0750630000
-13478902.6905,4508757.6418,8,{898BEE2B-97AD-4AA5-8CB5-00746E168547},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,5985,San Joaquin River near Patterson,General Lease,Public Agency Use,06/01/1981,05/31/2030,04/29/1981,4,,37.4980490000,-121.0830430000
-13531789.2447,4609350.7299,9,{387366AE-C310-4ED5-865A-00993FF76C8C},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,6740,"Sacramento River, adjacent to 14434 State Highway 160, near Walnut Grove",General Lease,Recreational Use,04/01/2018,03/31/2028,12/03/2018,C44,,38.2115270000,-121.5581310000
-13383393.1277,4408826.3489,10,{F4103AB8-363E-4F4A-A5DF-00AFC27F064D},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,8885,"sovereign lands lying several thousand feet below the San Joaquin River, in Sections 2, 22 and 28, T13S R16E, MDM",Mineral Resource Lease,Oil & Gas Lease,07/01/2010,06/30/2059,04/26/2022,53,,36.7824500000,-120.2250660000
-13367967.3632,4752128.2288,11,{6833ECE8-3B49-4BC9-B33F-00BDEE05C223},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,4173,"Lake Tahoe, adjacent to 4370 North Lake Boulevard, near Carnelian Bay",General Lease,Recreational Use,09/29/2018,09/28/2028,02/04/2019,C03,,39.2123050000,-120.0864940000
-13369830.8515,4721957.2,12,{B7607BE9-7725-43B6-9CBF-00E133356513},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,9324,"Lake Tahoe, adjacent to 9031 Lupine Way, near South Lake Tahoe",General Lease,Recreational Use,02/23/2021,02/22/2031,02/23/2021,1,,39.0019940000,-120.1032340000
-13573885.0441,4749632.0667,13,{02237E8D-1446-4A64-BC00-00EA826B07EE},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,9202,"at the confluence of the Sacramento River and Butte Slough, adjacent to 2701 Butte Slough Road, near the town of Colusa",General Lease,Public Agency Use,04/23/2015,04/22/2035,04/23/2015,8,,39.1949290000,-121.9362840000
-13776928.4557,4754985.2938,14,{0BD44CDD-0EFF-4DBA-A8F9-00EFC5BD90C8},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,5414,"Albion River, adjacent to APNs 123-060-10 and 123-060-14, near Albion",General Lease,Commercial Use,08/01/2014,07/31/2034,04/05/2016,23,,39.2321880000,-123.7602540000
