Avg_3Day_Confirmed_RatePer100K,Avg_3Day_Confirmed_RatePer100K_,Avg_3Day_Deceased_RatePer100K,Avg_3Day_Deceased_RatePer100K_D,CONFIRMED,Confirmed_RatePer100K,DECEASED,Deceased_RatePer100K,LOADED,RECOVERED,reported,TOTAL_CONFIRMED,TOTAL_DECEASED,Total_Population,TOTAL_RECOVERED,WEEKBEGINNINGDATE,WEEKENDINGDATE,YEAR_WEEK,ObjectId
23.455266,4.2567,0.043433,-0.043433,211,27.4948,0,0,2021/02/25 11:17:00+00,86,2020/07/21 04:00:00+00,5331,231,767419,3721,2020/07/19 04:00:00+00,2020/07/25 04:00:00+00,202030,1
26.5826,26.5826,0.9121,0.9121,204,26.5826,7,0.9121,2021/02/25 11:17:00+00,32,2020/03/31 04:00:00+00,204,7,767419,32,2020/03/29 04:00:00+00,2020/04/04 04:00:00+00,202014,2
16.722733,-6.732533,0,-0.043433,72,9.3821,0,0,2021/02/25 11:17:00+00,92,2020/07/22 04:00:00+00,5359,231,767419,3811,2020/07/19 04:00:00+00,2020/07/25 04:00:00+00,202030,3
17.808633,1.0859,0,0,127,16.549,0,0,2021/02/25 11:17:00+00,63,2020/07/23 04:00:00+00,5456,231,767419,3874,2020/07/19 04:00:00+00,2020/07/25 04:00:00+00,202030,4
15.2459,-11.3367,0.5212,-0.3909,30,3.9092,1,0.1303,2021/02/25 11:17:00+00,1,2020/04/01 04:00:00+00,228,8,767419,33,2020/03/29 04:00:00+00,2020/04/04 04:00:00+00,202014,5
10.902333,-4.343567,0.3909,-0.1303,17,2.2152,1,0.1303,2021/02/25 11:17:00+00,6,2020/04/02 04:00:00+00,241,9,767419,39,2020/03/29 04:00:00+00,2020/04/04 04:00:00+00,202014,6
19.763233,1.9546,0.086866,0.086866,256,33.3586,2,0.2606,2021/02/25 11:17:00+00,93,2020/07/24 04:00:00+00,5702,233,767419,3966,2020/07/19 04:00:00+00,2020/07/25 04:00:00+00,202030,7
32.316133,12.5529,0.1303,0.043434,361,47.0408,1,0.1303,2021/02/25 11:17:00+00,59,2020/07/25 04:00:00+00,6057,234,767419,4023,2020/07/19 04:00:00+00,2020/07/25 04:00:00+00,202030,8
3.605133,-7.2972,0.304033,-0.086867,36,4.691,5,0.6515,2021/02/25 11:17:00+00,13,2020/04/03 04:00:00+00,274,14,767419,52,2020/03/29 04:00:00+00,2020/04/04 04:00:00+00,202014,9
3.518266,-0.086867,0.3909,0.086867,28,3.6486,3,0.3909,2021/02/25 11:17:00+00,8,2020/04/04 04:00:00+00,300,17,767419,60,2020/03/29 04:00:00+00,2020/04/04 04:00:00+00,202014,10
29.8403,-2.475833,0.217166,0.086866,70,9.1215,2,0.2606,2021/02/25 11:17:00+00,40,2020/07/26 04:00:00+00,6123,236,767419,4062,2020/07/26 04:00:00+00,2020/08/01 04:00:00+00,202031,11
8.469966,1.2162,0.521233,0.260633,44,5.7335,8,1.0425,2021/02/25 11:17:00+00,61,2020/05/20 04:00:00+00,2105,146,767419,1352,2020/05/17 04:00:00+00,2020/05/23 04:00:00+00,202021,12
26.235133,-3.605167,0.1303,-0.086866,173,22.5431,0,0,2021/02/25 11:17:00+00,12,2020/07/27 04:00:00+00,6296,236,767419,4074,2020/07/26 04:00:00+00,2020/08/01 04:00:00+00,202031,13
16.201466,7.5578,0.434333,0.173733,217,28.2766,4,0.5212,2021/02/25 11:17:00+00,89,2020/09/10 04:00:00+00,14626,306,767419,7992,2020/09/06 04:00:00+00,2020/09/12 04:00:00+00,202037,14
