OBJECTID,CYCLE,ASSESSMENT_UNIT_ID,ASSESSMENT_UNIT_NAME,LOCATION_DESCRIPTION,WATER_TYPE_NAME,WATER_SIZE,UNITS,CT_LAKE_ID,NHD_BASIN,CLASS_ID,USE_CLASS_NAME,Segment_ID,CT2022_AQL_USE_NAME,CT2022_AQL_USE_ATTAINMENT,CT2022_REC_USE_NAME,CT2022_REC_USE_ATTAINMENT,CT2022_FISHCON_USE_NAME,CT2022_FISHCON_USE_ATTAINMENT,CT2022_DW_USE_NAME,CT2022_DW_USE_ATTAINMENT,Impaired,Shape__Area,Shape__Length
2,2022,CT7103-00-2-L5_01,Pembroke Lakes (Bridgeport),"Just upstream of Yellow Mill Channel, US side of RailRoad crossing, and DS of Stillman Pond and Route 1 crossing, Bridgeport. (Includes Arms Pond, Remington Arms Company Pond, and Barnum Avenue Pond)","LAKE, FRESHWATER",2.74,Acres,2381,01100006,49,INLAND SURFACE WATERS CLASS B,CT7103-00-2-L5_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,119447.385253906,3245.84224224225
3,2022,CT8104-00-2-L5_01,Mamanasco Lake (Ridgefield),Northwest Ridgefield.,"LAKE, FRESHWATER",85.9,Acres,1756,02030101,50,INLAND SURFACE WATERS CLASS AA,CT8104-00-2-L5_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,Yes,3741697.38293457,11258.4021939073
4,2022,CT7409-00-1-L3_01,Putnam Lake Reservoir (Greenwich),"Impoundment of Horseneck Brook, just south of Rt. 15, Greenwich.","LAKE, FRESHWATER",95.56,Acres,2334,01100006,50,INLAND SURFACE WATERS CLASS AA,CT7409-00-1-L3_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Fully Supporting,Yes,4162510.79052734,14645.9219289555
11,2022,CT7103-00-2-L3_01,Success Lake (Bridgeport),"US of Stillman Pond, Pembroke Lakes & Yellowmill Channel, Bridgeport.","LAKE, FRESHWATER",15.79,Acres,2798,01100006,48,INLAND SURFACE WATERS CLASS A,CT7103-00-2-L3_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,687951.067932129,4462.58250692666
12,2022,CT7103-00-2-L4_01,Stillman Pond (Bridgeport),"Upstream of Yellow Mill Channel, Bridgeport. Downstream of Success Lake.","LAKE, FRESHWATER",4.97,Acres,2759,01100006,49,INLAND SURFACE WATERS CLASS B,CT7103-00-2-L4_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Not Assessed,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,216249.040771484,3312.56720847341
13,2022,CT5200-00-4-L2_01,Hanover Pond (Meriden),"Southwest corner of Meriden, impoundment along Quinnipiac River below Gorge.","LAKE, FRESHWATER",70.53,Acres,1148,01100004,49,INLAND SURFACE WATERS CLASS B,CT5200-00-4-L2_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,3072259.65899658,11639.4607225383
20,2022,CT5111-09-1-L1_01,Cedar Pond (North Branford),"South of Lake Gaillard, North Branford, just upstream of Linsley Pond along Pisgah Brook (trib to Branford River).","LAKE, FRESHWATER",21.58,Acres,456,01100004,48,INLAND SURFACE WATERS CLASS A,CT5111-09-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,940092.739807129,4467.48722354172
21,2022,CT5111-09-1-L2_01,Linsley Pond (Branford/North Branford),"South of Lake Gaillard, North Branford, just downstream of Cedar Pond along Pisgah Brook (trib to Branford River). Linsley Pond straddles Branford-North Branford town line.","LAKE, FRESHWATER",22.92,Acres,1635,01100004,48,INLAND SURFACE WATERS CLASS A,CT5111-09-1-L2_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,998367.83984375,4155.48366403286
22,2022,CT5305-00-3-L1_01,Edgewood Park Pond (New Haven),"Along eastern bank of West River, just US of Chapel St, New Haven.","LAKE, FRESHWATER",2.72,Acres,823,01100004,48,INLAND SURFACE WATERS CLASS A,CT5305-00-3-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,118638.844604492,1654.87117050796
23,2022,CT3700-00-2+L1_01,West Thompson Lake (Thompson),Impoundment of Quinebaug River in Thompson.,"LAKE, FRESHWATER",189.28,Acres,3467,01100001,49,INLAND SURFACE WATERS CLASS B,CT3700-00-2+L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,8245167.04333496,24334.31222169
