ID,Q1a_Service_offered_by_Tempe,Q1b_Appearance_of_the_city,Q1c_Image_of_the_city,Q1d_How_well_city_planning_growth,Q1e_Quality_of_life_in_the_city,Q1f_Feeling_of_safety_in_the_city,Q1g_Promote_diversity/inclusiveness,Q1h_Direction_city_is_heading,Q1i_Leadership_of_elected_officials,Q1j_Public_involvement-decision_making,Q1k_Are_emp_ethical-way_conduct_business,Q1l_Sustainability_programs,Q1m_Efforts_to_keep_residents_informed,Q1n_Opportunities_to_express_ideas/views,Q2a_Condition_of_streets-neighborhood,Q2b_Condition_of_sidewalks-neighborhood,Q2c_Maint_of_private_property-neighbor,Q2d_Condition_of_alley,Q2e_Feeling_of_safety,Q2f_Quality_of_neighborhood_park,Q2g_Adequacy_of_street_lighting,Q3_Most_emphasis,Q3_2nd_emphasis,Q4_Condition_of_your_neighborhood,Q5_Public_safety_concern,Q6_Services/Facility_uses-past_12_mo,Q6_2nd,Q6_3rd,Q6_4th,Q6_5th,Q6_6th,Q6_7th,Q6_8th,Q6_9th,Q6_10th,Q6_11th,Q6_12th,Q6_13th,Q6_14th,Q6_15th,Q6_Other,Q7a_Quality_of_large_parks,Q7b_Recreation_centers,Q7c_Swimming_pools_and_programs,Q7d_Outdoor_athletic_fields,Q7e_Programs_for_youth,Q7f_Programs_for_adults,Q7g_City_golf_courses,Q7h_Tempe_history_museum,Q7i_Library_facilities,Q7j_Disability_access-prog/fac,Q8_Most_emphasis-programs,Q8_2nd_-_programs,Q9a_Library_services,Q9b_Condition_of_streets,Q9c_Condition/clarity_st_signs,Q9d_Local_transit_service,Q9e_Traffic_flow_streets,Q9f_Walking/biking_paths,Q9g_Availability_of_information,Q9h_Enforces_property_maint_codes,Q9i_Landscape_maint-st/sidewalks,Q9j_Appearance_of_residential_property,Q9k_Appearance_commercial_property,Q9l_Cleanliness_city_streets,Q9m_Residential_trash_collection,Q9n_Recycling_services,Q9o_Bulky_item_pick_up/removal_svc,Q9p_Water_service,Q9q_Local_polices_services,Q9r_Enforcement_of_traffic_laws,Q9s_Local_fire_services,Q9t_Efforts_to_prevent_crims,Q9u_Recreation_prot/svcs,Q9v_Maintenance_city_parks,Q10_Most_emphasis-city_services,Q10_2nd-city_services,Q10_3rd-city_services,Q11_Social/human_services_used,Q11_2nd,Q11_3rd,Q11_4th,Q11_5th,Q11_6th,Q11_7th,Q11_8th,Q11_9th,Q12_Most_emphasis-social/human_svcs,Q12_2nd-social/human_svcs,Q12_3rd-social/human_svcs,Q13_Use_to_get_information_about_city,Q13_2nd,Q13_3rd,Q13_4th,Q13_5th,Q13_6th,Q13_7th,Q13_8th,Q13_9th,Q13_10th,Q13a_Prefer_to_receive_info,Q13a_2nd_preference,Q13a_3rd_preference,Q14a_Contacted_the_city_past_12_mo,Q14b_How_easy_city_was_to_contact,Q14c_Way_you_were_treated,Q14d_Accuracy_of_information_given,Q14e_How_quickly_responded,Q14f_How_ell_issue_handled,Q15_City's_top_priority_next_year,Q15_2nd_priority,Q15_3rd_priority,Q15_4th_priority,Q15_5th_priority,Q18a_Years_lived_in_Tempe,Q18b_What_is_your_age,Q18c_Gender,Q18d_Used_public_transit_past_yr,Q18e_Are_you_full-time_student,Q18f_Own_or_rent,Q18g_Does_home_have_alley,Q18h_Highest_level_of_education,Q18i_Describe_your_home,Q18j_Have_cable_TV,Q18_j_Have_Smart_Phone,Q18-j_Internet_access-home,Q18k_Visited_downtown_during_past_yr,Q18l_Race/ethnicity,Q18l_2nd,Q18l_3rd,Q18l_4th,Q18l_5th,Zip,OBJECTID
1,3,4,4,9,5,4,9,9,3,3,9,9,9,9,4,4,4,9,4,4,4,A,E,4,,3,4,7,11,12,,,,,,,,,,,,5,5,9,9,9,9,9,4,4,9,F,C,4,4,4,4,2,4,3,3,4,4,4,5,5,5,4,5,5,4,9,3,9,4,E,Q,T,99,,,,,,,,,1,6,7,5,,,,,,,,,,2,5,,2,,,,,,4,11,,,,4,4,2,1,2,1,2,3,2,2,2,1,1,3,,,,,85284,0
2,4,4,4,3,4,4,4,3,3,2,2,2,2,3,3,2,2,4,4,4,4,Z,,3,,2,3,6,11,12,13,14,,,,,,,,,,4,4,4,4,4,3,5,4,5,1,I,A,4,3,2,2,2,3,3,1,1,3,1,2,5,5,5,3,5,4,3,4,3,4,Q,V,M,0,,,,,,,,,2,5,9,2,3,4,5,8,9,,,,,5,8,2,1,4,4,4,4,5,8,9,,,,5,4,1,1,2,1,1,4,1,1,1,1,1,4,,,,,85282,1
3,4,4,4,4,5,5,4,4,4,4,4,4,4,4,3,4,3,4,4,4,2,G,A,4,,2,3,4,7,8,11,,,,,,,,,,,4,3,3,3,4,4,4,4,5,4,Z,,5,3,4,4,3,4,4,3,4,3,4,3,4,4,5,4,5,5,5,4,4,4,B,E,L,1,3,,,,,,,,3,,,5,7,,,,,,,,,5,,,2,,,,,,3,10,,,,5,3,2,1,2,1,1,2,1,1,2,1,1,3,,,,,85282,2
4,4,4,4,5,5,3,4,5,5,5,4,4,5,4,4,4,2,3,3,4,4,E,C,2,,2,3,7,9,10,11,14,,,,,,,,,,5,5,5,9,9,9,9,5,5,9,E,F,5,4,5,5,5,5,2,2,3,2,5,4,5,5,5,5,5,5,5,4,9,5,G,J,H,99,,,,,,,,,3,2,7,8,,,,,,,,,,2,6,7,2,,,,,,2,4,,,,1,2,2,1,2,1,1,5,1,1,1,1,1,3,,,,,85282,3
5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,3,4,4,4,B,C,4,,8,,,,,,,,,,,,,,,,3,3,3,3,3,3,4,3,3,3,G,,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,3,3,3,3,3,3,3,Q,,,8,,,,,,,,,99,,,5,7,,,,,,,,,5,,,2,,,,,,99,,,,,5,6,1,2,2,1,1,2,1,1,2,2,2,4,,,,,85282,4
6,5,5,5,5,5,5,5,5,4,5,4,4,4,4,5,5,5,5,5,5,5,Z,,5,,2,3,6,13,,,,,,,,,,,,,4,9,9,9,9,4,9,9,9,9,Z,,9,4,4,4,4,4,4,9,4,4,4,5,5,5,5,5,5,4,9,4,9,5,Z,,,99,,,,,,,,,99,,,1,2,5,7,9,10,,,,,99,,,2,,,,,,1,11,,,,5,6,1,2,2,1,1,3,1,1,2,1,1,3,,,,,85282,5
7,4,4,4,4,4,4,4,4,5,4,5,4,4,4,5,5,4,4,5,5,4,C,G,4,,1,2,3,5,6,7,8,10,11,,,,,,,,4,4,4,4,4,4,4,4,5,4,D,E,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,V,U,T,99,,,,,,,,,3,7,9,5,7,9,,,,,,,,5,7,9,2,,,,,,4,11,,,,5,6,2,2,2,1,1,2,1,1,2,2,1,3,,,,,85282,6
8,3,3,4,3,3,4,3,3,3,2,2,3,2,2,2,2,2,3,3,3,3,E,C,3,,2,3,4,6,10,14,15,,,,,,,,,SR/MULTI GENERATIONAL CENTERS ,4,3,3,3,2,3,3,3,4,3,E,B,3,2,2,2,2,2,2,2,3,2,3,3,2,2,3,3,4,2,4,3,3,3,J,H,R,2,4,,,,,,,,2,9,7,1,2,4,6,7,8,,,,,2,1,6,1,4,3,3,3,3,5,,,,,4,5,2,2,2,2,1,3,1,1,2,1,1,3,,,,,85281,7
9,4,4,4,4,3,3,3,4,4,3,3,4,4,4,3,4,4,4,3,4,3,E,A,4,,2,11,12,14,,,,,,,,,,,,,4,4,3,4,9,9,9,4,4,9,C,I,3,3,4,3,3,3,4,4,4,4,3,3,3,4,4,4,4,4,4,3,3,3,D,T,V,99,,,,,,,,,4,6,7,5,7,,,,,,,,,7,5,1,2,,,,,,10,11,,,,5,3,1,1,2,2,1,3,1,2,2,1,1,3,,,,,85282,8
10,5,5,5,4,5,5,4,4,4,9,9,4,9,9,4,4,4,9,5,3,5,E,C,5,,2,4,7,8,11,12,,,,,,,,,,,5,9,9,4,9,9,4,4,4,4,J,A,4,4,4,9,4,5,9,9,4,4,4,4,5,5,5,5,9,9,9,9,9,4,Q,S,T,3,,,,,,,,,3,9,2,2,5,7,9,,,,,,,99,,,2,,,,,,1,2,,,,5,4,1,1,2,1,2,5,1,1,2,1,1,3,,,,,85284,9
