OBJECTID,DFIRM_ID,FIRM_ID,ST_FIPS,PCOMM,PANEL,SUFFIX,FIRM_PAN,PANEL_TYP,EFF_DATE,SCALE,PNP_REASON,NW_LAT,NW_LONG,SE_LAT,SE_LONG,SOURCE_CIT
3681,50003C,50003C_74,50,003C,0100,D,50003C0100D,"Countywide, Not Printed",2015/12/02 00:00:00+00,24000,AREA OUTSIDE COUNTY BOUNDARY,,,,,50003C_BASE8
3682,50003C,50003C_75,50,003C,0115,D,50003C0115D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3683,50003C,50003C_76,50,003C,0230,D,50003C0230D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3684,50003C,50003C_77,50,003C,0210,D,50003C0210D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3685,50003C,50003C_78,50,003C,0205,D,50003C0205D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3686,50003C,50003C_79,50,003C,0040,D,50003C0040D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3687,50003C,50003C_80,50,003C,0045,D,50003C0045D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3688,50003C,50003C_81,50,003C,0065,D,50003C0065D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3689,50003C,50003C_82,50,003C,0510,D,50003C0510D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3690,50003C,50003C_84,50,003C,0392,D,50003C0392D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
3691,50003C,50003C_85,50,003C,0385,D,50003C0385D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3692,50003C,50003C_86,50,003C,0535,D,50003C0535D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3693,50003C,50003C_87,50,003C,0555,D,50003C0555D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3694,50003C,50003C_88,50,003C,0565,D,50003C0565D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,12000,,,,,,50003C_BASE8
3695,50003C,50003C_83,50,003C,0506,D,50003C0506D,"Countywide, Panel Printed",2015/12/02 00:00:00+00,6000,,,,,,50003C_BASE8
