60.dateof_census,10/04/2021,01/11/2014
71.dateof_census,10/02/2021,12/31/2013
1594.adult_familiesin_shelter,4117,1417
107.single_adult_menin_shelter,125o60,12560
1317.total_childrenin_shelter,14612,14621
146.dateof_census,09/25/2021,09/06/2021
1317.total_individualsin_shelter,45353,45335
125.dateof_census,11/24/2021,09/27/2021
98.dateof_census,10/04/2021,12/03/2013
129.dateof_census,10/10/2021,09/23/2021
1512.childrenin_familieswith_childrenin_shelter,14581,14518
1317.total_single_adultsin_shelter,16557***,16557
63.dateof_census,10/05/2021,01/08/2014
1595.adultsin_familieswith_childrenin_shelter,1148,11148
38.dateof_census,10/05/2021,11/04/2021
52.dateof_census,10/05/2021,11/19/2021
107.individualsin_adult_familiesin_shelter,3u162,3162
32.dateof_census,10/01/2021,10/29/2021
85.dateof_census,09/30/2021,12/16/2013
43.dateof_census,09/30/2021,11/10/2021
117.dateof_census,10/04/2021,12/02/2021
1524.total_individualsin_familieswith_childrenin_shelter,2582,25862
1593.single_adult_womenin_shelter,405j9,4059
1595.total_individualsin_shelter,41558,45158
1523.total_adultsin_shelter,306q65,30665
46.dateof_census,10/04/2021,11/13/2021
107.total_individualsin_shelter,45388,45838
50.dateof_census,10/04/2021,11/17/2021
40.dateof_census,10/02/2021,11/06/2021
1594.adultsin_familieswith_childrenin_shelter,1158,11158
1593.childrenin_familieswith_childrenin_shelter,1j4546,14546
170.dateof_census,10/01/2021,08/15/2021
118.dateof_census,10/10/2021,12/03/2021
1512.single_adult_womenin_shelter,015,4015
113.dateof_census,10/17/2021,11/28/2021
144.dateof_census,09/15/2021,09/08/2021
93.dateof_census,10/02/2021,12/08/2013
1594.total_individualsin_shelter,45390,45309
158.dateof_census,10/02/2021,12/10/2021
1616.familieswith_childrenin_shelter,841k8,8418
23.dateof_census,10/01/2021,10/21/2021
61.dateof_census,10/04/2021,01/10/2014
48.dateof_census,09/29/2021,11/15/2021
1317.individualsin_adult_familiesin_shelter,0306,3006
102.dateof_census,09/29/2021,11/29/2013
33.dateof_census,10/17/2021,10/30/2021
5.dateof_census,10/02/2021,10/03/2021
103.dateof_census,10/10/2021,11/28/2013
1523.total_individualsin_familieswith_childrenin_shelter,2734,25734
83.dateof_census,10/07/2021,12/18/2013
1524.total_individualsin_shelter,4548,45348
26.dateof_census,10/10/2021,10/23/2021
11.dateof_census,10/07/2021,10/09/2021
114.dateof_census,09/29/2021,11/29/2021
1616.adultsin_familieswith_childrenin_shelter,11146***,11146
133.dateof_census,10/05/2021,09/19/2021
154.dateof_census,12/17/2013,08/29/2021
124.dateof_census,10/01/2021,09/28/2021
49.dateof_census,10/01/2021,11/16/2021
1616.childrenin_familieswith_childrenin_shelter,1574,14574
1523.individualsin_adult_familiesin_shelter,913,2913
57.dateof_census,10/02/2021,01/14/2014
22.dateof_census,10/11/2021,10/20/2021
1512.individualsin_adult_familiesin_shelter,296,2996
1593.total_adultsin_shelter,3071c5,30715
152.dateof_census,11/24/2021,08/31/2021
1524.adult_familiesin_shelter,1j389,1389
135.dateof_census,10/10/2021,09/17/2021
1317.single_adult_menin_shelter,1254,12514
1512.total_childrenin_shelter,1l4518,14518
37.dateof_census,09/30/2021,11/03/2021
107.total_childrenin_shelter,14i769,14769
58.dateof_census,10/02/2021,01/13/2014
72.dateof_census,10/04/2021,12/30/2013
51.dateof_census,10/05/2021,11/18/2021
147.dateof_census,10/01/2021,09/05/2021
168.dateof_census,10/01/2021,08/17/2021
1595.individualsin_adult_familiesin_shelter,293n3,2933
1593.total_childrenin_shelter,1456,14546
104.dateof_census,10/05/2021,11/27/2013
94.dateof_census,10/01/2021,12/07/2013
34.dateof_census,10/02/2021,10/31/2021
47.dateof_census,10/02/2021,11/14/2021
1524.adultsin_familieswith_childrenin_shelter,11129,11219
99.dateof_census,10/04/2021,12/02/2013
1593.total_individualsin_shelter,4u5261,45261
27.dateof_census,10/01/2021,10/24/2021
1512.total_individualsin_familieswith_childrenin_shelter,52609,25609
107.total_single_adultsin_shelter,16r725,16725
