OBJECTID,DONUT,LANDFILL,NAME,BUF,DESCRIPTIO,P_AREA,SHAPE_Length,SHAPE_Area
1,0,7,1000' METHANE BUFFER,B,HALLER LAKE 1000' METHANE BUFFER,5914914.06487796,11885.9051413549,5914913.96697134
2,0,7,HALLER LAKE,A,HALLER LAKE METHANE LANDFILL,478390.18433646,2793.53623451075,478390.264631213
3,0,7,NON METHANE LANDFILL,A,GREEN LAKE NON METHANE LANDFILL,933964.30761667,4858.11233441599,933964.212332832
4,0,7,NON METHANE LANDFILL,A,GREEN LAKE NON METHANE LANDFILL,194907.35476686,2500.88685378639,194907.330716104
5,0,7,NON METHANE LANDFILL,A,GREEN LAKE NON METHANE LANDFILL,326232.52928132,2737.25157855921,326232.531957857
6,0,7,NON METHANE LANDFILL,A,GREEN LAKE NON METHANE LANDFILL,717460.60523798,3536.25157964624,717460.559483087
7,0,7,1000' METHANE BUFFER,B,MONTLAKE 1000' METHANE BUFFER,11096471.5145351,25863.8976940035,11096471.4462996
8,0,7,MONTLAKE,A,MONTLAKE METHANE LANDFILL,6731276.63790543,16967.741079954,6731276.63085674
9,0,7,MONTLAKE,A,MONTLAKE METHANE LANDFILL,3048.38790022,254.399072784757,3048.38011528109
10,0,7,MONTLAKE,A,MONTLAKE METHANE LANDFILL,10529.19208695,401.34188659009,10529.1816551482
11,0,7,1000' METHANE BUFFER,B,MONTLAKE 1000' METHANE BUFFER,839.74742216,173.950414926706,839.742789678223
12,0,7,1000' METHANE BUFFER,B,MONTLAKE 1000' METHANE BUFFER,13299.846919,479.592786991503,13299.8664333765
13,0,7,1000' METHANE BUFFER,B,MONTLAKE 1000' METHANE BUFFER,1847.25420846,178.780208672201,1847.25412340919
14,0,7,MONTLAKE,A,MONTLAKE METHANE LANDFILL,1816.52620228,187.061689012154,1816.53057132844
15,0,7,MONTLAKE,A,MONTLAKE METHANE LANDFILL,119196.55388084,1702.61304738963,119196.535205618
16,0,7,1000' METHANE BUFFER,B,MONTLAKE 1000' METHANE BUFFER,2655.27638873,243.614834613019,2655.27895446111
17,0,7,1000' METHANE BUFFER,B,MONTLAKE 1000' METHANE BUFFER,3191.05402052,273.075185035737,3191.05685862536
18,0,7,1000' METHANE BUFFER,B,INTERBAY 1000' METHANE BUFFER,10133844.8709817,20611.5027552748,10133845.1913581
19,0,7,1000' METHANE BUFFER,B,MONTLAKE 1000' METHANE BUFFER,6373.4428821,439.533503709674,6373.43146154768
20,0,7,1000' METHANE BUFFER,B,MONTLAKE 1000' METHANE BUFFER,11517.86639188,406.733705838575,11517.8655752773
21,0,7,INTERBAY,A,INTERBAY METHANE LANDFILL,2155348.6064579,7428.65484263837,2155348.40853095
22,0,7,FOSTER ISLAND,A,FOSTER ISLAND NON METHANE LANDFILL,1546280.52039259,7183.05688113118,1546280.57692282
23,0,7,FOSTER ISLAND,A,FOSTER ISLAND NON METHANE LANDFILL,28069.89022483,863.167913184795,28069.9349331911
24,0,7,FOSTER ISLAND,A,FOSTER ISLAND NON METHANE LANDFILL,18950.12811204,656.100406114739,18950.159820102
25,0,7,FOSTER ISLAND,A,FOSTER ISLAND NON METHANE LANDFILL,52272.5840383,1006.40357960001,52272.5487490874
26,0,7,NON METHANE LANDFILL,A,LAKE WASHINGTON BLVD AND E MADISON ST NON METHANE,265009.83350944,2291.21428923256,265009.815161279
27,0,7,NON METHANE LANDFILL,A,22ND AV S AND S NORMAN ST NON METHANE LANDFILL,228877.72508267,2419.84654206613,228877.621386639
28,0,7,1000' METHANE BUFFER,B,HARBOR AVE 1000' METHANE BUFFER,8970095.32729763,19293.1570644872,8970095.29432254
29,0,7,HARBOR AVE,A,HARBOR AVE METHANE LANDFILL,1760038.84955719,6165.95580464928,1760038.91709128
30,0,7,NON METHANE LANDFILL,A,RAINIER AV S AND S MCCLELLAN ST NON METHANE LANDFI,562626.0776213,3079.31356543761,562626.213820414
31,0,7,NON METHANE LANDFILL,A,6TH AVE S AND S HANFORD ST NON METHANE LANDFILL,2122139.9994667,7212.50329864451,2122140.17159086
32,0,7,1000' METHANE BUFFER,B,GENESEE 1000' METHANE BUFFER,12114628.0142131,27962.0612972197,12114627.8895402
33,0,7,GENESEE,A,GENESEE METHANE LANDFILL,2630185.59414134,11029.2232460796,2630185.63345823
34,0,7,1000' METHANE BUFFER,B,SOUTH PARK 1000' METHANE BUFFER,8450310.17077081,17009.1588202229,8450310.59076682
35,0,7,SOUTH PARK,A,SOUTH PARK METHANE LANDFILL,1213999.09396778,5570.27171123309,1213998.94401999
321,0,7,5423-SHILSHOLE,A,5423-SHILSHOLE LANDFILL,476841.09886378,3217.11344457261,476841.076471922
