X,Y,OBJECTID,SITE_NO,DATE_VERIF,HIGH_TIDE,TIDE_HEIGHT,MAP_NAME,ESTUARY_BAY,TIME,WATER_DEPTH,EEL_GRASS,EST_COVER
1059547.99610156,653639.986006558,1,312a,18-Oct-02,9:38 AM,3.5,Clinton,Clinton Bay Area,12:07 PM,4.5,N, 
1059163.03296073,653639.019144982,2,312b,18-Oct-02,9:38 AM,3.5,Clinton,Clinton Bay Area,12:10 PM,4,N, 
1057490.09601788,651813.06610398,3,1a,18-Oct-02,9:38 AM,3.5,Clinton,Clinton Bay Area,12:12 PM,9,N, 
1058863.53585631,652435.868007973,4,1b,18-Oct-02,9:38 AM,3.5,Clinton,Clinton Bay Area,12:15 PM,11,N, 
1059768.70694622,653349.051877141,5,1c,18-Oct-02,9:38 AM,3.5,Clinton,Clinton Bay Area,12:18 PM,10,N, 
1060143.44996314,657394.448970065,6,314a,18-Oct-02,9:38 AM,3.5,Clinton,Clinton Bay Area,12:40 PM,2.5,N, 
1060610.27514496,657614.260866389,7,314b,18-Oct-02,9:38 AM,3.5,Clinton,Clinton Bay Area,12:45 PM,2.5,N, 
1059155.2419658,656772.532891065,8,315a,18-Oct-02,9:38 AM,3.5,Clinton,Clinton Bay Area,12:48PM,2.5,N, 
1063363.62593748,656091.155972973,9,313a,18-Oct-02,9:38 AM,3.5,Clinton,Clinton Bay Area,12:52 PM,2.5,N, 
1058085.38813439,655786.092934817,10,2,18-Oct-02,9:38 AM,3.5,Clinton,Clinton Bay Area,12:58 PM,3,N, 
1057013.87387322,655455.552913472,11,3,18-Oct-02,9:38 AM,3.5,Clinton,Clinton Bay Area,2:12 PM,3,N, 
1065212.74789539,653545.636129647,12,13,18-Oct-02,9:38 AM,3.5,Clinton,Clinton Bay Area,2:18 PM,9,N, 
1073981.89505522,654409.349953398,13,308a,18-Oct-02,9:38 AM,3.5,Essex,Duck Isalnd Roads Area,2:25 PM,5,N, 
1074449.34097072,654410.804018721,14,308b,18-Oct-02,9:38 AM,3.5,Essex,Duck Isalnd Roads Area,2:50 PM,5,N, 
1075438.30191931,654705.402838975,15,307a,18-Oct-02,9:38 AM,3.5,Essex,Duck Isalnd Roads Area,2:55 PM,6,Y,L
1075575.0890473,654924.454894304,16,308b,18-Oct-02,9:38 AM,3.5,Essex,Duck Isalnd Roads Area,2:50 PM,6,Y,L
1075961.6650458,654415.572053805,17,306a,18-Oct-02,9:38 AM,3.5,Essex,Duck Isalnd Roads Area,2:23 PM,9,N, 
1076045.78692481,653905.728913397,18,306b,18-Oct-02,9:38 AM,3.5,Essex,Duck Isalnd Roads Area,2:30 PM,9,N, 
1076249.87805206,658861.746888474,19,310a,22-Oct-02,9:38 AM,3.5,Essex,West Brook Harbor Area,2:35 PM,4.5,N, 
1076194.54384513,658970.879872307,20,310b,22-Oct-02,9:38 AM,3.5,Essex,Ram Island Area,11:21 PM,5.5,N, 
1075891.90501472,659042.787864983,21,310c,22-Oct-02,9:38 AM,3.5,Essex,Duck Isalnd Roads Area,11:23 PM,6,N, 
1075726.95586956,659042.263915896,22,310d,22-Oct-02,9:38 AM,3.5,Essex,Duck Isalnd Roads Area,11:25 PM,6,N, 
1076332.35295272,658862.010995567,23,17,22-Oct-02,9:38 AM,3.5,Essex,West Brook Harbor Area,11:30 PM,5,N, 
1076635.4648793,658644.364121139,24,18a,22-Oct-02,9:38 AM,3.5,Essex,West Brook Harbor Area,11:39 PM,7,N, 
1076799.35792422,658972.82015714,25,18b,22-Oct-02,9:38 AM,3.5,Essex,West Brook Harbor Area,11:42 PM,7,N, 
1077487.35786055,658756.4259049,26,19a,22-Oct-02,9:38 AM,3.5,Essex,West Brook Harbor Area,11:50 AM,5,N, 
1077706.93484922,658866.449963063,27,19b,22-Oct-02,9:38 AM,3.5,Essex,West Brook Harbor Area,11:55 AM,6,N, 
1078091.81793772,658867.70816265,28,19c,22-Oct-02,9:38 AM,3.5,Essex,West Brook Harbor Area,12:00 PM,6,N, 
1078785.50683905,656938.852112234,29,309,22-Oct-02,9:38 AM,3.5,Essex,West Brook Harbor Area,12:10 PM,5.5,N, 
1111150.02708364,662023.232035309,30,291a,22-Oct-02,9:38 AM,3.5,Old Lyme,Connecticut River Area,12:58 PM,16,N, 
1111066.54103014,662241.463882312,31,291b,22-Oct-02,9:38 AM,3.5,Old Lyme,Connecticut River Area,1:05 PM,13,N, 
1110762.81591581,662531.544995055,32,291c,22-Oct-02,9:38 AM,3.5,Old Lyme,Connecticut River Area,1:10 PM,8,N, 
1108901.60802406,666786.079136893,33,160a,22-Oct-02,9:38 AM,3.5,Old Lyme,Connecticut River Area,2:23 PM,6,N, 
1107474.00490814,666451.658873975,34,160b,22-Oct-02,9:38 AM,3.5,Old Lyme,Connecticut River Area,2:30 PM,8,N, 
1055237.10708556,568114.163948312,35,531a,28-Oct-02,3:56 PM,1.20000004,Mattituck,North Shore LIS,11:04 PM,6,N, 
1055152.45600814,568915.555062056,36,531b,28-Oct-02,3:56 PM,1.20000004,Mattituck,North Shore LIS,11:04 PM,8,N, 
1058595.23094672,571656.511850476,37,500a,28-Oct-02,3:56 PM,1.20000004,Mattituck,North Shore LIS,11:18 PM,6,N, 
