OBJECTID_12_13_14_15_16,BASIN_NAME,WTRSHD_NAM,WRIA_NO,WRIA_NAME,TC_ID,OBJECTID_12_13,TC_ID_12_13_14,Total_A_1,Can_A_1,Grass_A_1,Soil_A_1,Water_A_1,Build_A_1,Road_A_1,Paved_A_1,Perv_A_1,Imperv_A_1,Can_P_1,Grass_P_1,Soil_P_1,Water_P_1,Build_P_1,Road_P_1,Paved_P_1,Perv_P_1,Imperv_P_1,TC_E_A_1,TC_Pv_A_1,TC_Land_A_12,TC_Pi_A_1,TC_P_A_1,TC_E_P_1,TC_Pv_P_1,TC_P_P_1,TC_Pi_P_1,Gain_1,Loss_1,No_Change_1,TreeCanopy_2016_Area_1,TreeCanopy_2021_Area_1,Change_Area_1,Change_PercentChange_1,TreeCanopy_2016_Percent_1,TreeCanopy_2021_Percent_1,Change_Percent_AbsDiff_1,OBJECTID,TC_ID_1,Total_A,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Perv_A,Imperv_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Perv_P,Imperv_P,OBJECTID_1,TC_ID_12,TC_E_A,TC_Pv_A,TC_Land_A,TC_Pi_A,TC_P_A,TC_E_P,TC_Pv_P,TC_P_P,TC_Pi_P,OBJECTID_12,TC_ID_12_13,TC_Land_A_1,Gain,Loss,No_Change,TreeCanopy_2016_Area,TreeCanopy_2021_Area,Change_Area,Change_PercentChange,TreeCanopy_2016_Percent,TreeCanopy_2021_Percent,Change_Percent_AbsDiff,OBJECTID_12_13_14,TC_ID_12_13_14_15,OBJECTID_12_13_14_15,TC_ID_12_13_14_15_16,TC_Land_A_12_13,Shape__Area,Shape__Length
1,Duwamish River,Duwamish - Green River,9,Duwamish-Green,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,340221023,61210599,70587894,1096856,10832216,51263865,37053161,108176432,143727565,196493458,17.9914217117618,20.7476579129562,0.322395127240564,3.18387614747722,15.0678122556818,10.8909087020175,31.7959281428649,42.2453508994357,57.7546491005643,,,61210599,70587894,329388807,109273288,179861182,18.5830840936863,21.4299613404896,54.6045215191541,33.1745601786645,,,,4800505,8428141,56410094,64838235,61210599,-3627636,-5.59490245223362,19.6844074911143,18.5830840936863,-1.101323397428,,,,,,340221087.648132,198677.179486147
2,Elliott Bay,Duwamish - Green River,9,Duwamish-Green,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,203768325,43387700,41332589,1807964,279212,45359321,31033044,40568495,86807465,116960860,21.292661653866,20.2841089261542,0.887264495107373,0.137024240641915,22.2602413795176,15.2295721133302,19.9091271913827,42.6010593157695,57.3989406842305,,,43387700,41332589,203489113,42376459,83709048,21.3218777950052,20.311941209356,41.1368680937736,20.8249268844176,,,,5091401,5336851,38296299,43633150,43387700,-245450,-0.562531011398444,21.4424984986789,21.3218777950052,-0.120620703673701,,,,,,203768624.743591,149647.374163844
3,Lake Union,Cedar River / Lake Washington,8,Cedar-Sammamish,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,377600745,81122495,65292258,660300,39860158,88682952,51728801,50253781,186935211,190665534,21.48366921257,17.2913477699839,0.174867239734922,10.5561650838374,23.4859049337946,13.6993376429911,13.3087081170881,49.5060493061262,50.4939506938738,,,81122495,65292258,337740587,50914081,116206339,24.0191727386321,19.3320733465771,34.406980822829,15.0749074762519,,,,9806486,9847310,71316009,81163319,81122495,-40824,-0.0502985837728001,24.0312601221363,24.0191727386321,-0.0120873835041984,,,,,,377600559.27359,134004.11897027
4,Longfellow Creek,Duwamish - Green River,9,Duwamish-Green,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,140730515,39868098,42699321,474074,68723,22560231,14638942,20421126,83110216,57620299,28.3293911061151,30.3411957243246,0.33686652820108,0.0488330480422103,16.0308025590612,10.4021093079919,14.5108017262638,59.056286406683,40.943713593317,,,39868098,42699321,140661792,20895200,63594521,28.3432319701998,30.3560194939078,45.2109418597482,14.8549223658405,,,,3980677,5544825,35887421,41432246,39868098,-1564148,-3.77519480841082,29.4552240597077,28.3432319701998,-1.1119920895079,,,,,,140730533.806686,84563.670097618
5,Lower Puget Sound - Seattle,Central Puget Sound,9,Duwamish-Green,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,158951498,52870558,45432511,952268,230323,28319033,17949379,13197426,99485660,59465838,33.2620696660562,28.5826252483635,0.599093441698801,0.144901434021087,17.8161472878978,11.2923622777056,8.3028006442569,62.5886897901396,37.4113102098604,,,52870558,45432511,158721175,14149694,59582205,33.3103368217883,28.624101982612,37.5389137586715,8.9148117760595,,,,5330082,5461137,47540476,53001613,52870558,-131055,-0.247266059619733,33.3929061450055,33.3103368217883,-0.0825693232172,,,,,,158951393.764236,89532.246052899
6,Middle Puget Sound - Seattle Lower,Central Puget Sound,8,Cedar-Sammamish,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,79141193,33846312,22009912,1389563,628365,9313197,5634274,6319570,57874152,21267041,42.7669974598437,27.8109429055486,1.75580244285678,0.793979691461057,11.767824879769,7.11926846996102,7.98518415055987,73.1277224997101,26.8722775002899,,,33846312,22009912,78512828,7709133,29719045,43.1092763592721,28.0335233880507,37.8524704268709,9.8189470388202,,,,2821601,2891779,31024711,33916490,33846312,-70178,-0.20691409989654,43.1986604787691,43.1092763592721,-0.089384119496998,,,,,,79141265.0113831,82907.9854187883
7,Middle Puget Sound - Seattle Upper,Central Puget Sound,8,Cedar-Sammamish,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,15463124,9178391,3686241,156242,110538,1291914,467485,572313,13131412,2331712,59.3566409995807,23.8389150859813,1.01041678253372,0.714849082242372,8.35480592408106,3.02322480243966,3.70114732314117,84.9208219503381,15.0791780496619,,,9178391,3686241,15352586,728555,4414796,59.7840064208075,24.01055431313,28.7560414903392,4.7454871772091,,,,503143,813127,8675248,9488375,9178391,-309984,-3.26698723437891,61.8031060044217,59.7840064208075,-2.0190995836142,,,,,,15463268.6435242,22796.8021798933
8,Pipers Creek,Central Puget Sound,8,Cedar-Sammamish,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,78205480,26953691,23058161,425850,35912,13990797,7699871,6041198,50473614,27731866,34.465220340058,29.4840732388574,0.544527058717624,0.04592005573011,17.8897910990381,9.84569239904927,7.72477580854948,64.5397406933632,35.4602593066368,,,26953691,23058161,78169568,6467048,29525209,34.4810540592984,29.49761856174,37.7707204420012,8.27310188026113,,,,2563914,3060320,24389777,27450097,26953691,-496406,-1.80839433827866,35.1160914692531,34.4810540592984,-0.635037409954698,,,,,,78205481.5576172,47799.1851266361
9,Salmon Creek,Central Puget Sound,9,Duwamish-Green,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,9557982,2189123,3460349,20633,0,1677061,1202866,1007950,5670105,3887877,22.9036108249628,36.2037614216055,0.215871927777223,0,17.5461828657974,12.5849368621954,10.5456360976616,59.3232441743456,40.6767558256544,,,2189123,3460349,9557982,1028583,4488932,22.9036108249628,36.2037614216055,46.9652694470444,10.7615080254388,,,,267574,366519,1921549,2288068,2189123,-98945,-4.32439070866775,23.9388188845721,22.9036108249628,-1.0352080596093,,,,,,9557984.18135071,17513.7818954535
10,Seola Creek,Central Puget Sound,9,Duwamish-Green,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,16171721,5101007,5749401,28604,489,2579528,1523610,1189082,10879501,5292220,31.5427591163612,35.5521901472329,0.176876660189723,0.00302379691066894,15.9508564363682,9.4214462393953,7.35284760354201,67.2748497206945,32.7251502793055,,,5101007,5749401,16171232,1217686,6967087,31.5437129341784,35.5532652057679,43.0832171599542,7.5299519541863,,,,513581,627743,4587426,5215169,5101007,-114162,-2.18903740223951,32.2496702786776,31.5437129341784,-0.705957344499197,,,,,,16171724.2399445,21820.3265756558
