218.raceethnicity,"American Indian/Alaska Native, non-Hwispanic","American Indian/Alaska Native, non-Hispanic"
44.characteristic,Total - Male,"Total - White, non-Hispanic"
216.raceethnicity,"Amereican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
186.raceethnicity,"Asian, non-oHispanic","Asian, non-Hispanic"
217.raceethnicity,"Aemrican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
43.characteristic,Total - Male,"Total - White, non-Hispanic"
291.raceethnicity,"sAian, non-Hispanic","Asian, non-Hispanic"
223.raceethnicity,"American Indian/Alaska Native, non-Hisanic","American Indian/Alaska Native, non-Hispanic"
289.raceethnicity,"Asian, onn-Hispanic","Asian, non-Hispanic"
195.raceethnicity,"sAian, non-Hispanic","Asian, non-Hispanic"
314.raceethnicity,"American Indian/Alaska Ntive, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
310.raceethnicity,"American Indiyan/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
320.raceethnicity,"Americman Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
221.raceethnicity,"Americnan Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
294.raceethnicity,"Asain, non-Hispanic","Asian, non-Hispanic"
311.raceethnicity,"Amefrican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
319.raceethnicity,"American Indian/Alaska Native ,non-Hispanic","American Indian/Alaska Native, non-Hispanic"
219.raceethnicity,"American Indian/Alaska Native, nodn-Hispanic","American Indian/Alaska Native, non-Hispanic"
309.raceethnicity,"American Indian/AlaskaNative, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
321.raceethnicity,"American Indian/Alaska Native, non-Hipanic","American Indian/Alaska Native, non-Hispanic"
222.raceethnicity,"American Indian/Alaska Native, nno-Hispanic","American Indian/Alaska Native, non-Hispanic"
220.raceethnicity,"American Indian/Alaska Nativse, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
318.raceethnicity,"American Indian/Alaska Naptive, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
313.raceethnicity,"American Indian/Alaska Natidve, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
322.raceethnicity,"American Indian/Alaska Native, non-Hipanic","American Indian/Alaska Native, non-Hispanic"
316.raceethnicity,"Amerdican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
224.raceethnicity,"American ndian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
191.raceethnicity,"Asian, nno-Hispanic","Asian, non-Hispanic"
