288.raceethnicity,"American IndianA/laska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
177.raceethnicity,"sian, non-Hispanic","Asian, non-Hispanic"
205.raceethnicity,"American Indian/Alaska Natieve, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
198.raceethnicity,"American Indian/Alaskaf Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
206.raceethnicity,"American Indian/Alaska Native, non-Hispainc","American Indian/Alaska Native, non-Hispanic"
298.raceethnicity,"Amerian Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
182.raceethnicity,"Asian, non-Hispainc","Asian, non-Hispanic"
265.raceethnicity,"Asian, non-iHspanic","Asian, non-Hispanic"
199.raceethnicity,"American Indian/Alaska Native, non-Hipanic","American Indian/Alaska Native, non-Hispanic"
208.raceethnicity,"American Indian/Alaska Ntive, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
180.raceethnicity,"Agsian, non-Hispanic","Asian, non-Hispanic"
291.raceethnicity,"American Indian/Alaska Native, nno-Hispanic","American Indian/Alaska Native, non-Hispanic"
287.raceethnicity,"American Indian/Alaksa Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
204.raceethnicity,"American Indian/Alaska Native, nomn-Hispanic","American Indian/Alaska Native, non-Hispanic"
297.raceethnicity,"American Indian/Alaska Native, on-Hispanic","American Indian/Alaska Native, non-Hispanic"
296.raceethnicity,"American Indian/Alaska Native, no-Hispanic","American Indian/Alaska Native, non-Hispanic"
267.raceethnicity,"Asain, non-Hispanic","Asian, non-Hispanic"
289.raceethnicity,"American Indian/Alaska Native, non-Hispanoic","American Indian/Alaska Native, non-Hispanic"
293.raceethnicity,"American Indian/Alasgka Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
290.raceethnicity,"American Indian/Alaska Nativ,e non-Hispanic","American Indian/Alaska Native, non-Hispanic"
299.raceethnicity,"American Indian/Alaska Native, non-Hipanic","American Indian/Alaska Native, non-Hispanic"
203.raceethnicity,"American Indian/AlaskaNative, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
269.raceethnicity,"Asina, non-Hispanic","Asian, non-Hispanic"
292.raceethnicity,"American Indian/Alaska Natiyve, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
