objectid,cyclevalue,id_three_zero_five_b,watername,locationvalue,watersize,sizeunit,watertype,nhdbasin,ctlakeid,classid,classname,aquatic_life_attainment_code,aquatic_life_attainment,recreational_attainment_code,recreational_attainment,fish_consumptin_attainment_code,fish_consumption_attainment,drinking_water_attainment_code,drinking_water_attainment,impaired,shape_length,shape_area
1.0,2018,CT7103-00-2-L5_01,Pembroke Lakes (Bridgeport),"Just upstream of Yellow Mill Channel, US side of RailRoad crossing, and DS of Stillman Pond and Route 1 crossing, Bridgeport. (Includes Arms Pond, Remington Arms Company Pond, and Barnum Avenue Pond)",2.74,ACRES,FRESHWATER LAKE,1100006,2381.0,49,Inland Surface Waters Class B,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,3245.84224242884,119447.385118331
2.0,2018,CT8104-00-2-L5_01,Mamanasco Lake (Ridgefield),Northwest Ridgefield.,85.9,ACRES,FRESHWATER LAKE,2030101,1756.0,50,Inland Surface Waters Class AA,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,X,UNASSESSED,Yes,11258.4021938634,3741697.38323461
3.0,2018,CT7409-00-1-L3_01,Putnam Lake Reservoir (Greenwich),"Impoundment of Horseneck Brook, just south of Rt. 15, Greenwich.",95.56,ACRES,FRESHWATER LAKE,1100006,2334.0,50,Inland Surface Waters Class AA,N,NOT SUPPORTING,I,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,Yes,14645.9219289448,4162510.79053793
4.0,2018,CT7105-10-1-L2_01,Forest Lake (Bridgeport),"Headwaters of Island Brook, a tributary to the Pequonnock River, Bpt.",66.58,ACRES,FRESHWATER LAKE,1100006,1501.0,48,Inland Surface Waters Class A,I,UNASSESSED,I,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,13890.2632894758,2900470.57259109
5.0,2018,CT7103-00-2-L3_01,Success Lake (Bridgeport),"US of Stillman Pond, Pembroke Lakes & Yellowmill Channel, Bridgeport.",15.79,ACRES,FRESHWATER LAKE,1100006,2798.0,48,Inland Surface Waters Class A,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,4462.58250687571,687951.067686039
6.0,2018,CT7103-00-2-L4_01,Stillman Pond (Bridgeport),"Upstream of Yellow Mill Channel, Bridgeport. Downstream of Success Lake.",4.97,ACRES,FRESHWATER LAKE,1100006,2759.0,49,Inland Surface Waters Class B,I,UNASSESSED,X,UNASSESSED,N,NOT SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,3312.56720850954,216249.040854317
7.0,2018,CT5200-00-4-L2_01,Hanover Pond (Meriden),"Southwest corner of Meriden, impoundment along Quinnipiac River below Gorge.",70.53,ACRES,FRESHWATER LAKE,1100004,1148.0,49,Inland Surface Waters Class B,N,NOT SUPPORTING,N,NOT SUPPORTING,N,NOT SUPPORTING,X,Water Not Classified For Drinking Supply,Yes,11639.4607225251,3072259.65923727
8.0,2018,CT5207-00-1-L1_01,North Farms Reservoir (Wallingford),"0.5 miles west of Rt. 91, north side of Rt. 68, Wallingford. Headwaters of Wharton Brook.",66.07,ACRES,FRESHWATER LAKE,1100004,2030.0,48,Inland Surface Waters Class A,I,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,9620.46209089377,2878025.34371249
9.0,2018,CT5207-02-1-L1_01,Allen Brook Pond (North Haven/Wallingford),"Impoundment of Allen Brook, just US mouth at confluence Wharton Brook. Includes CT DEEP State swimming area and Trout Park within Wharton Brook State Park. Between Route 5 and I91 (exit 13), Wallingford/North Haven town lines.",4.79,ACRES,FRESHWATER LAKE,1100004,24.0,48,Inland Surface Waters Class A,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,2759.56665170985,208496.927382221
10.0,2018,CT5110-04-1-L1_01,Quonnipaug Lake (Guilford),"Guilford just east of Rt 77, 2 miles north of Rt 80.",96.1,ACRES,FRESHWATER LAKE,1100004,2346.0,48,Inland Surface Waters Class A,F,FULLY SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,18247.4262677462,4186133.74967877
11.0,2018,CT5105-00-2-L1_01,Schreeder Pond (Killingworth),"CT DEEP Chatfield Hollow State Park. Impoundment of Chatfield Hollow Brook, US of Rte 80 crossing, Killingworth.",3.94,ACRES,FRESHWATER LAKE,1100004,2544.0,48,Inland Surface Waters Class A,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,X,Water Not Classified For Drinking Supply,No,2715.78116163805,171589.36393193
