objectid(long),nlcsid,trailtype,nshtsgmntno,nlcsname,famsid,casefileno,mngagcy,adminst,nhtcndctgy,coordsrctype,deffettype,accuracyft(long),global_id,shape_length(double precision)
711.0,NLCS000851,Historic,UT00000001,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{15B16687-5F6E-4638-9526-A568F39E0B30},15037.234661677
727.0,NLCS000851,Historic,UT00000002,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{93F88A07-9701-41FE-946E-B0934BA99530},1252.82284574042
713.0,NLCS000851,Historic,UT00000003,Caliofrnia Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{FDB971B2-F586-430E-A5B1-C8C97AC44253},9223.971815926
714.0,NLCS000851,Historic,UT00000004,alifornia Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{0E902E02-2119-4996-A1D0-07A62AD58607},5208.87103958977
716.0,NLCS000851,Historic,UT00000005,Californtia Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{D81EF1A4-71C7-4A77-B330-E4F561E63FC2},2818.12232944285
716.0,NLCS000851,Historic,UT00000006,California Taril,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{2281C8B6-8E2E-4B3B-9184-E525B9B8B577},17405.0858666975
717.0,NLzCS000851,Historic,UT00000007,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{780AA8F4-DCCB-4E93-B4E1-023A8F16A74C},1815.78477954643
719.0,NLCS000851,Historic,UT00000008,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{0187A111-6214-44C7-AAA7-0AC4A745E505},1374.22945078847
719.0,NLCS000851,Historic,UT00000009,Califronia Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{6BFFA123-D382-4BED-9902-1B7407477C2B},2941.31439906656
720.0,NLCS00851,Historic,UT00000010,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{FDB971B2-F586-430E-A5B1-C8C97AC44253},1319.17945622473
721.0,NLCS000851,Historic,UT00000011,Califorina Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{E8E80A8F-7F46-48A4-BCE6-7C35EF547539},1005.99740199122
722.0,NLCS000851,Historic,UT00000012,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{6E913850-228C-4B83-8070-0E2F29BC944C},34626.5097526504
723.0,NLCS000851,Historic,UT00000013,Californisa Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{30DEBDED-5036-46D7-BF6F-93510415ACD6},584.91786898384
724.0,NLCS000851,Historic,UT00000014,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{D64E76CF-1FD3-43AD-AD2F-DEF40B6B3C3C},528.411214544132
723.0,NLCS000851,Historic,UT00000015,California Tral,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{D49EF2F2-2C4A-4061-9888-0E8797582F53},24464.8847580483
726.0,NLS000851,Historic,UT00000016,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{93F88A07-9701-41FE-946E-B0934BA99530},6366.32342978676
727.0,NdLCS000851,Historic,UT00000017,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{094BB7BF-3EC2-44E7-9DC9-76911454DC8C},3566.53389045825
714.0,NLCS0008i51,Historic,UT00000018,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{F8540A30-BF36-41BA-A8DA-9997FF622B1B},3349.09135930122
711.0,NLC0S00851,Historic,UT00000019,California Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{93F88A07-9701-41FE-946E-B0934BA99530},2643.81917522809
730.0,NLCS000851,Historic,UT00000020,Califorinia Trail,Unknown,UNK,NPS,UT,NHT V,UNK,UNK,-1,{0187A111-6214-44C7-AAA7-0AC4A745E505},2143.54882059973
