field_name,dedicated_division,facility,neighborhood,battting_cage,concession_stand,back_stop,infield,goal_post,lights,leftvalue,center,rightvalue,permit,drag,pashek_map_number,field_renovated,cd,lights_renovated,control_link
Ammon Field #1,Schenley,AMMON PLAYGROUND,Bedford Dwellings,1.0,1.0,1.0,1.0,2.0,1.0,325,281,294,Yes,Yes,3.0,2008 (R Sprow ),Yes,Yes 2009,Yes
Ammon Field #2,Schenley,AMMON PLAYGROUND,Bedford Dwellings,1.0,1.0,1.0,1.0,2.0,1.0,279,200,227,Yes,Yes,4.0,2008 (R Sprow ),Yes,Yes 2009,Yes
Arlington Field #1,Southern,ARLINGTON PLAYGROUND,Southside Slopes,1.0,1.0,1.0,1.0,2.0,1.0,250,250,250,Yes,Yes,5.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,Yes
Armstrong Field,Southern,ARMSTRONG PLAYGROUND,Southside Flates,1.0,1.0,1.0,1.0,2.0,1.0,231,174,120,Yes,Yes,7.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Arsenal Band Box,Northeast,ARSENAL PARK,Lower Lawrenceville,1.0,1.0,1.0,1.0,2.0,1.0,194,190,169,Yes,Yes,8.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Arsenal Middle,Northeast,ARSENAL PARK,Lower Lawrenceville,1.0,1.0,1.0,1.0,2.0,1.0,266,210,205,Yes,Yes,9.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Banksville Field,Western,BANKSVILLE PARK,Bankville,1.0,1.0,1.0,1.0,2.0,1.0,300,300,300,Yes,Yes,10.0,2009 (Plavchak),No,Yes 2009,No
Banksville School Field,Western,BANKSVILLE SCHOOL,Bankville,1.0,1.0,1.0,1.0,2.0,1.0,180,200,190,Yes,Yes,11.0,"2005 (R. Sprow $6,693.70), 2008 ( Plavchak $3,416.28)",No,Yes 2009,Yes
Bigbee Field,Southern,BIGBEE FIELD,Allentown,1.0,1.0,1.0,1.0,2.0,1.0,200,200,250,Yes,No,12.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Bill Stolz Field #2,Southern,ARLINGTON PLAYGROUND,Southside Slopes,1.0,1.0,1.0,1.0,2.0,1.0,180,190,180,Yes,Yes,6.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,Yes
Braddock Field #1,Eastern,FRICK PARK,Squirrel Hill South,1.0,2.0,1.0,1.0,2.0,1.0,326+,336,260+,Yes,Yes,47.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Braddock Field #2,Eastern,FRICK PARK,Squirrel Hill South,1.0,2.0,1.0,1.0,2.0,1.0,408,362,267,Yes,Yes,48.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Brighton Hights Field # 4,Northern,BRIGHTON HEIGHTS PARK,Brighton Heights,1.0,1.0,1.0,1.0,2.0,1.0,374,361,194,Yes,Yes,18.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Brighton Hights Field # 5,Northern,BRIGHTON HEIGHTS PARK,Brighton Heights,1.0,1.0,1.0,1.0,2.0,1.0,318,363,263,Yes,Yes,19.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Brighton Hights Field #1,Northern,BRIGHTON HEIGHTS PARK,Brighton Heights,1.0,1.0,1.0,1.0,2.0,1.0,228,238,300+,Yes,Yes,15.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Brighton Hights Field #2,Northern,BRIGHTON HEIGHTS PARK,Brighton Heights,1.0,1.0,1.0,1.0,2.0,1.0,260,375,252,Yes,Yes,16.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Broadhead manor,Western,BROADHEAD MANOR FIELD,Broadhead Manor,1.0,1.0,1.0,1.0,2.0,1.0,200,200,250,Yes,Yes,1.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Brookline T-ball,Southern,BROOKLINE MEMORIAL FIELD,Brookline,1.0,2.0,1.0,1.0,2.0,1.0,200,200,250,Yes,Yes,1.0,2003 (Built in house),No,Yes 2009,No
Bud Hammer Field,Schenley,BUD HAMMER PLAYGROUND,Hazelwood,1.0,1.0,1.0,1.0,2.0,1.0,180,190,177,Yes,Yes,25.0,"2004 (R.Sprow 6,953.50)",Yes,Yes 2009,No
Burgwin Field,Schenley,BURGWIN PLAYGROUND,Hazelwood,1.0,1.0,1.0,1.0,1.0,1.0,327,310,298,Yes,Yes,26.0,"2004 (R.Sprow 11,202.13)",Yes,Yes 2009,Yes
Camelius Sangnini Field # 6,Northern,BRIGHTON HEIGHTS PARK,Brighton Heights,1.0,1.0,1.0,1.0,2.0,1.0,197,196,197,Yes,Yes,20.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Carmalt School Field,Southern,CARMALT SCHOOL,Overbrook,1.0,1.0,1.0,1.0,2.0,1.0,200,200,250,Yes,Yes,27.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Chadwick Field,Eastern,CHADWICK REC CENTER,Lincoln-Lemington-Belmar,1.0,1.0,1.0,1.0,2.0,1.0,200,200,250,Yes,Yes,28.0,2007 / 2009,Yes,Yes 2009,No
Chartiers Field #1,Western,CHARTIERS PLAYGROUND,Windgap,1.0,1.0,1.0,1.0,2.0,1.0,305,340,360,Yes,Yes,29.0,"2004 (R. Sprow $8,818.84)",No,Yes 2009,Yes
Chartiers Field #2,Western,CHARTIERS PLAYGROUND,Windgap,1.0,1.0,1.0,1.0,2.0,1.0,360,340,305,Yes,No,30.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,Yes
Cowley Field #1,Northern,COWLEY PLAYGROUND,Troy Hill,1.0,1.0,1.0,1.0,2.0,1.0,248,264,178,Yes,Yes,31.0,"2004 (R.Sprow $7,576.48)",Yes,Yes 2009,Yes
Cowley Field #2,Northern,COWLEY PLAYGROUND,Troy Hill,1.0,1.0,1.0,1.0,2.0,1.0,217,220,170,Yes,Yes,32.0,"2004 (R.Sprow $9,031.20)",Yes,Yes 2009,Yes
Dan Marino Field,Schenley,FRAZIER PLAYGROUND,South Oakland,1.0,1.0,1.0,1.0,2.0,1.0,200,200,250,Yes,Yes,46.0,"2004 (R. Sprow $6,794.00)",Yes,Yes 2009,Yes
Dan McGibbeny Field,Southern,BROOKLINE MEMORIAL FIELD,Brookline,1.0,2.0,1.0,1.0,2.0,1.0,200,197,197,Yes,Yes,22.0,"2008 ( Plavchak $13,907.80)",No,Yes 2009,No
Dean Field,Northeast,BLOOMFIELD PLAYGROUND,Bloomfield,1.0,1.0,1.0,1.0,2.0,1.0,311,260,241,Yes,No,14.0,2007,Yes,Yes 2009,Yes
Devlin Field,Southern,DEVLIN FIELD,Arlington,1.0,1.0,1.0,1.0,2.0,1.0,276,285,269,Yes,Yes,33.0,"2008 ( Plavchak $13,907.80)",Yes,Yes 2009,No
Dilworth Field #1,Western,MT WASHINGTON PARK,Mount Washington,1.0,1.0,1.0,1.0,2.0,1.0,172,157,210,Yes,Yes,85.0,"2005 (R. Sprow $9,360.90)",Yes,Yes 2009,Yes
Dilworth Field #2,Western,MT WASHINGTON PARK,Mount Washington,1.0,1.0,1.0,1.0,2.0,1.0,148,154,193,Yes,Yes,86.0,"2005 (R. Sprow $9,360.90)",Yes,Yes 2009,Yes
Dinan Field,Northeast,DINAN PLAYGROUND,Stanton Heights,1.0,1.0,1.0,1.0,2.0,1.0,318,290,282,Yes,Yes,34.0,2009 (Plavchak),No,Yes 2009,No
Dunbar Field #1,Western,DUNBAR PLAYGROUND,Crafton Heights,1.0,1.0,1.0,1.0,2.0,1.0,177,350,300,Yes,Yes,35.0,"2004 (R. Sprow $7,780.49)",No,Yes 2009,Yes
Dunbar Field #2,Western,DUNBAR PLAYGROUND,Crafton Heights,1.0,1.0,1.0,1.0,2.0,1.0,200,200,250,Yes,Yes,36.0,"2004 (R. Sprow $6,128.29)",No,Yes 2009,Yes
