643.stublabel,Under 18 years,400% or more
64.stubname,Aeg,Age
1699.yearvalue,20072-009,2007-2009
2262.stublabel,Not Hispanic or Latino: hWite only,Not Hispanic or Latino: White only
250.yearvalue,2014-2016,2010-2012
2314.age,Under 18 eyars,Under 18 years
2320.yearnum,15,10
834.yearvalue,2009-2011,2010-2012
2064.stubname,gAe,Age
1465.stubname,Raec,Race
1340.yearnum,76,8
1110.stublabel,Under 18 years,Black or African American only
451.stubnamenum,80,2
635.panelnum,1.0,2
2230.stubnamenum,16,4
2595.age,Underx 18 years,Under 18 years
2483.yearvalue,007-2009,2007-2009
1171.stubname,Racse,Race
764.panelnum,1.0,3
1365.age,0- 4years,0-4 years
2561.age,Unde r18 years,Under 18 years
1133.panelnum,1.0,4
213.panel,Current asthma among persons under1 8 years,Current asthma among persons under 18 years
1262.stubname,Perecnt of poverty level,Percent of poverty level
360.stublabelnum,39.0,0.0
336.stubnamenum,1.0,6
1051.panelnum,1.0,4
669.yearnum,2.0,7
1568.age,Under 18 ears,Under 18 years
2320.panelnum,16,7
2631.stubnamenum,49,4
375.yearvalue,2003-2005,2009-2011
1856.stubnamenum,87,3
123.age,Udner 18 years,Under 18 years
450.panelnum,1.0,2
200.stublabelnum,0.0,4.2
1159.yearnum,21,11
893.panelnum,1.0,3
2597.stubnamenum,38,4
310.stubnamenum,1.0,6
293.panel,Current asthma among peirsons under 18 years,Current asthma among persons under 18 years
554.yearnum,1.0,4
1906.yearvalue,20002-002,2000-2002
1473.panelnum,103,5
2682.yearnum,17,8
1756.yearnum,64,6
975.panelnum,1.0,3
1914.age,Under 81 years,Under 18 years
2506.panel,Ekar infections among persons under 18 years,Ear infections among persons under 18 years
2688.stubnamenum,8,5
682.panelnum,1.0,2
1772.yearnum,101,8
2186.stublabelnum,83.4,3.4
1426.panelnum,101,5
1519.stubname,ace,Race
2493.stublabelnum,97.1,3.1
92.panel,Current asthma among persons under 18 yaers,Current asthma among persons under 18 years
688.stublabel,0-4 years,Insured: Medicaid
2519.panel,Ear infections amnong persons under 18 years,Ear infections among persons under 18 years
846.panelnum,1.0,3
2091.stubname,uAge,Age
1896.yearnum,99,6
1275.age,Under 81 years,Under 18 years
2439.stublabelnum,76.21,1.21
329.panel,Current asthma among persons under 18years,Current asthma among persons under 18 years
928.stubnamenum,1.0,5
412.stublabel,Under 18 years,10-17 years
790.panelnum,1.0,3
1358.yearnum,63,12
499.stublabelnum,58.4,3.4
1576.panelnum,37,5
1585.stubnamenum,85,5
349.stubnamenum,1.0,6
357.stubnamenum,4.0,0
77.yearnum,9.0,4
609.panelnum,1.0,2
1955.yearnum,66,9
506.panelnum,1.0,2
424.panelnum,1.0,2
949.panelnum,1.0,3
2279.yearnum,79,11
2571.age,Under 18 yeafrs,Under 18 years
1503.stubname,nRace,Race
449.stublabel,Under 18 years,Female
576.stublabel,0-4 years,Not Hispanic or Latino: White only
437.age,Under 18i years,Under 18 years
1688.panelnum,31,5
1562.yearnum,28,8
2437.stublabelnum,12.21,1.21
2514.yearnum,89,8
218.stublabel,Under 18 years,Not Hispanic or Latino: White only
591.stublabel,Under 18 years,Not Hispanic or Latino: Black or African American only
2214.stubname,eRace,Race
767.stubnamenum,32,2
768.age,Under 18 yaers,Under 18 years
1813.yearnum,9,7
1727.yearvalue,2007-2090,2007-2009
2188.age,Under 18 yeas,Under 18 years
1726.stubnamenum,72,1
347.yearnum,2.0,8
1515.age,Undelr 18 years,Under 18 years
542.stublabelnum,1.1,4.1
305.yearvalue,2014-2016,2010-2012
988.yearvalue,2003-2005,2010-2012
656.stubnamenum,1.0,6
2222.panelnum,26,7
743.panelnum,1.0,3
309.stublabel,Under 18 years,Insured
2277.age,Under 18 iyears,Under 18 years
397.stublabel,Under 18 years,5-9 years
2552.stubnamenum,73,3
760.panel,ADHD among persons unde 18 years,ADHD among persons under 18 years
2482.stubname,eSx,Sex
2234.stubname,Hispanic origin and rlace,Hispanic origin and race
1350.yearvalue,u2006-2008,2006-2008
2058.stublabelnum,3.0,0.0
734.stublabel,Under 18 years,10-17 years
169.yearvalue,2012-2014,2014-2016
184.stublabelnum,0.0,3.6
2656.panelnum,15,8
680.panel,Asthma attack in last 12 months among personas under 18 years,Asthma attack in last 12 months among persons under 18 years
166.stublabel,Under 18 years,Native Hawaiian or Other Pacific Islander only
905.yearvalue,2000-2002,2011-2013
2172.panelnum,32,7
