objectid(long),schoolname,schooltype,typedesc,grades,streetnumber(long),streetname,city,zip(long),homeurl,schyr,region(long),global_id,creation_date,creator,edit_date,editor,shape_area(double precision),shape_length(double precision)
3973.0,CHANTILLY,HS,High,9-12,4700,MEDFORD DR,ANNANDALE,22003,https://annandalehs.fcps.edu/,2023_24,6,abb6c345-6c01-4e33-8052-78ed325e860d,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,235715473.070313,94377.2956687832
3973.0,CHANTILLY,HS,High,9-12,6001,UNION MILL RD,CLIFTON,20124,https://centrevillehs.fcps.edu/,2023_24,4,abb6c345-6c01-4e33-8052-78ed325e860d,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,434900203.414063,131005.031771744
3973.0,CHANTILLY,HS,High,9-12,4201,STRINGFELLOW RD,CHANTsILLY,20151,https://chantillyhs.fcps.edu/,2023_24,5,abb6c345-6c01-4e33-8052-78ed325e860d,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,288903722.382813,93129.2520718654
3974.0,EDISON,HS,High,9-12,5801,FRANCONIA RD,ALEXANDRIA,22310,https://edisonhs.fcps.edu/,2023_24,3,0124054e-ccdc-486d-bfb4-7101a1b20636,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,324406725.34375,119463.109073655
3975.0,FAIRFAX,HS,High,9-12,3501,LION RUN,FAIRFAX,22030,https://fairfaxhs.fcps.edu/,2023_24,5,bc62334e-0f31-461f-b2be-9f89b37944d5,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,466436497.945313,183220.397625433
3976.0,FALLS CHURCH,HS,High,9-12,7521,JAGUAR TRL,FALLS CHURCH,22042,https://fallschurchhs.fcps.edu/,2023_24,2,ecbcd8a8-b463-4d8b-8dec-5a337a25c221,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,282774417.34375,105103.79515673
3977.0,HAYFIELD,HS,High,9-12,7630,TELEGRAPH RD,ALEXANDRIA,22315,https://hayfieldss.fcps.edu/,2023_24,6,3639e589-2180-4a86-8630-425f6cddc6c0,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,273215550.507813,143620.111814402
3978.0,HERNDON,HS,High,9-12,700,BENNETT ST,BENNETT ST,20170,https://herndonhs.fcps.edu/,2023_24,1,e4cbe393-90b9-4eb8-84bc-a8c3b20117f5,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,287715102.8125,105145.127606993
3979.0,JUSTICE,HS,High,9-12,3301,PEACE VALLEY LN,FALLS CHURCH,22044,https://justicehs.fcps.edu/,2023_24,2,6b43a959-6686-460f-ae6f-5e618698dfbe,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,234900075.890625,80961.006752477
3980.0,LAKE BRADDOCK,HS,High,9-12,9200,BURKE LAKE RD,BURKE,22015,https://lakebraddockss.fcps.edu/,2023_24,4,945d031d-dd67-4e4c-8e86-c1b84824b111,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,485369100.796875,227820.654925748
3981.0,LANGLEY,HS,High,9-12,6520,GEORGETOWN PIKE,MCLEAN,22101,https://langleyhs.fcps.edu/,2023_24,1,a84c2e5e-24c1-47d2-9868-6cc36951b831,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,1280000629.24219,242292.288396651
3982.0,LEWIS,HS,High,9-12,6540,FRANCONIA RD,SPRINGFIELD,22150,https://lewishs.fcps.edu/,2023_24,6,910536eb-61e4-482f-91e1-1195ef2dc6b3,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,313723473.242188,99831.1365317277
3983.0,MADISON,HS,High,9-12,2500,JAMES MADISON DR,VIENNA,22181,https://madisonhs.fcps.edu/,2023_24,1,fe71dd7a-4357-4244-91fb-45553d24ebc7,2023/10/29 05:02:43.469+00,FairfaxCounty,2023/10/29 05:02:43.469+00,FairfaxCounty,397929041.335938,148361.81422819
