15.ct_two_zero_two_zero_aql_use_attainment,Fully Suporting,Fully Supporting
15.classid,50,49
19.ct_two_zero_two_zero_dw_use_usename,Not Classified Fo rDrinking Water,Not Classified For Drinking Water
1.ctlakeid,1756.0,2381
3.locationdescription,"US of Stillman Pond, Pembroke Lakes & Yellowmill Channel, Bridgeport.","Impoundment of Horseneck Brook, just south of Rt. 15, Greenwich."
4.assessmentunitid,CT7409-00-1-L3_01,CT7103-00-2-L3_01
1.classid,88,49
2.useclassname,INLAND SURFACE WATERSn CLASS AA,INLAND SURFACE WATERS CLASS AA
15.ct_two_zero_two_zero_rec_use_attainment,Not Supoprting,Not Supporting
3.watersize,85.9,95.56
1.ct_two_zero_two_zero_dw_use_usename,Not Classified For Drining Water,Not Classified For Drinking Water
15.ct_two_zero_two_zero_dw_use_attainment,Not Evaluaed,Not Evaluated
1.locationdescription,Northwest Ridgefield.,"Just upstream of Yellow Mill Channel, US side of RailRoad crossing, and DS of Stillman Pond and Route 1 crossing, Bridgeport. (Includes Arms Pond, Remington Arms Company Pond, and Barnum Avenue Pond)"
19.useclassname,INLAND SURFACE WATERS CALSS B,INLAND SURFACE WATERS CLASS B
15.ct_two_zero_two_zero_fshcon_use_attainment,Not Supporing,Not Supporting
19.nhdbasin,1100017,1100005
2.shape_length,3245.84224242884,11258.4021938634
1.watersize,15.79,2.74
2.assessmentunitname,Pembroke Lakes (Bridgeport),Mamanasco Lake (Ridgefield)
2.assessmentunitid,CT7409-00-1-L3_01,CT8104-00-2-L5_01
3.assessmentunitname,Success Lake (Bridgeport),Putnam Lake Reservoir (Greenwich)
1.assessmentunitid,CT7409-00-1-L3_01,CT7103-00-2-L5_01
