facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,permitnumber(long),premisename,premiseaddress,premisecity,premisestate,premisezip(long),inspection_area(long),openingdate,object_id(long)
695,SWIMMING AREA,191.0,WADING POOL,77694.0,VILLAGE AT PRESTON CROSSINGS,9701 PRESTON SPRING DR,LOUISVILLE,KY,40229,27,2007/02/23 00:00:00,1.0
695,SWIMMING AREA,191.0,WADING POOL,90171.0,SHAKES RUN,16901 SHAKES CREEK DR,LOUISVILLE,KY,40243,22,2012/05/24 00:00:00,2.0
695,SWIMMING AREA,199.0,WADING POOL,29337.0,DOUGLASS HILLS SWIM CLUB,501 GATEHOUSE LN,LOUISVILLE,KY,40243,25,1988/06/07 00:00:00,3.0
695,SWIMMING AREA,191.0,SWIMMING POOL,29738.0,THE HARBOR CONDOMINIUM,6413 MARINA DR,LOUISVILLE,KY,40059,21,1990/09/17 00:00:00,4.0
695,SWIMMING AREA,191.0,SWIMMING POOL,77834.0,AUSTIN PARK,201 PHEASANT AVE,FAIRDALE,KY,40118,23,2007/03/29 00:00:00,2.0
695,SWIMMING AREA,191.0,SWIMMING POOL,90715.0,NORTON COMMONS - BERGAMONT POOL,8921 COLTSFOOT TRACE,PROSPECT,KY,40059,21,2012/10/09 00:00:00,2.0
695,SWIMMING AREA,192.0,SWIMMING POOL,29338.0,DOUGLASS HILLS SWIM CLUB,501 GATEHOUSE LN,LOUISVILLE,KY,40243,25,1988/06/07 00:00:00,7.0
695,SWIMMING AREA,191.0,SWIMMING / DIVING POOL,29742.0,AMERICAN TURNERS OF LOUISVILLE,3125 RIVER RD,LOUISVILLE,KY,40207,24,1988/06/23 00:00:00,8.0
695,SWIMMING AREA,197.0,SPA,77941.0,KORT,12613 TAYLORSVILLE RD SUITE 118,LOUISVILLE,KY,40299,22,2007/03/30 00:00:00,7.0
695,SWIMMING AREA,191.0,SWIMMING POOL,90786.0,THE PINES CONDOS,3721 BARDSTOWN RD,LOUISVILLE,KY,40218,27,2012/06/04 00:00:00,10.0
695,SWIMMING AREA,192.0,SWIMMING / DIVING POOL,29340.0,EP TOM SAWYER STATE PARK,3000 FREYS HILL RD,LOUISVILLE,KY,40241,21,1988/06/07 00:00:00,11.0
695,SWIMMING AREA,191.0,WADING POOL,29747.0,CRESCENT SPRINGS CONDOMINIUM,408 LEDGEVIEW PARK DRIVE,LOUISVILLE,KY,40206,26,1990/08/22 00:00:00,2.0
695,SWIMMING AREA,191.0,SWIMMING POOL,78036.0,OVERLOOK AT ST THOMAS,6800 STEEPRUN RD,LOUISVILLE,KY,40241,21,2007/04/17 00:00:00,13.0
695,SWIMMING AREA,191.0,SWIMMING POOL,91385.0,PARK LAUREATE APARTMENTS,2050 STONEYBROOK DRIVE,LOUISVILLE,KY,40220,29,2012/07/17 00:00:00,2.0
695,SWIMMING AREA,191.0,SWIMMING POOL,29338.0,EAST HAMPTON CONDOS,10500 TIMBERWOOD CIRCLE,LOUISVILLE,KY,40223,29,1988/06/07 00:00:00,15.0
695,SWIMMING AREA,191.0,SWIMMING / DIVING POOL,29748.0,WISTERIA LANDING CONDOMINIUMS,6301 WISTERIA VIEW LN,LOUISVILLE,KY,40218,27,1989/06/20 00:00:00,16.0
