objectid(long),statefp(long),countyfp(long),tractce(long),geoid(long),namevalue(double precision),namelsad,mtfcc,funcstat,aland(long),awater(long),li_cor_dac,shape_area(double precision),shape_length(double precision)
1.0,6,37,139200.0,6037139200.0,1392.0,Census Tract 1392,G5020,S,1152031.0,0,LIC,1687319.19140625,5170.05380973649
2.0,6,37,143200.0,6037143200.0,1432.0,Census Tract 1432,G5020,S,957093.0,0,Both,1400949.5234375,5182.11921080899
3.0,6,37,201301.0,6037201301.0,2013.01,Census Tract 2013.01,G5020,S,866188.0,0,Both,1266062.875,7211.37944676736
4.0,6,37,201401.0,6037201401.0,2014.01,Census Tract 2014.01,G5020,S,1279500.0,28686,Both,1911762.359375,5706.54437597325
5.0,6,37,201402.0,6037201402.0,2014.02,Census Tract 2014.02,G5020,S,1941232.0,0,Both,2836120.875,7003.34503482317
6.0,6,37,139302.0,6037139302.0,1393.02,Census Tract 1393.02,G5020,S,338288.0,0,Both,495484.296875,2938.53692242629
7.0,6,37,139502.0,6037139502.0,1395.02,Census Tract 1395.02,G5020,S,1047548.0,0,LIC,1533835.921875,6256.07826386147
8.0,6,13,201401.0,6013336201.0,3362.01,Census Tract 3362.01,G5020,S,1256563.0,0,Both,2024724.8671875,6256.07826386147
9.0,6,37,181600.0,6037181600.0,1816.0,Census Tract 1816,G5020,S,1250035.0,0,LIC,1828892.28515625,7003.34503482317
10.0,6,37,201402.0,6037183101.0,1831.01,Census Tract 1831.01,G5020,S,948156.0,19799,LIC,1415950.36328125,5182.11921080899
11.0,6,37,139302.0,6037183220.0,1838.2,Census Tract 1832.20,G5020,S,535234.0,0,LIC,782907.875,4907.77012789812
12.0,6,37,183300.0,6037183300.0,1833.0,Census Tract 1833,G5020,S,541305.0,0,LIC,791809.5078125,3784.33595472837
6.0,6,37,201402.0,6037183510.0,1835.1,Census Tract 1835.10,G5020,S,500438.0,0,LIC,731936.73828125,3853.19170418149
14.0,6,37,181600.0,6037183520.0,1835.2,Census Tract 1835.20,G5020,S,427707.0,0,LIC,625490.94921875,3382.65553130786
15.0,6,37,139502.0,6037183610.0,1836.1,Census Tract 1836.10,G5020,S,378643.0,0,LIC,553778.4921875,3617.14066767908
16.0,6,1,442500.0,6001442500.0,4425.0,Census Tract 4425,G5020,S,1959818.0,0,LIC,3122277.35546875,7211.37944676736
8.0,6,37,181600.0,6037183820.0,1838.2,Census Tract 1838.20,G5020,S,308656.0,0,LIC,451313.2734375,7211.37944676736
9.0,6,37,139302.0,6037185202.0,1836.1,Census Tract 1852.02,G5020,S,3960101.0,0,Both,1828892.28515625,4907.77012789812
12.0,6,37,183300.0,6037185310.0,2014.02,Census Tract 1853.10,G5020,S,421083.0,0,Both,615533.94140625,4482.88992040411
20.0,6,111,201301.0,6111003011.0,2.0,Census Tract 30.11,G5020,S,859112.0,0,LIC,1400949.5234375,4907.77012789812
4.0,6,111,1206.0,6037201301.0,12.06,Census Tract 12.06,G5020,S,100900703.0,8236035,LIC,495484.296875,6256.07826386147
22.0,6,111,3012.0,6111003012.0,30.12,Census Tract 30.12,G5020,S,801273.0,12032,LIC,1192884.72265625,6101.62882049654
23.0,6,111,303.0,6111003012.0,3.03,Census Tract 3.03,G5020,S,1959818.0,967598,LIC,55072349.7617188,5706.54437597325
24.0,6,29,201402.0,6029000200.0,2.0,Census Tract 2,G5020,S,2842591.0,0,Both,4289438.50390625,6256.07826386147
15.0,6,29,201301.0,6029000300.0,3.0,Census Tract 3,G5020,S,1518290.0,0,Both,2290793.09765625,6256.07826386147
12.0,6,37,201301.0,6037183300.0,1432.0,Census Tract 5527,G5020,S,1375435.0,0,Both,2001540.3046875,4720.0809947014
27.0,6,37,181600.0,6037201301.0,2014.01,Census Tract 5528,G5020,S,73257597.0,0,LIC,4289438.50390625,6101.62882049654
10.0,6,37,201402.0,6037183101.0,5530.0,Census Tract 5530,G5020,S,1264078.0,0,Both,1839324.02734375,5984.91604793565
5.0,6,107,3501.0,6107003501.0,35.01,Census Tract 35.01,G5020,S,14357178.0,154009,LIC,22267342.1289063,7211.37944676736
30.0,6,59,139302.0,6059062649.0,626.49,Census Tract 626.49,G5020,S,3369926.0,8846,LIC,2836120.875,3382.65553130786
31.0,6,41,109002.0,6041109002.0,1090.02,Census Tract 1090.02,G5020,S,2547795.0,2234,LIC,4111521.1875,7211.37944676736
32.0,6,41,143200.0,6041130202.0,626.49,Census Tract 1302.02,G5020,S,2327921.0,3826504,LIC,9890641.5625,5706.54437597325
33.0,6,41,201.0,6037201401.0,1122.01,Census Tract 1122.01,G5020,S,323251.0,50963,LIC,1266062.875,4720.0809947014
3.0,6,41,109002.0,6013336201.0,1122.02,Census Tract 1122.02,G5020,S,3960101.0,2664693,LIC,2024724.8671875,4907.77012789812
31.0,6,37,139302.0,6037183101.0,6014.02,Census Tract 6014.02,G5020,S,983306.0,0,Both,1533835.921875,4882.74807317722
14.0,6,37,3803.0,6037601502.0,6015.02,Census Tract 6015.02,G5020,S,490798.0,0,Both,714900.203125,3617.14066767908
16.0,6,37,181600.0,6037201301.0,3.03,Census Tract 6016,G5020,S,912444.0,0,Both,55072349.7617188,4730.13109828776
38.0,6,37,139502.0,6077003900.0,6017.0,Census Tract 6017,G5020,S,780881.0,0,Both,1137301.79296875,4670.29243054758
10.0,6,37,139302.0,6107003501.0,3362.01,Census Tract 6018.01,G5020,S,486723.0,0,Both,625490.94921875,5182.11921080899
9.0,6,37,201301.0,6037601802.0,9404.0,Census Tract 6018.02,G5020,S,484101.0,0,Both,782907.875,3784.33595472837
41.0,6,25,201402.0,6037183101.0,1395.02,Census Tract 115,G5020,S,948156.0,0,Both,731936.73828125,2938.53692242629
42.0,6,37,602002.0,6037183101.0,6020.02,Census Tract 6020.02,G5020,S,835901.0,4612,Both,779720.953125,2938.53692242629
14.0,6,37,442500.0,6037602003.0,6020.03,Census Tract 6020.03,G5020,S,625130.0,0,Both,910448.23828125,3802.01654083384
44.0,6,37,3501.0,6037602004.0,6020.04,Census Tract 6020.04,G5020,S,592375.0,0,Both,862740.98046875,3784.33595472837
22.0,6,37,181600.0,6037602103.0,6021.03,Census Tract 3362.01,G5020,S,835901.0,0,Both,3122277.35546875,5706.54437597325
46.0,6,37,183300.0,6037602104.0,6021.04,Census Tract 6021.04,G5020,S,33781272.0,0,Both,1828892.28515625,7003.34503482317
22.0,6,37,143200.0,6037139502.0,5307.0,Census Tract 5307,G5020,S,1057568.0,0,Both,1544749.47265625,3802.01654083384
48.0,6,107,201301.0,6037139502.0,20.02,Census Tract 20.02,G5020,S,2534586.0,0,LIC,3912121.93359375,7877.4605034406
22.0,6,37,530801.0,6077003406.0,5308.01,Census Tract 5308.01,G5020,S,769112.0,0,Both,3122277.35546875,7632.58889119395
10.0,6,37,183300.0,6041109002.0,3362.01,Census Tract 5308.02,G5020,S,566330.0,0,Both,1415950.36328125,5182.11921080899
30.0,6,37,139302.0,6077003406.0,5309.01,Census Tract 5309.01,G5020,S,444140.0,0,Both,648497.79296875,5170.05380973649
52.0,6,37,181600.0,6037531000.0,5310.0,Census Tract 5310,G5020,S,999474.0,0,Both,1828892.28515625,2938.53692242629
53.0,6,37,3501.0,6037531102.0,5311.02,Census Tract 5311.02,G5020,S,498376.0,0,Both,1828892.28515625,3853.19170418149
7.0,6,37,139502.0,6037143200.0,2.0,Census Tract 5312.01,G5020,S,555365.0,0,Both,625490.94921875,12812.3431953214
11.0,6,37,11700.0,6037531301.0,5313.01,Census Tract 5313.01,G5020,S,792709.0,0,Both,1156865.6171875,5706.54437597325
7.0,6,37,3012.0,6041130202.0,5313.02,Census Tract 5313.02,G5020,S,883751.0,0,Both,1533835.921875,12812.3431953214
12.0,6,37,1206.0,6107002901.0,5410.01,Census Tract 5410.01,G5020,S,2609459.0,0,Both,3796834.5,7916.89652075906
58.0,6,107,442500.0,6107002008.0,30.12,Census Tract 20.08,G5020,S,2547795.0,0,LIC,1911762.359375,4907.77012789812
59.0,6,107,201301.0,6037139502.0,20.09,Census Tract 20.09,G5020,S,41895923.0,0,LIC,2858454.11328125,8638.71078094456
4.0,6,107,2302.0,6107002302.0,23.02,Census Tract 23.02,G5020,S,33781272.0,0,LIC,714900.203125,6256.07826386147
5.0,6,65,45217.0,6065045217.0,452.17,Census Tract 2013.01,G5020,S,323251.0,0,LIC,4204443.0390625,3853.19170418149
62.0,6,65,2302.0,6001442500.0,467.0,Census Tract 1393.02,G5020,S,33305608.0,36823,Both,48510825.0820313,43066.2005863693
8.0,6,65,201401.0,6065047000.0,34.01,Census Tract 470,G5020,S,4426513.0,4213361,LIC,2024724.8671875,2938.53692242629
14.0,6,71,301.0,6071002502.0,25.02,Census Tract 25.02,G5020,S,34601272.0,0,DAC,4111521.1875,3853.19170418149
65.0,6,65,1206.0,6013336201.0,1816.0,Census Tract 9401,G5020,S,500438.0,5060948,LIC,1839324.02734375,6256.07826386147
66.0,6,65,530801.0,6013336201.0,445.22,Census Tract 2013.01,G5020,S,3960101.0,871170,LIC,4289438.50390625,2938.53692242629
5.0,6,65,139302.0,6065045120.0,451.2,Census Tract 451.20,G5020,S,866188.0,1137,LIC,615533.94140625,5182.11921080899
4.0,6,65,442500.0,6037183820.0,6020.04,Census Tract 513,G5020,S,33781272.0,400554,LIC,49645841.2070313,4323.69951326916
